======================
BLEU:            89.29
SIM:            0.9616
======================
         BLEU | SIM
0198 -  83.47 | 0.9701
0199 -  90.01 | 0.9279
0200 -  85.16 | 0.9829
0201 -  14.58 | 0.9813
0202 -  57.52 | 0.9657
0203 -  39.37 | 0.9555
0204 -  17.66 | 0.9966
0205 -  90.06 | 0.9525
0206 -  95.43 | 0.9872
0207 -  93.25 | 0.9803
0208 -  71.96 | 0.9572
0209 -  86.54 | 0.9607
0210 -  37.95 | 0.9858
0211 -  24.15 | 0.9738
0212 -  26.06 | 0.9853
0213 -  39.11 | 0.9781
0214 -   6.06 | 0.9590
0215 -  55.93 | 0.9391
0216 -  92.92 | 0.9791
0217 -  79.12 | 0.8300
0218 -  53.38 | 0.9777
0219 -  35.85 | 0.9674
0220 -  59.49 | 0.9054
0221 -  80.99 | 0.8876
0222 -   0.00 | 0.9970
0223 -  46.84 | 0.9340
0224 -  96.57 | 0.9913
0225 -  43.06 | 0.9763
0226 -  66.51 | 0.9619
0227 -   0.00 | 0.9474
0228 -  92.42 | 0.9726
0229 -  31.61 | 0.9843
0230 -  84.37 | 0.9726
0231 -  89.17 | 0.9899
0232 -  12.58 | 0.9694
0233 -  54.65 | 0.9455
0234 -  24.42 | 0.9866
0235 -  58.88 | 0.9237
0236 -   0.00 | 0.9432
0237 -  74.36 | 0.9607
0238 -  64.90 | 0.9814
0239 -  54.76 | 0.9694
0240 -  10.90 | 0.9847
0241 -  41.30 | 0.9782
0242 -   5.43 | 0.9938
0243 -  72.20 | 0.8924
0244 -  25.19 | 0.9861
0245 -   0.00 | 0.9807
0246 -  71.16 | 0.8551
0247 -  96.20 | 0.9895
0248 -  16.74 | 0.9539
0249 -  71.58 | 0.8929
0250 -   0.00 | 0.9854
0251 -  70.04 | 0.9380
0252 -  18.16 | 0.9846
0253 -  15.99 | 0.9725
0254 -  40.80 | 0.9551
0255 -  13.44 | 0.9544
0256 -   9.23 | 0.9792
0257 -  95.18 | 0.9972
0258 -  55.91 | 0.9831
0259 -  88.41 | 0.9441
0260 -  76.54 | 0.8478
0261 -  98.08 | 0.8490
0262 -  30.03 | 0.9997
0263 -  54.82 | 0.8447
0264 -  26.85 | 0.8993
0265 -  88.92 | 0.9439
0266 -  68.25 | 0.9528
0267 -  14.61 | 0.9772
0268 -  93.92 | 0.9288
0269 -  70.55 | 0.9964
0270 -  45.51 | 0.9613
0271 -  18.23 | 0.9753
0272 -  50.56 | 0.9430
0273 -   8.77 | 0.9406
0274 -  94.19 | 0.9840
0275 -  91.83 | 0.9979
0276 -  51.83 | 0.9821
0277 -  97.26 | 0.9796
0278 -  24.32 | 0.9083
0279 -  76.20 | 0.9871
0280 -  49.52 | 0.9955
0281 -   0.00 | 0.9847
0282 -  10.75 | 0.9859
0283 -  50.10 | 0.9776
0284 -  92.45 | 0.9792
0285 -  70.39 | 0.9744
0286 -  71.57 | 0.9785
0287 -  39.82 | 0.9785
0288 -   0.00 | 0.9834
0289 -   0.00 | 0.9738
0290 -  75.78 | 0.9792
0291 -  47.41 | 0.8742
0292 -  38.60 | 0.9928
0293 -  39.82 | 0.9592
0294 -  87.92 | 0.9859
0295 -  11.49 | 0.9005
0296 -  96.34 | 0.9829
0297 -  91.19 | 0.9688
0298 -   4.91 | 0.9757
0299 -  21.89 | 0.9898
0300 -  76.06 | 0.9774
0301 -  86.61 | 0.9140
0302 -  28.33 | 0.9677
0303 -  80.51 | 0.9514
0304 -   0.00 | 0.9779
0305 -  81.80 | 0.9841
0306 -   0.00 | 0.9781
0307 -  25.19 | 0.9257
0308 -  21.47 | 0.9727
0309 -  33.63 | 0.9794
0310 -  11.63 | 0.9512
0311 -  66.50 | 0.9875
0312 -  95.57 | 0.9908
0313 -  60.41 | 0.9141
0314 -  41.76 | 0.9751
0315 -  86.93 | 0.9709
0316 -  53.37 | 0.9907
0317 -  60.82 | 0.9977
0318 -  64.78 | 0.8704
0319 -  64.65 | 0.9764
0320 -   0.00 | 0.9776
0321 -  48.55 | 0.9810
0322 -  93.18 | 0.9925
0323 -  12.92 | 0.9890
0324 -   0.00 | 0.9405
0325 -  82.15 | 0.8560
0326 -  95.60 | 0.9832
0327 -  93.00 | 0.9791
0328 -  12.82 | 0.9961
0329 -  88.02 | 0.9587
0330 -  67.74 | 0.9092
0331 -  16.79 | 0.9599
0332 -  30.82 | 0.9593
0333 -  41.30 | 0.9492
0334 -  87.95 | 0.9667
0335 -  77.65 | 0.9883
0336 -  65.51 | 0.9139
0337 -  86.93 | 0.9962
0338 -   0.00 | 0.9372
0339 -  21.92 | 0.9747
0340 -  92.34 | 0.9981
0341 -  95.43 | 0.9908
0342 -  45.84 | 0.9771
0343 -  68.60 | 0.9948
0344 -  62.58 | 0.9804
0345 -  52.90 | 0.9799
0346 -  92.75 | 0.9885
0347 -  12.91 | 0.9876
0348 -  49.89 | 0.9848
0349 -  64.75 | 0.9802
0350 -  41.27 | 0.9491
0351 -  96.25 | 0.9796
0352 -  89.60 | 0.8742
0353 -  96.75 | 0.9917
0354 -  93.98 | 0.9860
0355 -  87.44 | 0.9892
0356 -  58.58 | 0.9963
0357 -  76.42 | 0.9810
0358 -  73.80 | 0.9231
0359 -  93.08 | 0.9799
0360 -  33.86 | 0.9363
0361 -  96.52 | 0.9929
0362 -  82.55 | 0.9790
0363 -   6.03 | 0.9733
0364 -  91.86 | 0.9612
0365 -  94.85 | 0.9912
0366 -  89.01 | 0.9372
0367 -  90.45 | 0.9615
0368 -  83.53 | 0.9643
0369 -  66.58 | 0.9814
0370 -   9.17 | 0.9842
0371 -  11.86 | 0.9870
0372 -  18.25 | 0.9951
0373 -  95.78 | 0.9608
0374 -   5.55 | 0.9781
0375 -  92.50 | 0.9125
0376 -  74.58 | 0.9849
0377 -  82.82 | 0.9588
0378 -   0.00 | 0.9003
0379 -  81.22 | 0.9753
0380 -  94.53 | 0.9814
0381 -   0.00 | 0.9964
0382 -  88.04 | 0.9333
0383 -  89.80 | 0.9538
0384 -  13.03 | 0.9723
0385 -  10.00 | 0.9873
0386 -  67.34 | 0.9930
0387 -  38.45 | 0.9902
0388 -  21.46 | 0.9793
0389 -  91.80 | 0.9539
0390 -  13.47 | 0.9839
0391 -  74.70 | 0.8171
0392 -  65.67 | 0.9792
0393 -  41.04 | 0.9608
0394 -  33.75 | 0.9656
0395 -  92.19 | 0.9951
0396 -  90.70 | 0.9902
0397 -  90.07 | 0.9681
0398 -  22.67 | 0.9690
0399 -  86.38 | 0.9648
0400 -  96.96 | 0.9786
0401 -  76.93 | 0.9798
0402 -  33.75 | 0.9865
0403 -  27.21 | 0.9746
0404 -  44.94 | 0.9887
0405 -  69.37 | 0.9693
0406 -  24.59 | 0.9677
0407 -  80.81 | 0.9682
0408 -  96.93 | 0.9863
0409 -  95.49 | 0.9872
0410 -  94.16 | 0.9671
0411 -  25.99 | 0.9768
0412 -   9.16 | 0.9251
0413 -  66.52 | 0.9808
0414 -  43.38 | 0.9675
0415 -  26.11 | 0.9725
0416 -  84.01 | 0.9718
0417 -  93.30 | 0.9561
0418 -  93.74 | 0.9811
0419 -  56.46 | 0.9936
0420 -  21.19 | 0.9368
0421 -  33.66 | 0.9716
0422 -  24.53 | 0.9937
0423 -  18.76 | 0.9729
0424 -  78.89 | 0.9704
0425 -   8.48 | 0.9948
0426 -  95.28 | 0.9282
0427 -   5.00 | 0.9768
0428 -  72.41 | 0.9917
0429 -  56.33 | 0.9591
0430 -  85.89 | 0.9379
0431 -  56.62 | 0.9740
0432 -  94.50 | 0.9910
0433 -  94.94 | 0.9840
0434 -  71.65 | 0.9543
0435 -  33.93 | 0.9840
0436 -   9.14 | 0.9830
0437 -   5.03 | 0.9850
0438 -  49.12 | 0.9696
0439 -  89.12 | 0.9722
0440 -  41.75 | 0.9899
0441 -  92.57 | 0.9969
0442 -  42.35 | 0.9845
0443 -  51.04 | 0.9198
0444 -  14.69 | 0.9881
0445 -  55.78 | 0.9081
0446 -  19.35 | 0.9904
0447 -  53.51 | 0.9022
0448 -  91.97 | 0.9938
0449 -  69.53 | 0.9616
0450 -  93.92 | 0.9958
0451 -  95.48 | 0.9890
0452 -  82.17 | 0.9791
0453 -  89.25 | 0.9696
0454 -  66.48 | 0.9755
0455 -  94.24 | 0.9881
0456 -   7.71 | 0.9891
0457 -  87.72 | 0.9400
0458 -   0.00 | 0.9960
0459 -  30.88 | 0.9186
0460 -  34.26 | 0.9945
0461 -  62.91 | 0.9340
0462 -  66.20 | 0.9734
0463 -  18.68 | 0.9547
0464 -   0.00 | 0.9647
0465 -  86.21 | 0.9663
0466 -  85.36 | 0.9105
0467 -  91.19 | 0.9892
0468 -  68.49 | 0.8402
0469 -  84.00 | 0.8915
0470 -   0.00 | 0.9486
0471 -  19.68 | 0.9846
0472 -  38.66 | 0.9753
0473 -  16.88 | 0.9385
0474 -  38.13 | 0.9401
0475 -  36.76 | 0.9819
0476 -  28.91 | 0.9558
0477 -  74.03 | 0.9908
0478 -  85.62 | 0.9930
0479 -  76.03 | 0.9628
0480 -  63.36 | 0.9250
0481 -  34.64 | 0.9772
0482 -  45.29 | 0.9140
0483 -  10.42 | 0.9854
0484 -  12.97 | 0.9851
0485 -  90.47 | 0.9030
0486 -  43.40 | 0.9875
0487 -  24.97 | 0.9868
0488 -   0.00 | 0.9713
0489 -  89.78 | 0.9700
0490 -  55.84 | 0.9705
0491 -   0.00 | 0.9835
0492 -   0.00 | 0.9886
0493 -  93.61 | 0.9845
0494 -  52.83 | 0.9678
0495 -  89.43 | 0.9887
0496 -  39.83 | 0.9254
0497 -  96.17 | 0.9714
0498 -  88.21 | 0.9121
0499 -  63.75 | 0.9773
0500 -  86.16 | 0.9913
0501 -   0.00 | 0.9940
0502 -  60.93 | 0.9643
0503 -  88.05 | 0.8969
0504 -  64.00 | 0.9554
0505 -  43.63 | 0.9510
0506 -  87.31 | 0.9791
