======================
BLEU:            45.03
SIM:            0.9083
======================
         BLEU | SIM
0198 -   0.00 | 0.6768
0199 -  20.95 | 0.9599
0200 -   0.00 | 0.9076
0201 -  60.30 | 0.8610
0202 -  78.04 | 0.9653
0203 -   0.00 | 0.9663
0204 -   0.00 | 0.8519
0205 -  95.58 | 0.9759
0206 -  12.68 | 0.9843
0207 -  56.11 | 0.9906
0208 -   0.00 | 0.9795
0209 -  64.32 | 0.9273
0210 -  39.90 | 0.9437
0211 -  11.35 | 0.8610
0212 -  49.79 | 0.9069
0213 -  44.41 | 0.8738
0214 -  36.71 | 0.8928
0215 -  85.89 | 0.9590
0216 -   6.33 | 0.9598
0217 -  72.44 | 0.9624
0218 -   0.00 | 0.8418
0219 -   6.00 | 0.9280
0220 -  20.97 | 0.9621
0221 -  48.71 | 0.9859
0222 -   0.00 | 0.8798
0223 -  75.35 | 0.9578
0224 -  43.21 | 0.9488
0225 -  56.82 | 0.8629
0226 -  83.95 | 0.9370
0227 -   7.79 | 0.9639
0228 -  26.21 | 0.9406
0229 -  53.90 | 0.5082
0230 -  16.52 | 0.9216
0231 -  83.67 | 0.9130
0232 -   0.00 | 0.9481
0233 -  18.60 | 0.9311
0234 -  89.31 | 0.9836
0235 -   0.00 | 0.9526
0236 -  29.10 | 0.9774
0237 -   8.96 | 0.9269
0238 -  97.81 | 0.8958
0239 -  97.93 | 0.9209
0240 -  43.52 | 0.8829
0241 -  17.90 | 0.9832
0242 -  74.22 | 0.9589
0243 -   0.00 | 0.9590
0244 -  75.07 | 0.9134
0245 -  56.40 | 0.8237
0246 -   0.00 | 0.8620
0247 -  46.49 | 0.9522
0248 -  94.55 | 0.9741
0249 -  16.35 | 0.9780
0250 -   0.00 | 0.8711
0251 -   0.00 | 0.9674
0252 -  48.54 | 0.8516
0253 -   0.00 | 0.8145
0254 -  17.33 | 0.9868
0255 -   0.00 | 0.8796
0256 -  33.95 | 0.9501
0257 -   0.00 | 0.8620
0258 -  43.92 | 0.8489
0259 -  65.04 | 0.8848
0260 -  41.73 | 0.9530
0261 -  76.93 | 0.9827
0262 -  79.64 | 0.9510
0263 -  42.02 | 0.8733
0264 -  18.83 | 0.9856
0265 -  41.43 | 0.7382
0266 -  19.56 | 0.9760
0267 -   0.00 | 0.8891
0268 -  66.51 | 0.7947
0269 -  49.10 | 0.9205
0270 -  99.09 | 0.9723
0271 -  41.76 | 0.9661
0272 -  32.11 | 0.8613
0273 -  77.83 | 0.9837
0274 -  93.80 | 0.9795
0275 -  97.79 | 0.8754
0276 -  22.25 | 0.9568
0277 -  47.64 | 0.9059
0278 -  66.92 | 0.8598
0279 -  96.36 | 0.8702
0280 -  91.06 | 0.8629
0281 -  90.11 | 0.9214
0282 -  97.94 | 0.9950
0283 -  41.20 | 0.8812
0284 -  25.56 | 0.8911
0285 -  60.05 | 0.9497
0286 -  64.97 | 0.9414
0287 -  98.10 | 0.8753
0288 -  91.95 | 0.9550
0289 -  73.92 | 0.9002
0290 -  98.62 | 0.9320
0291 -  36.07 | 0.8635
0292 -  54.30 | 0.9276
0293 -  40.23 | 0.9891
0294 -  39.04 | 0.9058
0295 -  22.95 | 0.9471
0296 -   0.00 | 0.9809
0297 -  59.89 | 0.9504
0298 -  12.28 | 0.9310
0299 -  21.24 | 0.9831
0300 -  77.22 | 0.9221
0301 -  51.59 | 0.9450
0302 -  64.32 | 0.9547
0303 -  41.94 | 0.9565
0304 -   0.00 | 0.7240
0305 -  98.64 | 0.9392
0306 -  69.16 | 0.9535
0307 -  28.75 | 0.8709
0308 -  98.40 | 0.9119
0309 -  14.29 | 0.8935
0310 -  52.82 | 0.9491
0311 -  34.50 | 0.7726
0312 -  64.25 | 0.8135
0313 -  63.60 | 0.9258
0314 -   0.00 | 0.9595
0315 -  82.84 | 0.8970
0316 -   0.00 | 0.9596
0317 -  14.32 | 0.9498
0318 -  68.31 | 0.9719
0319 -  10.12 | 0.9769
0320 -  78.25 | 0.9866
0321 -  86.85 | 0.9362
0322 -  32.70 | 0.8327
0323 -  20.44 | 0.9702
0324 -   0.00 | 0.9893
0325 -  23.51 | 0.9340
0326 -   0.00 | 0.9722
0327 -  44.44 | 0.7992
0328 -  38.87 | 0.9733
0329 -  45.00 | 0.9527
0330 -  86.96 | 0.9156
0331 -  30.89 | 0.8598
0332 -  40.90 | 0.8203
0333 -  71.66 | 0.9660
0334 -   0.00 | 0.9695
0335 -   0.00 | 0.9561
0336 -   6.52 | 0.9465
0337 -  81.62 | 0.9751
0338 -  11.29 | 0.9021
0339 -  96.52 | 0.9535
0340 -  89.86 | 0.9090
0341 -  65.13 | 0.7674
0342 -  48.24 | 0.9606
0343 -  24.21 | 0.9197
0344 -   0.00 | 0.9329
0345 -  12.85 | 0.9786
0346 -  16.17 | 0.9160
0347 -  79.00 | 0.9756
0348 -  70.46 | 0.9669
