======================
BLEU:            45.03
SIM:            0.9083
======================
         BLEU | SIM
0862 -  35.44 | 0.8659
0863 -  76.03 | 0.9088
0864 -  68.69 | 0.9765
0865 -  28.41 | 0.9181
0866 -  10.62 | 0.9397
0867 -   0.00 | 0.9732
0868 -  23.97 | 0.9296
0869 -  97.95 | 0.9806
0870 -  41.20 | 0.9906
0871 -  78.68 | 0.9338
0872 -  34.37 | 0.9294
0873 -  33.30 | 0.8634
0874 -  55.53 | 0.8558
0875 -  98.85 | 0.9701
0876 -  40.43 | 0.9032
0877 -  60.55 | 0.9772
0878 -   0.00 | 0.8250
0879 -  18.73 | 0.9037
0880 -   0.00 | 0.7549
0881 -  45.83 | 0.9375
0882 -  90.72 | 0.8928
0883 -   0.00 | 0.8945
0884 -  30.35 | 0.9263
0885 -  83.66 | 0.9900
0886 -  68.88 | 0.8233
0887 -   0.00 | 0.9266
0888 -  44.25 | 0.8538
0889 -  64.05 | 0.9363
0890 -  26.70 | 0.9419
0891 -  82.68 | 0.9188
0892 -  63.62 | 0.9352
0893 -   0.00 | 0.9668
0894 -  90.56 | 0.9773
0895 -  48.68 | 0.7549
0896 -  11.67 | 0.9140
0897 -  99.11 | 0.9657
0898 -  18.34 | 0.9641
0899 -  98.95 | 0.8623
0900 -  56.65 | 0.9584
0901 -  12.19 | 0.9599
0902 -  29.16 | 0.9004
0903 -   0.00 | 0.8550
0904 -  67.96 | 0.9348
0905 -   0.00 | 0.9393
0906 -  30.95 | 0.8786
0907 -  39.28 | 0.9502
0908 -  59.03 | 0.9437
0909 -  78.53 | 0.9399
0910 -  95.53 | 0.9794
0911 -   0.00 | 0.9027
0912 -   0.00 | 0.9121
0913 -  20.14 | 0.9650
0914 -   0.00 | 0.8121
0915 -   0.00 | 0.9576
0916 -   0.00 | 0.8793
0917 -  89.58 | 0.9479
0918 -  83.44 | 0.9396
0919 -  94.06 | 0.9688
0920 -  75.63 | 0.7696
0921 -  15.04 | 0.8757
0922 -   9.25 | 0.8983
0923 -  72.95 | 0.8102
0924 -  14.76 | 0.9820
0925 -  64.21 | 0.8772
0926 -  12.40 | 0.9816
0927 -  96.31 | 0.7758
0928 -  26.09 | 0.9343
0929 -  27.99 | 0.9557
0930 -  94.37 | 0.9764
0931 -  23.76 | 0.9348
0932 -   0.00 | 0.9663
0933 -  12.89 | 0.9866
0934 -   0.00 | 0.9280
0935 -  35.67 | 0.9850
0936 -  34.96 | 0.9497
0937 -  81.79 | 0.9258
0938 -  63.58 | 0.9659
0939 -  99.22 | 0.9613
0940 -  62.35 | 0.8752
0941 -  46.38 | 0.9164
0942 -   0.00 | 0.9309
0943 -  14.49 | 0.9247
0944 -  80.69 | 0.8907
0945 -  21.44 | 0.9739
0946 -  29.60 | 0.9856
0947 -  42.69 | 0.8837
0948 -  13.83 | 0.9339
0949 -  28.76 | 0.8361
0950 -  58.31 | 0.7246
0951 -  90.95 | 0.9729
0952 -  98.73 | 0.8985
0953 -  86.33 | 0.9699
0954 -  10.28 | 0.9401
0955 -  68.34 | 0.9649
0956 -  56.09 | 0.7045
0957 -  57.19 | 0.9214
0958 -  87.32 | 0.9295
0959 -  90.24 | 0.9457
0960 -   9.76 | 0.6360
0961 -  20.76 | 0.8446
0962 -  75.47 | 0.8566
0963 -  71.17 | 0.7746
0964 -  62.60 | 0.9444
0965 -  98.20 | 0.9403
0966 -  85.34 | 0.7027
0967 -  58.85 | 0.8168
0968 -   0.00 | 0.9036
0969 -  31.11 | 0.7585
0970 -  22.32 | 0.9094
0971 -   0.00 | 0.9199
0972 -  71.09 | 0.9910
0973 -  29.41 | 0.9364
0974 -  14.62 | 0.9819
0975 -   0.00 | 0.9126
0976 -  52.46 | 0.4556
0977 -  86.87 | 0.9504
0978 -  77.32 | 0.9743
0979 -  25.09 | 0.8788
0980 -  52.25 | 0.8694
0981 -  98.96 | 0.9728
0982 -   0.00 | 0.7741
0983 -  81.51 | 0.8337
0984 -  32.77 | 0.9075
0985 -   0.00 | 0.7508
0986 -  25.37 | 0.9152
0987 -  77.92 | 0.9728
0988 -   7.65 | 0.9761
0989 -  27.81 | 0.6023
0990 -  12.26 | 0.9690
0991 -  98.39 | 0.9444
0992 -  45.28 | 0.9107
0993 -  85.05 | 0.9052
0994 -  21.44 | 0.7397
0995 -   8.45 | 0.9507
0996 -  73.78 | 0.8871
0997 -  95.63 | 0.9501
0998 -  87.76 | 0.9478
0999 -  33.23 | 0.9336
1000 -   0.00 | 0.9223
======================
