======================
BLEU:            72.96
SIM:            0.9083
======================
         BLEU | SIM
0864 -  67.23 | 0.9765
0865 -  29.01 | 0.9181
0866 -   8.68 | 0.9397
0867 -   0.00 | 0.9732
0868 -  24.29 | 0.9296
0869 -  98.66 | 0.9806
0870 -  41.50 | 0.9906
0871 -  77.30 | 0.9338
0872 -  34.19 | 0.9294
0873 -  31.98 | 0.8634
0874 -  55.05 | 0.8558
0875 -  95.92 | 0.9701
0876 -  39.33 | 0.9032
0877 -  85.81 | 0.9772
0878 -   0.00 | 0.8250
0879 -  19.40 | 0.9037
0880 -   0.00 | 0.7549
0881 -  49.14 | 0.9375
0882 -  99.46 | 0.8928
0883 -   0.00 | 0.8945
0884 -  29.95 | 0.9263
0885 -  81.62 | 0.9900
0886 -  62.75 | 0.8233
0887 -  11.11 | 0.9266
0888 -  41.38 | 0.8538
0889 -  61.22 | 0.9363
0890 -  25.89 | 0.9419
0891 -  98.87 | 0.9188
0892 -  63.29 | 0.9352
0893 -   0.00 | 0.9668
0894 -  91.15 | 0.9773
0895 -  12.18 | 0.7549
0896 -  25.15 | 0.9140
0897 -  98.05 | 0.9657
0898 -  17.71 | 0.9641
0899 -  98.47 | 0.8623
0900 -  56.35 | 0.9584
0901 -  11.48 | 0.9599
0902 -  25.53 | 0.9004
0903 -   0.00 | 0.8550
0904 -  62.53 | 0.9348
0905 -   0.00 | 0.9393
0906 -  36.97 | 0.8786
0907 -  36.52 | 0.9502
0908 -  58.23 | 0.9437
0909 -  73.07 | 0.9399
0910 -  95.35 | 0.9794
0911 -   0.00 | 0.9027
0912 -   0.00 | 0.9121
0913 -  19.48 | 0.9650
0914 -  29.49 | 0.8121
0915 -   0.00 | 0.9576
0916 -   0.00 | 0.8793
0917 -  99.77 | 0.9479
0918 -  86.17 | 0.9396
0919 -  93.68 | 0.9688
0920 -  71.96 | 0.7696
0921 -  11.62 | 0.8757
0922 -   7.59 | 0.8983
0923 -  69.30 | 0.8102
0924 -  16.40 | 0.9820
0925 -  66.20 | 0.8772
0926 -  11.64 | 0.9816
0927 -  99.41 | 0.7758
0928 -  12.65 | 0.9343
0929 -  26.35 | 0.9557
0930 -  94.36 | 0.9764
0931 -  23.70 | 0.9348
0932 -   0.00 | 0.9663
0933 -  11.12 | 0.9866
0934 -   0.00 | 0.9280
0935 -  33.62 | 0.9850
0936 -  39.01 | 0.9497
0937 -  75.98 | 0.9258
0938 -  62.39 | 0.9659
0939 -  99.87 | 0.9613
0940 -  62.76 | 0.8752
0941 -  44.47 | 0.9164
0942 -   0.00 | 0.9309
0943 -  12.92 | 0.9247
0944 -  80.13 | 0.8907
0945 -  18.60 | 0.9739
0946 -  25.15 | 0.9856
0947 -  43.80 | 0.8837
0948 -  12.87 | 0.9339
0949 -  29.28 | 0.8361
0950 -  15.47 | 0.7246
0951 -  88.10 | 0.9729
0952 -  99.78 | 0.8985
0953 -  93.72 | 0.9699
0954 -   9.86 | 0.9401
0955 -  68.62 | 0.9649
0956 -  49.36 | 0.7045
0957 -  52.17 | 0.9214
0958 -  87.06 | 0.9295
0959 -  84.42 | 0.9457
0960 -   9.91 | 0.6360
0961 -  13.30 | 0.8446
0962 -  69.86 | 0.8566
0963 -  67.18 | 0.7746
0964 -  59.57 | 0.9444
0965 -  95.06 | 0.9403
0966 -  82.40 | 0.7027
0967 -  68.26 | 0.8168
0968 -   0.00 | 0.9036
0969 -  25.26 | 0.7585
0970 -  21.24 | 0.9094
0971 -   0.00 | 0.9199
0972 -  72.72 | 0.9910
0973 -  29.38 | 0.9364
0974 -  14.30 | 0.9819
0975 -   0.00 | 0.9126
0976 -  54.28 | 0.4556
0977 -  81.23 | 0.9504
0978 -  78.21 | 0.9743
0979 -  26.76 | 0.8788
0980 -  47.21 | 0.8694
0981 -  99.83 | 0.9728
0982 -   0.00 | 0.7741
0983 -  82.32 | 0.8337
0984 -  30.66 | 0.9075
0985 -   0.00 | 0.7508
0986 -  22.02 | 0.9152
0987 -  77.56 | 0.9728
0988 -   7.99 | 0.9761
0989 -  24.52 | 0.6023
0990 -  13.84 | 0.9690
0991 -  99.72 | 0.9444
0992 -  45.75 | 0.9107
0993 -  79.29 | 0.9052
0994 -  13.34 | 0.7397
0995 -   8.52 | 0.9507
0996 -  74.03 | 0.8871
0997 -  95.73 | 0.9501
0998 -  99.66 | 0.9478
0999 -  33.30 | 0.9336
1000 -   0.00 | 0.9223
======================
