==============================================
BLEU GOLD:                               28.01
BLEU IN:                                 37.20
SIM GOLD:                               0.8616
SIM IN:                                 0.8923
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0115 -     47.08 |   53.97 |     0.84 |   0.87
0116 -     75.31 |  100.00 |     0.95 |   1.00
0117 -      0.00 |    0.00 |     0.67 |   0.69
0118 -      0.00 |    0.00 |     0.83 |   0.86
0119 -      0.00 |    0.00 |     0.85 |   0.88
0120 -     34.00 |   36.36 |     0.79 |   0.91
0121 -      0.00 |    0.00 |     0.92 |   0.95
0122 -     96.56 |  100.00 |     0.94 |   0.99
0123 -     57.80 |   89.51 |     0.86 |   0.90
0124 -      0.00 |    0.00 |     0.97 |   0.98
0125 -     35.66 |   41.92 |     0.89 |   0.91
0126 -     76.37 |   77.94 |     0.86 |   0.88
0127 -     39.68 |   39.68 |     0.91 |   0.88
0128 -     89.70 |   33.72 |     0.94 |   0.92
0129 -     11.72 |   11.72 |     0.88 |   0.86
0130 -     71.51 |   78.24 |     0.95 |   0.97
0131 -      0.00 |    0.00 |     0.88 |   0.92
0132 -     48.81 |   36.42 |     0.77 |   0.83
0133 -     21.06 |   21.26 |     0.78 |   0.81
0134 -     11.73 |   73.92 |     0.87 |   0.93
0135 -     56.46 |   67.99 |     0.93 |   0.94
0136 -      0.00 |    0.00 |     0.70 |   0.84
0137 -      0.00 |   29.49 |     0.93 |   0.92
0138 -      0.00 |    0.00 |     0.34 |   0.41
0139 -      0.00 |    0.00 |     0.81 |   0.85
0140 -     23.32 |   28.11 |     0.60 |   0.67
0141 -      6.54 |    5.63 |     0.80 |   0.80
0142 -      0.00 |   34.37 |     0.99 |   1.00
0143 -      0.00 |    0.00 |     0.89 |   0.91
0144 -     70.29 |   91.80 |     0.97 |   0.98
0145 -      0.00 |    8.66 |     0.77 |   0.81
0146 -     10.43 |   10.36 |     0.90 |   0.97
0147 -     33.41 |   54.16 |     0.79 |   0.79
0148 -     43.86 |   58.63 |     0.98 |   1.00
0149 -      0.00 |    0.00 |     0.95 |   0.99
0150 -      5.50 |   15.10 |     0.87 |   0.86
0151 -     64.38 |    5.01 |     0.96 |   0.98
0152 -     87.10 |   98.23 |     0.94 |   1.00
0153 -     13.04 |   12.85 |     0.88 |   0.97
0154 -     25.91 |   98.15 |     0.93 |   0.95
0155 -      0.00 |    0.00 |     0.95 |   0.98
0156 -     38.26 |   38.93 |     0.92 |   0.91
0157 -     38.11 |   38.23 |     0.88 |   0.93
0158 -     84.51 |  100.00 |     0.97 |   1.00
0159 -     16.67 |   13.50 |     0.73 |   0.75
0160 -     39.64 |   73.24 |     0.74 |   0.80
0161 -     74.84 |   82.06 |     0.91 |   0.96
0162 -     28.43 |   32.14 |     0.88 |   0.89
0163 -     61.52 |   64.36 |     0.85 |   0.85
0164 -      0.00 |    0.00 |     0.89 |   0.90
0165 -     73.53 |   98.99 |     0.97 |   0.98
0166 -     53.42 |   45.62 |     0.97 |   0.98
0167 -      0.00 |    0.00 |     0.72 |   0.83
0168 -      0.00 |    0.00 |     0.14 |   0.16
0169 -     72.04 |   78.53 |     0.92 |   0.94
0170 -      0.00 |    0.00 |     0.80 |   0.83
0171 -      0.00 |    0.00 |     0.66 |   0.70
0172 -     53.73 |   54.40 |     0.93 |   0.96
0173 -     16.63 |   24.92 |     0.97 |   1.00
0174 -     66.63 |   87.58 |     0.89 |   0.91
0175 -      0.00 |    0.00 |     0.80 |   0.80
0176 -     79.51 |  100.00 |     0.99 |   1.00
0177 -     79.32 |   79.14 |     0.93 |   0.94
0178 -     79.16 |  100.00 |     0.91 |   1.00
0179 -     52.47 |   49.07 |     1.00 |   0.91
0180 -     66.29 |   77.52 |     0.91 |   0.96
0181 -      0.00 |    0.00 |     0.73 |   0.71
0182 -      0.00 |    0.00 |     0.75 |   0.75
0183 -     39.88 |   20.44 |     0.88 |   0.92
0184 -     14.58 |   13.67 |     0.84 |   0.84
0185 -      0.00 |    0.00 |     0.78 |   0.81
0186 -      0.00 |    0.00 |     0.79 |   0.81
0187 -     40.21 |   41.56 |     0.88 |   0.94
0188 -     77.95 |   72.68 |     0.98 |   0.93
0189 -     36.47 |  100.00 |     0.84 |   1.00
0190 -      0.00 |    0.00 |     0.51 |   0.58
0191 -     46.48 |   48.26 |     0.69 |   0.65
0192 -      6.31 |    0.00 |     0.80 |   0.84
0193 -      0.00 |    0.00 |     0.90 |   0.96
0194 -     19.47 |   32.43 |     0.95 |   0.96
0195 -      0.00 |    0.00 |     0.97 |   0.98
0196 -      0.00 |    0.00 |     0.88 |   0.88
0197 -      0.00 |    0.00 |     0.87 |   0.93
0198 -     89.73 |   93.64 |     0.93 |   0.96
0199 -     83.61 |   90.91 |     0.92 |   0.99
0200 -     45.18 |   61.42 |     0.78 |   0.81
0201 -     15.00 |   65.08 |     0.91 |   0.93
0202 -     54.19 |   85.72 |     0.91 |   0.94
0203 -     55.67 |   61.57 |     0.94 |   0.99
0204 -     20.08 |   98.73 |     0.99 |   1.00
0205 -      7.11 |    5.59 |     0.65 |   0.63
0206 -     27.60 |   32.90 |     0.93 |   0.95
0207 -     11.37 |   21.16 |     0.95 |   0.97
0208 -      0.00 |    0.00 |     0.96 |   0.93
0209 -     14.38 |   15.56 |     0.81 |   0.83
0210 -     36.94 |   86.33 |     0.86 |   0.87
0211 -     13.38 |   58.24 |     0.91 |   0.93
0212 -     30.41 |   35.63 |     0.96 |   0.97
0213 -      8.02 |    7.97 |     0.93 |   0.95
0214 -      8.18 |   94.69 |     0.92 |   0.96
0215 -      0.00 |    0.00 |     0.75 |   0.81
0216 -     11.50 |   11.80 |     0.92 |   0.94
0217 -      0.00 |    0.00 |     0.78 |   0.94
0218 -     38.38 |   38.38 |     0.92 |   0.95
0219 -     37.71 |   91.88 |     0.90 |   0.93
0220 -     46.53 |   50.02 |     0.85 |   0.93
0221 -      0.00 |    0.00 |     0.73 |   0.73
0222 -      0.00 |   25.42 |     0.95 |   0.95
0223 -      0.00 |    0.00 |     0.93 |   1.00
0224 -      0.00 |    0.00 |     0.89 |   0.92
0225 -      0.00 |    0.00 |     0.96 |   0.99
0226 -     91.53 |  100.00 |     0.94 |   0.98
0227 -      0.00 |    6.46 |     0.77 |   0.84
0228 -     60.01 |   60.19 |     0.87 |   0.87
0229 -      0.00 |    0.00 |     0.89 |   0.91
0230 -     21.45 |   19.47 |     0.81 |   0.83
0231 -     86.66 |   96.58 |     0.96 |   0.97
0232 -      8.83 |   78.26 |     0.95 |   0.95
0233 -     48.29 |   65.83 |     0.81 |   0.85
0234 -      0.00 |    0.00 |     0.88 |   0.90
0235 -      0.00 |    0.00 |     0.80 |   0.88
0236 -      0.00 |  100.00 |     0.94 |   1.00
0237 -      0.00 |    0.00 |     0.90 |   0.94
0238 -     65.56 |  100.00 |     0.98 |   1.00
0239 -     42.85 |    0.00 |     0.97 |   1.00
0240 -     11.79 |   98.53 |     0.92 |   0.94
0241 -     45.47 |   79.23 |     0.92 |   0.94
0242 -     17.15 |   52.25 |     0.99 |   1.00
0243 -     69.31 |   89.01 |     0.77 |   0.89
0244 -     56.61 |    4.06 |     0.89 |   0.93
0245 -      4.52 |   10.20 |     0.87 |   0.88
0246 -     19.73 |   12.73 |     0.49 |   0.54
0247 -      8.90 |    8.90 |     0.91 |   0.91
0248 -      0.00 |    0.00 |     0.73 |   0.72
0249 -     64.16 |   84.56 |     0.78 |   0.87
0250 -      0.00 |   57.37 |     0.89 |   0.90
0251 -      0.00 |    0.00 |     0.73 |   0.80
0252 -      0.00 |    0.00 |     0.94 |   0.96
0253 -      3.64 |    0.00 |     0.86 |   0.89
0254 -      5.33 |   63.39 |     0.94 |   0.99
0255 -     85.37 |   89.56 |     0.91 |   0.95
0256 -     14.91 |  100.00 |     0.98 |   1.00
0257 -      0.00 |    0.00 |     0.93 |   0.93
0258 -      0.00 |    0.00 |     0.86 |   0.90
0259 -     10.40 |    9.83 |     0.94 |   0.99
0260 -     82.17 |  100.00 |     0.85 |   1.00
0261 -      0.00 |    0.00 |     0.66 |   0.72
0262 -      6.60 |    5.76 |     0.91 |   0.91
0263 -     79.93 |  100.00 |     0.84 |   1.00
0264 -     86.48 |  100.00 |     0.90 |   1.00
0265 -      0.00 |    0.00 |     0.74 |   0.79
0266 -     69.10 |   94.66 |     0.92 |   0.96
0267 -      0.00 |    0.00 |     0.96 |   0.99
0268 -     37.40 |   44.48 |     0.90 |   0.96
0269 -      0.00 |    0.00 |     0.90 |   0.91
0270 -     46.35 |   99.05 |     0.95 |   0.97
