==============================================
BLEU GOLD:                               47.94
BLEU IN:                                 63.67
SIM GOLD:                               0.8180
SIM IN:                                 0.8918
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     35.19 |   49.08 |     0.85 |   0.89
0002 -     27.98 |   25.42 |     0.91 |   0.93
0003 -      0.00 |    0.00 |     0.76 |   0.95
0004 -     38.90 |   80.73 |     0.84 |   0.95
0005 -     22.48 |   20.65 |     0.91 |   0.90
0006 -      0.00 |    0.00 |     0.84 |   0.95
0007 -     16.17 |   16.24 |     0.85 |   0.89
0008 -      0.00 |   41.44 |     0.54 |   0.68
0009 -      0.00 |    0.00 |     0.48 |   0.63
0010 -     10.49 |   93.17 |     0.98 |   1.00
0011 -     99.17 |  100.00 |     0.87 |   1.00
0012 -     15.69 |   16.73 |     0.94 |   0.99
0013 -      0.00 |    0.00 |     0.93 |   0.97
0014 -      0.00 |    0.00 |     0.71 |   0.89
0015 -     46.49 |   46.14 |     0.96 |   0.92
0016 -     13.98 |   57.77 |     0.77 |   0.91
0017 -      0.00 |   84.28 |     0.59 |   0.97
0018 -      0.00 |    0.00 |     0.86 |   0.94
0019 -      0.00 |    0.00 |     0.93 |   0.97
0020 -     53.65 |   43.66 |     0.85 |   1.00
0021 -     35.60 |   36.61 |     0.93 |   0.97
0022 -      0.00 |    0.00 |     0.67 |   0.74
0023 -     63.16 |    7.38 |     0.86 |   0.93
0024 -     72.03 |   91.93 |     0.96 |   0.98
0025 -     12.90 |   12.60 |     0.69 |   0.77
0026 -     60.82 |   63.17 |     0.97 |   0.97
0027 -     10.61 |    6.77 |     0.87 |   0.94
0028 -      0.00 |    0.00 |     0.87 |   0.95
0029 -     51.50 |   50.10 |     0.91 |   0.95
0030 -      0.00 |   33.46 |     0.90 |   0.91
0031 -     59.74 |   91.21 |     0.84 |   0.91
0032 -     15.63 |   52.71 |     0.86 |   0.95
0033 -     40.55 |   84.61 |     0.83 |   0.95
0034 -      0.00 |    0.00 |     0.90 |   0.92
0035 -     51.45 |  100.00 |     0.87 |   1.00
0036 -      0.00 |    0.00 |     0.74 |   0.77
0037 -      7.76 |    6.82 |     0.80 |   0.95
0038 -      7.44 |    7.13 |     0.91 |   0.96
0039 -      0.00 |    0.00 |     0.80 |   0.85
0040 -      0.00 |    0.00 |     0.87 |   0.80
0041 -     42.27 |  100.00 |     0.93 |   1.00
0042 -     76.19 |   68.20 |     0.85 |   0.92
0043 -      0.00 |   19.77 |     0.82 |   0.83
0044 -      0.00 |    0.00 |     0.91 |   0.98
0045 -     35.76 |   31.68 |     0.92 |   0.97
0046 -      0.00 |    0.00 |     0.68 |   0.71
0047 -     19.72 |    0.00 |     0.92 |   0.99
0048 -     25.54 |   26.96 |     0.87 |   0.93
0049 -     58.28 |   55.41 |     0.98 |   1.00
0050 -     40.49 |   57.28 |     0.90 |   0.95
0051 -      0.00 |   29.81 |     0.83 |   0.90
0052 -     10.32 |    7.76 |     0.89 |   0.94
0053 -      0.00 |    0.00 |     0.79 |   0.87
0054 -     24.92 |   32.87 |     0.73 |   0.81
0055 -     99.85 |    0.00 |     0.92 |   1.00
0056 -      0.00 |    0.00 |     0.93 |   0.95
0057 -     94.06 |   94.80 |     0.96 |   0.96
0058 -      0.00 |    0.00 |     0.82 |   0.90
0059 -      0.00 |    0.00 |     0.69 |   0.84
0060 -      0.00 |    0.00 |     0.87 |   0.92
0061 -      9.82 |   93.00 |     0.97 |   0.98
0062 -     47.99 |   50.23 |     0.72 |   0.73
0063 -     26.71 |   92.77 |     0.90 |   0.95
0064 -     49.66 |   48.97 |     0.95 |   0.93
0065 -      5.23 |    5.09 |     0.90 |   0.92
0066 -     39.18 |   96.12 |     0.93 |   0.99
