==============================================
BLEU GOLD:                               29.67
BLEU IN:                                 53.27
SIM GOLD:                               0.8718
SIM IN:                                 0.9549
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0115 -     66.04 |  100.00 |     0.99 |   1.00
0116 -     55.21 |  100.00 |     0.91 |   1.00
0117 -     16.64 |   36.20 |     0.86 |   0.87
0118 -     13.46 |   12.84 |     0.92 |   0.98
0119 -      0.00 |    0.00 |     0.80 |   0.86
0120 -      0.00 |    0.00 |     0.89 |   0.90
0121 -      0.00 |    0.00 |     0.68 |   0.89
0122 -     20.69 |   20.37 |     0.96 |   0.99
0123 -     25.34 |   62.21 |     0.93 |   0.99
0124 -     43.07 |  100.00 |     0.58 |   1.00
0125 -      0.00 |  100.00 |     0.95 |   1.00
0126 -     10.57 |   55.52 |     0.90 |   0.93
0127 -     71.34 |  100.00 |     0.94 |   1.00
0128 -     14.85 |    0.00 |     0.81 |   0.92
0129 -     12.93 |   12.02 |     0.71 |   0.89
0130 -     56.78 |   81.31 |     0.95 |   0.99
0131 -     70.78 |   91.69 |     0.96 |   1.00
0132 -     49.24 |   98.45 |     0.76 |   0.96
0133 -      0.00 |    0.00 |     0.93 |   0.97
0134 -     11.57 |   43.01 |     0.92 |   0.97
0135 -     41.14 |   95.54 |     0.97 |   1.00
0136 -     31.60 |   98.98 |     0.94 |   0.98
0137 -     13.35 |  100.00 |     0.97 |   1.00
0138 -      0.00 |   99.29 |     0.81 |   1.00
0139 -     60.84 |   99.54 |     0.95 |   1.00
0140 -     21.33 |   86.18 |     0.90 |   0.99
0141 -     32.43 |   25.47 |     0.87 |   0.99
0142 -     60.24 |   98.50 |     0.75 |   0.96
0143 -      0.00 |    0.00 |     0.84 |   0.90
0144 -      0.00 |    0.00 |     0.83 |   0.91
0145 -     30.73 |   77.66 |     0.97 |   1.00
0146 -     57.72 |   71.36 |     0.97 |   1.00
0147 -      0.00 |    0.00 |     0.72 |   0.85
0148 -     40.14 |   94.49 |     0.82 |   0.93
0149 -      0.00 |  100.00 |     0.96 |   1.00
0150 -     29.58 |   84.88 |     0.75 |   0.92
0151 -      0.00 |   23.73 |     0.68 |   0.87
0152 -     61.63 |   50.30 |     0.92 |   0.97
0153 -      0.00 |    0.00 |     0.82 |   0.83
0154 -     14.04 |  100.00 |     0.80 |   1.00
0155 -      0.00 |    0.00 |     0.82 |   0.90
0156 -     13.30 |    0.00 |     0.85 |   0.89
0157 -      0.00 |  100.00 |     0.82 |   1.00
0158 -     59.36 |  100.00 |     0.88 |   1.00
0159 -     13.05 |   61.48 |     0.97 |   0.99
0160 -     66.16 |  100.00 |     0.88 |   1.00
0161 -      0.00 |    0.00 |     0.73 |   0.88
0162 -     35.93 |   31.79 |     0.98 |   0.97
0163 -     76.74 |  100.00 |     0.99 |   1.00
0164 -     20.16 |   78.72 |     0.72 |   0.96
0165 -     86.36 |    0.00 |     0.84 |   0.84
0166 -      0.00 |    0.00 |     0.84 |   0.97
0167 -      0.00 |    0.00 |     0.93 |   0.93
0168 -     30.66 |   75.77 |     0.77 |   0.92
0169 -      0.00 |   73.86 |     0.75 |   1.00
0170 -      0.00 |    0.00 |     0.94 |   1.00
0171 -     80.57 |   77.86 |     0.98 |   0.98
0172 -     44.63 |   97.50 |     0.95 |   0.99
0173 -     82.29 |   64.83 |     0.81 |   0.87
0174 -      0.00 |    0.00 |     0.64 |   0.81
0175 -     25.84 |   99.05 |     0.92 |   0.98
0176 -     15.19 |  100.00 |     0.85 |   1.00
0177 -      0.00 |   42.12 |     0.89 |   1.00
0178 -      0.00 |    0.00 |     0.90 |   0.91
