==============================================
BLEU GOLD:                               71.86
BLEU IN:                                 80.38
ACC GOLD:                               0.0024
ACC IN:                                 0.2308
SIM GOLD:                               0.9207
SIM IN:                                 0.9558
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0114 -     99.59 |   22.17 |     1.00 |   0.99
0115 -     42.06 |   48.78 |     0.87 |   0.90
0116 -     72.75 |  100.00 |     0.95 |   1.00
0117 -      8.73 |  100.00 |     0.98 |   0.99
0118 -     27.98 |   27.73 |     0.97 |   0.99
0119 -      0.00 |    0.00 |     0.83 |   0.85
0120 -     46.92 |   67.28 |     0.87 |   1.00
0121 -     51.82 |   83.18 |     0.93 |   0.96
0122 -     96.75 |  100.00 |     0.94 |   0.98
0123 -     48.55 |   92.24 |     0.94 |   0.98
0124 -     94.44 |  100.00 |     0.99 |   1.00
0125 -     38.41 |   45.14 |     0.97 |   0.99
0126 -     95.71 |  100.00 |     0.95 |   1.00
0127 -     74.96 |   44.52 |     0.98 |   0.93
0128 -     39.15 |  100.00 |     0.96 |   1.00
0129 -     77.16 |   81.81 |     0.91 |   0.90
0130 -     12.69 |   12.76 |     0.94 |   0.96
0131 -      0.00 |    0.00 |     0.89 |   0.86
0132 -     24.96 |   98.59 |     0.93 |   1.00
0133 -     43.76 |   70.71 |     0.86 |   0.90
0134 -      8.66 |  100.00 |     0.94 |   1.00
0135 -     45.42 |  100.00 |     0.99 |   1.00
0136 -      0.00 |    0.00 |     0.78 |   0.93
0137 -     27.43 |  100.00 |     0.99 |   1.00
0138 -      0.00 |    0.00 |     0.73 |   0.80
0139 -      0.00 |    0.00 |     0.91 |   0.94
0140 -     48.77 |   60.96 |     0.88 |   0.94
0141 -      0.00 |    0.00 |     0.93 |   0.95
0142 -     31.11 |   11.66 |     0.98 |   0.99
0143 -      0.00 |    0.00 |     0.87 |   0.90
0144 -     68.77 |   91.77 |     0.93 |   0.95
0145 -      0.00 |    0.00 |     0.86 |   0.88
0146 -     86.20 |  100.00 |     0.93 |   1.00
