==============================================
BLEU GOLD:                               53.80
BLEU IN:                                 59.97
ACC GOLD:                               0.0036
ACC IN:                                 0.0697
SIM GOLD:                               0.8373
SIM IN:                                 0.8667
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0114 -     93.68 |   21.70 |     0.99 |   1.00
0115 -      0.00 |    0.00 |     0.70 |   0.74
0116 -     20.44 |   20.44 |     0.90 |   0.95
0117 -      0.00 |    0.00 |     0.67 |   0.67
0118 -      0.00 |    0.00 |     0.60 |   0.63
0119 -     60.63 |   65.99 |     0.79 |   0.83
0120 -     74.37 |   87.88 |     0.70 |   0.85
0121 -     47.12 |    8.77 |     0.92 |   0.95
0122 -     96.75 |  100.00 |     0.93 |   0.97
0123 -     43.36 |   35.93 |     0.68 |   0.65
0124 -      0.00 |    0.00 |     0.98 |   0.99
0125 -      0.00 |    0.00 |     0.90 |   0.91
0126 -     43.00 |   39.03 |     0.92 |   0.87
0127 -      0.00 |    0.00 |     0.63 |   0.58
0128 -     36.65 |   55.04 |     0.93 |   0.98
0129 -      5.13 |    5.13 |     0.93 |   0.93
0130 -     23.41 |   22.59 |     0.90 |   0.92
0131 -      0.00 |    0.00 |     0.38 |   0.41
0132 -      9.69 |   24.33 |     0.83 |   0.83
0133 -     20.72 |   20.49 |     0.74 |   0.75
0134 -     11.15 |   33.69 |     0.74 |   0.81
0135 -     53.14 |   56.19 |     0.94 |   0.96
0136 -      0.00 |    0.00 |     0.69 |   0.83
0137 -      0.00 |    0.00 |     0.86 |   0.87
0138 -      0.00 |    0.00 |     0.80 |   0.87
0139 -     64.67 |    0.00 |     0.95 |   0.98
0140 -     23.67 |   27.40 |     0.87 |   0.96
0141 -     16.64 |    8.73 |     0.76 |   0.73
0142 -      0.00 |    0.00 |     0.96 |   0.97
0143 -      0.00 |    0.00 |     0.96 |   0.97
0144 -     11.72 |    0.00 |     0.77 |   0.79
0145 -      0.00 |    0.00 |     0.83 |   0.87
0146 -      0.00 |    0.00 |     0.71 |   0.69
0147 -      0.00 |    0.00 |    -0.03 |  -0.03
0148 -     90.03 |    7.08 |     0.94 |   0.96
0149 -     54.80 |   60.72 |     0.91 |   0.94
0150 -      5.20 |   17.77 |     0.97 |   0.99
0151 -     24.55 |   54.90 |     0.86 |   0.89
0152 -      0.00 |    0.00 |     0.80 |   0.81
0153 -      0.00 |    0.00 |     0.88 |   0.98
0154 -     24.07 |   79.40 |     0.90 |   0.93
0155 -      0.00 |    0.00 |     0.59 |   0.58
0156 -     11.32 |   11.10 |     0.88 |   0.88
0157 -     36.46 |   36.82 |     0.93 |   0.92
0158 -     84.56 |  100.00 |     0.97 |   1.00
0159 -      0.00 |   12.34 |     0.64 |   0.69
0160 -     14.24 |   14.90 |     0.84 |   0.88
0161 -      0.00 |    0.00 |     0.83 |   0.88
0162 -     16.07 |   14.18 |     0.88 |   0.90
0163 -     18.13 |   32.96 |     0.91 |   0.93
0164 -     29.06 |   28.90 |     0.90 |   0.91
0165 -      7.68 |    7.01 |     0.89 |   0.91
0166 -     32.27 |   99.82 |     0.98 |   0.99
0167 -     30.99 |   27.09 |     0.85 |   0.92
0168 -     10.43 |    9.69 |     0.89 |   0.90
0169 -      0.00 |    0.00 |     0.67 |   0.68
0170 -     10.66 |   19.96 |     0.69 |   0.74
0171 -      0.00 |    0.00 |     0.83 |   0.86
0172 -     87.65 |  100.00 |     0.98 |   1.00
0173 -     29.18 |   36.91 |     0.95 |   0.97
0174 -     60.25 |   61.08 |     0.86 |   0.88
0175 -      0.00 |    0.00 |     0.74 |   0.78
0176 -     66.29 |  100.00 |     0.99 |   1.00
0177 -     14.17 |   14.25 |     0.76 |   0.80
0178 -     40.13 |   34.40 |     0.73 |   0.85
0179 -     49.88 |   49.39 |     1.00 |   0.91
0180 -     55.72 |   55.28 |     0.92 |   0.97
0181 -      0.00 |    0.00 |     0.81 |   0.78
0182 -      0.00 |    0.00 |     0.77 |   0.79
0183 -     29.60 |   13.58 |     0.88 |   0.93
0184 -     16.07 |   14.64 |     0.73 |   0.76
0185 -     27.67 |   47.52 |     0.72 |   0.77
0186 -      5.49 |    0.00 |     0.77 |   0.79
0187 -      0.00 |    0.00 |     0.85 |   0.92
0188 -     76.31 |   75.44 |     0.93 |   0.98
0189 -     44.68 |   59.81 |     0.81 |   0.95
0190 -      0.00 |  100.00 |     0.96 |   1.00
0191 -     28.27 |   21.11 |     0.94 |   0.91
0192 -      0.00 |    0.00 |     0.91 |   0.94
0193 -      0.00 |    0.00 |     0.91 |   0.96
0194 -      5.97 |    0.00 |     0.98 |   1.00
0195 -     46.16 |   75.00 |     0.93 |   0.94
0196 -      0.00 |    0.00 |     0.90 |   0.91
0197 -     29.00 |   63.96 |     0.89 |   0.89
0198 -     35.17 |   32.92 |     0.95 |   0.98
0199 -     86.32 |   92.64 |     0.89 |   0.98
0200 -      0.00 |    0.00 |     0.43 |   0.44
0201 -     12.49 |   20.24 |     0.43 |   0.47
0202 -     48.34 |   91.62 |     0.91 |   0.94
0203 -     42.47 |   61.98 |     0.85 |   0.92
0204 -     17.56 |   99.88 |     0.99 |   0.99
0205 -      0.00 |    0.00 |     0.81 |   0.85
0206 -      0.00 |    0.00 |     0.91 |   0.91
0207 -     24.58 |   32.56 |     0.93 |   0.96
0208 -      0.00 |    0.00 |     0.92 |   0.89
0209 -      0.00 |    0.00 |     0.74 |   0.65
0210 -     22.10 |   19.55 |     0.96 |   0.98
0211 -     11.31 |   14.00 |     0.95 |   0.97
0212 -     27.44 |   55.20 |     0.95 |   0.97
0213 -      0.00 |    0.00 |     0.92 |   0.93
0214 -      0.00 |    0.00 |     0.54 |   0.59
0215 -     19.90 |   18.11 |     0.81 |   0.82
0216 -     73.96 |   80.18 |     0.98 |   1.00
0217 -      0.00 |    0.00 |     0.79 |   0.91
0218 -     70.55 |   32.07 |     0.84 |   0.86
0219 -     34.36 |   95.57 |     0.90 |   0.93
0220 -     43.02 |   47.12 |     0.85 |   0.93
0221 -     51.44 |   50.15 |     0.80 |   0.91
0222 -      0.00 |    3.16 |     0.89 |   0.90
0223 -      0.00 |    0.00 |     0.74 |   0.80
0224 -      0.00 |    0.00 |     0.93 |   0.93
0225 -     44.04 |   85.37 |     0.84 |   0.87
0226 -     67.75 |  100.00 |     0.96 |   1.00
0227 -      0.00 |    0.00 |     0.92 |   0.97
0228 -      0.00 |    0.00 |     0.73 |   0.76
0229 -     13.66 |   40.77 |     0.97 |   0.99
0230 -     24.27 |   21.85 |     0.81 |   0.81
0231 -      0.00 |    0.00 |     0.89 |   0.90
0232 -      0.00 |    0.00 |     0.94 |   0.97
0233 -     49.98 |   99.01 |     0.94 |   0.99
0234 -      0.00 |    0.00 |     0.83 |   0.85
0235 -      0.00 |    0.00 |     0.86 |   0.85
0236 -      0.00 |  100.00 |     0.94 |   1.00
0237 -      0.00 |    0.00 |     0.58 |   0.61
0238 -     97.69 |   58.66 |     0.93 |   0.92
0239 -     24.76 |    0.00 |     0.79 |   0.81
0240 -     11.10 |   99.76 |     0.92 |   0.94
0241 -     38.27 |   91.35 |     0.93 |   0.95
0242 -     16.73 |   52.66 |     0.99 |   1.00
0243 -     79.29 |   68.97 |     0.83 |   0.83
