==============================================
BLEU GOLD:                               65.37
BLEU IN:                                 88.59
ACC GOLD:                               0.0020
ACC IN:                                 0.3730
SIM GOLD:                               0.8931
SIM IN:                                 0.9802
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     86.48 |  100.00 |     0.96 |   1.00
0002 -     84.52 |  100.00 |     0.96 |   1.00
0003 -     99.48 |  100.00 |     0.84 |   1.00
0004 -     42.86 |  100.00 |     0.91 |   1.00
0005 -     99.25 |   50.84 |     1.00 |   0.96
0006 -      0.00 |    0.00 |     0.86 |   0.99
0007 -     16.35 |   16.53 |     0.83 |   0.89
0008 -     59.64 |  100.00 |     0.76 |   1.00
0009 -      0.00 |    0.00 |     0.68 |   0.87
0010 -     10.22 |  100.00 |     0.99 |   1.00
0011 -     99.17 |  100.00 |     0.87 |   1.00
0012 -     58.29 |  100.00 |     0.95 |   1.00
0013 -      0.00 |    0.00 |     0.87 |   0.93
0014 -      0.00 |   69.42 |     0.79 |   1.00
0015 -     50.22 |   51.62 |     0.93 |   0.98
0016 -     57.48 |  100.00 |     0.81 |   1.00
0017 -      0.00 |  100.00 |     0.62 |   1.00
0018 -      0.00 |    0.00 |     0.92 |   1.00
0019 -      0.00 |   96.37 |     0.95 |   0.98
0020 -     53.65 |   43.66 |     0.85 |   1.00
0021 -     79.72 |  100.00 |     0.96 |   1.00
0022 -      0.00 |    0.00 |     0.95 |   1.00
0023 -      9.45 |  100.00 |     0.92 |   1.00
0024 -     75.39 |   80.46 |     0.98 |   0.99
0025 -     85.89 |  100.00 |     0.89 |   1.00
0026 -     67.70 |   67.59 |     0.99 |   1.00
0027 -     60.11 |  100.00 |     0.93 |   1.00
0028 -     66.07 |   63.69 |     0.92 |   1.00
0029 -     59.15 |   99.67 |     0.93 |   0.97
0030 -     30.09 |   99.81 |     0.97 |   0.98
0031 -     55.41 |  100.00 |     0.93 |   1.00
0032 -     19.11 |   89.72 |     0.89 |   0.96
0033 -     51.80 |  100.00 |     0.87 |   1.00
0034 -     25.35 |   95.49 |     0.98 |   1.00
0035 -     51.45 |  100.00 |     0.87 |   1.00
0036 -     29.08 |   99.83 |     0.97 |   0.99
0037 -      8.13 |   18.70 |     0.87 |   1.00
0038 -     18.77 |   12.60 |     0.81 |   0.93
0039 -     19.07 |   99.81 |     0.94 |   1.00
0040 -     99.81 |  100.00 |     0.90 |   1.00
0041 -     42.27 |  100.00 |     0.93 |   1.00
0042 -     76.19 |   95.94 |     0.89 |   0.97
0043 -     30.44 |    8.53 |     0.98 |   0.99
0044 -     99.78 |  100.00 |     0.92 |   1.00
0045 -     50.67 |  100.00 |     0.93 |   1.00
0046 -      0.00 |    0.00 |     0.98 |   1.00
0047 -     19.72 |    0.00 |     0.90 |   0.99
0048 -     25.78 |   19.43 |     0.90 |   0.98
0049 -     58.28 |   55.41 |     0.98 |   1.00
0050 -     43.19 |   61.10 |     0.90 |   0.95
0051 -     19.19 |   48.52 |     0.93 |   0.99
0052 -     67.65 |   99.87 |     0.95 |   0.99
0053 -     89.22 |   99.85 |     0.92 |   0.99
0054 -     53.55 |   31.26 |     0.89 |   0.96
0055 -     99.85 |    0.00 |     0.92 |   1.00
0056 -     45.99 |   74.32 |     0.98 |   1.00
0057 -      6.80 |    6.52 |     0.96 |   0.93
0058 -      3.68 |    3.54 |     0.89 |   0.95
0059 -      0.00 |  100.00 |     0.83 |   1.00
0060 -     73.59 |   99.45 |     0.95 |   1.00
0061 -     90.01 |   14.00 |     0.99 |   0.99
0062 -     71.70 |  100.00 |     0.97 |   1.00
0063 -     26.71 |   92.77 |     0.90 |   0.95
0064 -     53.21 |   57.23 |     0.95 |   0.99
0065 -      5.57 |    5.27 |     0.91 |   0.92
0066 -     38.69 |  100.00 |     0.93 |   1.00
0067 -     63.21 |   95.98 |     0.98 |   0.99
0068 -     47.95 |  100.00 |     0.73 |   1.00
0069 -      0.00 |  100.00 |     0.93 |   1.00
0070 -     25.95 |   97.59 |     0.96 |   1.00
0071 -      6.63 |   51.74 |     0.93 |   0.98
0072 -      6.87 |    7.80 |     0.84 |   1.00
0073 -     77.96 |   50.79 |     0.83 |   0.96
0074 -      0.00 |    0.00 |     0.71 |   0.80
0075 -     62.77 |   96.24 |     0.96 |   0.99
0076 -     38.48 |   30.02 |     0.83 |   0.99
0077 -     60.76 |   56.85 |     0.93 |   0.98
0078 -      0.00 |    0.00 |     0.75 |   0.87
0079 -      0.00 |  100.00 |     0.96 |   1.00
0080 -     67.53 |  100.00 |     0.94 |   1.00
0081 -     81.96 |  100.00 |     0.94 |   1.00
0082 -      0.00 |  100.00 |     0.90 |   1.00
0083 -     18.01 |  100.00 |     0.99 |   1.00
0084 -     54.45 |   61.66 |     0.85 |   1.00
0085 -      0.00 |  100.00 |     0.73 |   1.00
0086 -      0.00 |  100.00 |     0.89 |   1.00
0087 -     80.96 |  100.00 |     0.90 |   1.00
0088 -      0.00 |    0.00 |     0.95 |   0.97
0089 -     29.48 |   30.37 |     0.92 |   0.96
0090 -     74.63 |   91.35 |     0.84 |   0.99
0091 -      0.00 |  100.00 |     0.91 |   1.00
0092 -     59.79 |   82.19 |     0.95 |   0.99
0093 -      0.00 |    0.00 |     0.85 |   0.98
0094 -      9.58 |    8.69 |     0.89 |   0.99
0095 -     93.94 |  100.00 |     0.94 |   1.00
0096 -      0.00 |    0.00 |     0.89 |   0.95
0097 -      0.00 |    0.00 |     0.82 |   0.89
0098 -     50.95 |   70.33 |     0.79 |   0.86
0099 -     84.25 |  100.00 |     0.87 |   1.00
0100 -     54.67 |   74.43 |     0.69 |   1.00
0101 -     39.55 |   99.81 |     0.84 |   0.98
0102 -     72.21 |  100.00 |     0.96 |   1.00
0103 -      0.00 |    0.00 |     0.95 |   0.98
0104 -     43.08 |   99.80 |     0.93 |   0.98
0105 -     48.03 |  100.00 |     0.93 |   1.00
0106 -     92.47 |   98.35 |     0.97 |   1.00
0107 -      0.00 |    0.00 |     0.80 |   0.92
0108 -     55.38 |   99.64 |     0.75 |   0.92
0109 -     97.14 |   87.14 |     0.88 |   0.94
0110 -     11.95 |   77.98 |     0.87 |   0.96
0111 -     55.75 |  100.00 |     0.95 |   1.00
0112 -     49.68 |  100.00 |     0.95 |   1.00
0113 -     14.56 |  100.00 |     0.94 |   1.00
0114 -     34.01 |   89.13 |     0.95 |   0.94
0115 -     58.94 |  100.00 |     0.99 |   1.00
0116 -     55.67 |  100.00 |     0.91 |   1.00
0117 -     16.95 |  100.00 |     0.99 |   1.00
0118 -     14.29 |   15.05 |     0.92 |   0.98
0119 -      0.00 |    0.00 |     0.92 |   1.00
0120 -     15.43 |   98.80 |     0.95 |   0.99
0121 -      0.00 |  100.00 |     0.82 |   1.00
0122 -     72.89 |  100.00 |     0.97 |   1.00
0123 -     22.46 |   62.03 |     0.92 |   0.98
0124 -     43.18 |  100.00 |     0.58 |   1.00
0125 -      0.00 |  100.00 |     0.95 |   1.00
0126 -      0.00 |   94.92 |     0.94 |   0.97
0127 -      0.00 |  100.00 |     0.94 |   1.00
0128 -      6.33 |    0.00 |     0.89 |   1.00
0129 -     11.12 |   10.52 |     0.68 |   0.89
0130 -     70.54 |   82.87 |     0.95 |   0.99
0131 -     59.97 |   99.82 |     0.93 |   0.97
0132 -     59.60 |  100.00 |     0.81 |   1.00
0133 -      0.00 |    0.00 |     0.96 |   1.00
0134 -     67.08 |   68.20 |     0.94 |   0.98
0135 -     40.89 |   95.40 |     0.97 |   1.00
0136 -     31.71 |   99.85 |     0.92 |   0.98
0137 -     13.18 |   96.53 |     0.97 |   1.00
0138 -      0.00 |  100.00 |     0.80 |   1.00
0139 -     58.23 |   65.55 |     0.95 |   1.00
0140 -     23.43 |   93.90 |     0.91 |   0.99
0141 -     32.21 |   25.10 |     0.87 |   0.99
0142 -     67.74 |  100.00 |     0.75 |   1.00
0143 -      0.00 |    0.00 |     0.88 |   0.93
0144 -     12.92 |   12.76 |     0.87 |   0.96
0145 -     31.40 |   99.60 |     0.96 |   0.99
0146 -     48.59 |   71.17 |     0.97 |   1.00
0147 -      0.00 |    0.00 |     0.71 |   0.85
0148 -     30.88 |   38.22 |     0.87 |   0.99
0149 -      0.00 |  100.00 |     0.96 |   1.00
0150 -     17.41 |  100.00 |     0.81 |   0.99
0151 -      0.00 |   94.93 |     0.72 |   0.99
0152 -     99.75 |   78.13 |     0.96 |   1.00
0153 -      0.00 |    0.00 |     0.91 |   0.93
0154 -     14.12 |  100.00 |     0.80 |   1.00
0155 -     55.13 |   49.02 |     0.92 |   1.00
0156 -     93.46 |    0.00 |     0.93 |   1.00
0157 -     79.35 |  100.00 |     0.82 |   1.00
0158 -     59.84 |  100.00 |     0.88 |   1.00
0159 -     15.23 |   61.66 |     0.97 |   1.00
0160 -      8.03 |    0.00 |     0.84 |   0.95
0161 -      0.00 |    0.00 |     0.88 |   1.00
0162 -      0.00 |    0.00 |     0.93 |   0.92
0163 -     78.04 |   86.87 |     0.99 |   1.00
0164 -     19.81 |   75.46 |     0.84 |   0.93
0165 -      0.00 |   44.16 |     0.93 |   0.96
0166 -     18.22 |  100.00 |     0.88 |   1.00
0167 -      0.00 |    0.00 |     0.92 |   0.93
0168 -     26.67 |   94.09 |     0.77 |   0.96
0169 -      0.00 |   47.43 |     0.75 |   1.00
0170 -     39.13 |  100.00 |     0.95 |   1.00
0171 -      0.00 |    0.00 |     0.96 |   0.98
0172 -     43.86 |   48.71 |     0.94 |   1.00
0173 -     56.50 |   99.68 |     0.85 |   1.00
0174 -      0.00 |    0.00 |     0.65 |   0.88
0175 -     22.01 |   99.86 |     0.93 |   0.98
0176 -     16.31 |  100.00 |     0.85 |   1.00
0177 -      0.00 |   41.68 |     0.90 |   1.00
0178 -      0.00 |    0.00 |     0.94 |   0.98
0179 -     33.13 |  100.00 |     0.88 |   1.00
0180 -      0.00 |    0.00 |     0.85 |   0.99
0181 -     40.37 |  100.00 |     0.90 |   1.00
0182 -     11.21 |   99.64 |     0.85 |   0.96
0183 -     85.60 |  100.00 |     0.97 |   1.00
0184 -      0.00 |   26.86 |     0.97 |   1.00
0185 -     34.68 |  100.00 |     0.59 |   1.00
0186 -      0.00 |   46.87 |     0.76 |   0.99
0187 -     26.72 |   20.98 |     0.87 |   0.98
0188 -      0.00 |    0.00 |     0.95 |   1.00
