==============================================
BLEU GOLD:                               59.96
BLEU IN:                                 80.79
ACC GOLD:                               0.0010
ACC IN:                                 0.2060
SIM GOLD:                               0.8718
SIM IN:                                 0.9549
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0114 -      0.00 |    0.00 |     0.93 |   0.96
0115 -     58.94 |  100.00 |     0.99 |   1.00
0116 -     55.67 |  100.00 |     0.91 |   1.00
0117 -     16.83 |   32.95 |     0.86 |   0.87
0118 -     14.29 |   15.05 |     0.92 |   0.98
0119 -      0.00 |    0.00 |     0.80 |   0.86
0120 -      0.00 |    0.00 |     0.89 |   0.90
0121 -      0.00 |    0.00 |     0.68 |   0.89
0122 -     19.09 |   20.95 |     0.96 |   0.99
0123 -     22.53 |   62.06 |     0.93 |   0.99
0124 -     43.18 |  100.00 |     0.58 |   1.00
0125 -      0.00 |  100.00 |     0.95 |   1.00
0126 -      9.78 |   55.50 |     0.90 |   0.93
0127 -      0.00 |  100.00 |     0.94 |   1.00
0128 -      0.00 |   17.24 |     0.81 |   0.92
0129 -     12.95 |   12.11 |     0.71 |   0.89
0130 -     70.54 |   82.87 |     0.95 |   0.99
0131 -     68.79 |   91.20 |     0.96 |   1.00
0132 -     49.24 |   96.20 |     0.76 |   0.96
0133 -     33.98 |    0.00 |     0.93 |   0.97
0134 -      9.10 |   42.27 |     0.92 |   0.97
0135 -     40.89 |   95.40 |     0.97 |   1.00
0136 -     31.71 |   99.85 |     0.94 |   0.98
0137 -     13.18 |  100.00 |     0.97 |   1.00
0138 -      0.00 |   99.26 |     0.81 |   1.00
0139 -     58.23 |   65.55 |     0.95 |   1.00
0140 -     23.43 |   79.31 |     0.90 |   0.99
0141 -     32.21 |   25.10 |     0.87 |   0.99
0142 -     53.95 |   99.74 |     0.75 |   0.96
0143 -     33.91 |   24.74 |     0.84 |   0.90
0144 -      0.00 |    0.00 |     0.83 |   0.91
0145 -     31.31 |   77.13 |     0.97 |   1.00
0146 -     48.59 |   71.17 |     0.97 |   1.00
0147 -      0.00 |    0.00 |     0.72 |   0.85
0148 -     39.06 |   94.44 |     0.82 |   0.93
0149 -      0.00 |  100.00 |     0.96 |   1.00
0150 -     16.72 |   84.36 |     0.75 |   0.92
