==============================================
BLEU GOLD:                               59.10
BLEU IN:                                 79.55
ACC GOLD:                               0.0010
ACC IN:                                 0.2080
SIM GOLD:                               0.8649
SIM IN:                                 0.9464
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     86.48 |  100.00 |     0.96 |   1.00
0002 -     37.72 |   35.87 |     0.95 |   0.98
0003 -     94.69 |   96.38 |     0.84 |   1.00
0004 -     35.45 |   66.77 |     0.83 |   0.94
0005 -     50.41 |  100.00 |     0.96 |   1.00
0006 -      0.00 |    0.00 |     0.85 |   0.98
0007 -      0.00 |    7.55 |     0.70 |   0.72
0008 -      0.00 |   45.29 |     0.47 |   0.65
0009 -      0.00 |    0.00 |     0.63 |   0.87
0010 -      9.83 |    7.97 |     0.99 |   1.00
0011 -     99.17 |  100.00 |     0.87 |   1.00
0012 -     55.87 |   94.02 |     0.94 |   1.00
0013 -      0.00 |    0.00 |     0.96 |   0.99
0014 -      0.00 |   79.33 |     0.77 |   0.97
0015 -     50.21 |   51.64 |     0.95 |   0.97
0016 -     50.08 |   51.93 |     0.80 |   0.97
0017 -      0.00 |   98.43 |     0.58 |   0.92
0018 -     39.93 |  100.00 |     0.92 |   1.00
0019 -      0.00 |    0.00 |     0.94 |   0.97
0020 -     53.47 |  100.00 |     0.86 |   1.00
0021 -     72.11 |   73.35 |     0.94 |   0.97
0022 -      0.00 |   91.26 |     0.93 |   0.98
0023 -      9.57 |   64.25 |     0.90 |   0.97
0024 -     74.19 |   78.93 |     0.97 |   0.99
0025 -     30.47 |   30.32 |     0.85 |   0.90
0026 -     67.70 |   67.59 |     0.99 |   1.00
0027 -     60.11 |  100.00 |     0.93 |   1.00
0028 -     99.40 |  100.00 |     0.93 |   1.00
0029 -     53.29 |   57.19 |     0.93 |   0.98
0030 -     61.48 |   65.76 |     0.96 |   0.97
0031 -      0.00 |    0.00 |     0.63 |   0.72
0032 -     17.98 |   88.85 |     0.85 |   0.93
0033 -     40.55 |   86.50 |     0.87 |   1.00
0034 -      0.00 |    0.00 |     0.90 |   0.92
0035 -     51.45 |  100.00 |     0.87 |   1.00
0036 -     24.28 |   46.31 |     0.96 |   0.97
0037 -      7.67 |   12.56 |     0.85 |   0.98
0038 -     22.59 |   43.94 |     0.95 |   1.00
0039 -     10.51 |   10.49 |     0.92 |   0.97
0040 -     97.48 |   98.27 |     0.86 |   0.98
0041 -     42.27 |  100.00 |     0.93 |   1.00
0042 -     75.44 |   61.58 |     0.91 |   1.00
0043 -      5.80 |    8.81 |     0.98 |   1.00
0044 -     97.05 |   98.03 |     0.91 |   1.00
0045 -     36.24 |   31.84 |     0.91 |   0.99
0046 -      0.00 |    0.00 |     0.89 |   0.89
0047 -      8.19 |   19.59 |     0.93 |   1.00
0048 -     21.79 |   19.29 |     0.90 |   0.97
0049 -     58.06 |   59.67 |     0.98 |   0.99
0050 -     42.97 |   90.37 |     0.90 |   0.95
0051 -     19.21 |   45.46 |     0.92 |   0.98
0052 -      0.00 |    0.00 |     0.93 |   0.96
0053 -      0.00 |    0.00 |     0.74 |   0.85
0054 -     29.20 |   30.99 |     0.84 |   0.89
0055 -     99.85 |    0.00 |     0.95 |   0.88
