==============================================
BLEU GOLD:                               42.12
BLEU IN:                                 55.70
ACC GOLD:                               0.0000
ACC IN:                                 0.0390
SIM GOLD:                               0.7748
SIM IN:                                 0.8423
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0114 -      0.00 |    0.00 |     0.73 |   0.72
0115 -     55.05 |   87.89 |     0.97 |   0.97
0116 -     55.67 |   83.42 |     0.85 |   0.96
0117 -     14.81 |   35.72 |     0.88 |   0.88
0118 -     14.29 |   15.05 |     0.92 |   0.98
0119 -     51.43 |   51.00 |     0.84 |   0.91
0120 -      0.00 |    0.00 |     0.83 |   0.87
0121 -      0.00 |    0.00 |     0.45 |   0.65
0122 -     21.38 |   19.33 |     0.85 |   0.89
0123 -      0.00 |    0.00 |     0.80 |   0.86
0124 -      0.00 |    0.00 |     0.58 |   0.97
0125 -      0.00 |   20.25 |     0.81 |   0.89
0126 -      0.00 |    0.00 |     0.84 |   0.85
0127 -      0.00 |   57.96 |     0.94 |   0.97
0128 -      0.00 |    0.00 |     0.54 |   0.49
0129 -     11.09 |   47.11 |     0.74 |   0.93
0130 -     59.77 |   78.84 |     0.87 |   0.94
0131 -     54.98 |   95.18 |     0.91 |   0.96
0132 -      0.00 |    0.00 |     0.65 |   0.71
0133 -      0.00 |    0.00 |     0.73 |   0.79
0134 -     35.30 |   35.73 |     0.89 |   0.92
0135 -     38.18 |   39.27 |     0.88 |   0.91
0136 -      0.00 |    0.00 |     0.73 |   0.75
0137 -      0.00 |    0.00 |     0.79 |   0.78
0138 -      0.00 |   87.13 |     0.80 |   0.90
0139 -     61.02 |  100.00 |     0.94 |   1.00
0140 -     13.48 |   12.31 |     0.85 |   0.94
0141 -     30.08 |   23.29 |     0.79 |   0.96
0142 -      5.84 |    0.00 |     0.74 |   0.93
0143 -      0.00 |    0.00 |     0.85 |   0.89
0144 -      0.00 |    0.00 |     0.61 |   0.69
0145 -     28.44 |   69.28 |     0.94 |   0.97
0146 -      5.46 |    0.00 |     0.89 |   0.93
0147 -      0.00 |    0.00 |     0.70 |   0.86
0148 -      0.00 |    0.00 |     0.18 |   0.24
0149 -      0.00 |   26.81 |     0.84 |   0.86
0150 -     17.04 |   24.54 |     0.65 |   0.87
0151 -      0.00 |   19.64 |     0.54 |   0.79
0152 -      0.00 |    0.00 |     0.93 |   0.89
0153 -      0.00 |    0.00 |     0.92 |   0.93
0154 -     15.22 |   12.24 |     0.50 |   0.49
0155 -      0.00 |    0.00 |     0.79 |   0.88
0156 -     13.48 |    0.00 |     0.70 |   0.72
0157 -     64.04 |   80.62 |     0.80 |   0.93
0158 -     59.84 |  100.00 |     0.88 |   1.00
0159 -      0.00 |    0.00 |     0.38 |   0.39
0160 -      0.00 |    0.00 |     0.77 |   0.84
0161 -      0.00 |    0.00 |     0.68 |   0.80
0162 -      0.00 |    0.00 |     0.73 |   0.72
0163 -     38.02 |   36.00 |     0.89 |   0.90
0164 -      0.00 |    0.00 |     0.31 |   0.25
0165 -      0.00 |    8.48 |     0.25 |   0.30
0166 -      0.00 |    0.00 |     0.61 |   0.72
0167 -      0.00 |    0.00 |     0.68 |   0.69
0168 -     25.06 |   85.23 |     0.89 |   0.95
0169 -      0.00 |    0.00 |     0.38 |   0.45
0170 -     38.00 |   49.53 |     0.88 |   0.91
0171 -      0.00 |    0.00 |     0.95 |   0.94
0172 -     43.06 |   43.48 |     0.86 |   0.91
0173 -      0.00 |    0.00 |     0.75 |   0.69
0174 -      0.00 |    0.00 |     0.55 |   0.74
0175 -      0.00 |    0.00 |     0.60 |   0.68
0176 -     15.41 |   23.35 |     0.66 |   0.83
0177 -      0.00 |    0.00 |     0.37 |   0.61
0178 -      0.00 |    0.00 |     0.90 |   0.87
0179 -     11.80 |   21.73 |     0.83 |   0.96
0180 -      0.00 |    0.00 |     0.81 |   0.93
0181 -      0.00 |    0.00 |     0.81 |   0.93
0182 -     12.99 |   10.64 |     0.84 |   0.87
0183 -      8.39 |    8.39 |     0.97 |   1.00
0184 -      0.00 |   22.25 |     0.59 |   0.64
0185 -     14.78 |    0.00 |     0.58 |   1.00
0186 -      0.00 |   46.82 |     0.71 |   0.96
0187 -     18.81 |   13.53 |     0.89 |   0.91
0188 -      5.93 |    0.00 |     0.93 |   0.90
0189 -     33.53 |   32.58 |     0.79 |   0.89
0190 -     33.35 |   79.78 |     0.94 |   0.98
0191 -      6.64 |   28.28 |     0.96 |   0.99
0192 -      0.00 |    0.00 |     0.39 |   0.60
0193 -      0.00 |    0.00 |     0.73 |   0.76
0194 -      4.76 |    0.00 |     0.71 |   0.69
0195 -     31.64 |   29.91 |     0.92 |   0.96
0196 -      0.00 |    0.00 |     0.89 |   0.95
0197 -     22.12 |   48.78 |     0.80 |   0.91
0198 -      0.00 |    0.00 |     0.53 |   0.54
0199 -     15.37 |   43.22 |     0.83 |   0.90
0200 -     13.53 |   62.89 |     0.78 |   0.88
0201 -     57.48 |   67.58 |     0.87 |   0.85
0202 -     58.69 |   69.56 |     0.82 |   0.86
0203 -     14.70 |   79.98 |     0.95 |   0.95
0204 -      0.00 |    0.00 |     0.68 |   0.87
0205 -     74.69 |   79.89 |     0.92 |   0.94
0206 -     25.22 |   39.67 |     0.88 |   0.90
0207 -     42.07 |   39.91 |     0.96 |   0.97
0208 -      0.00 |   10.73 |     0.96 |   0.98
0209 -      0.00 |    0.00 |     0.44 |   0.52
0210 -      0.00 |    0.00 |     0.91 |   0.93
0211 -      8.75 |   96.31 |     0.81 |   0.94
0212 -     34.09 |   44.93 |     0.77 |   0.83
0213 -      0.00 |    0.00 |     0.64 |   0.73
0214 -      0.00 |    0.00 |     0.82 |   0.84
0215 -      5.80 |    5.76 |     0.76 |   0.80
0216 -      0.00 |   99.02 |     0.95 |   0.99
0217 -      0.00 |    0.00 |     0.62 |   0.66
0218 -      0.00 |    0.00 |     0.60 |   0.81
0219 -      0.00 |    0.00 |     0.82 |   0.89
0220 -      0.00 |   11.90 |     0.66 |   0.68
0221 -     43.03 |   49.50 |     0.92 |   0.94
0222 -      0.00 |    0.00 |     0.77 |   0.87
0223 -     76.93 |   73.43 |     0.95 |   0.97
0224 -      0.00 |    0.00 |     0.54 |   0.59
0225 -     10.66 |   10.12 |     0.55 |   0.75
0226 -      0.00 |    0.00 |     0.82 |   0.84
0227 -      0.00 |    0.00 |     0.75 |   0.82
0228 -      0.00 |    0.00 |     0.79 |   0.83
0229 -      0.00 |    0.00 |     0.53 |   0.67
0230 -      0.00 |    0.00 |     0.64 |   0.73
0231 -     25.01 |   22.95 |     0.86 |   0.93
0232 -      0.00 |   50.69 |     0.95 |   1.00
0233 -     13.04 |    0.00 |     0.86 |   0.92
0234 -     46.48 |   47.45 |     0.92 |   0.95
0235 -      0.00 |    0.00 |     0.46 |   0.52
0236 -     41.52 |   76.29 |     0.93 |   0.96
0237 -      0.00 |   15.18 |     0.79 |   0.88
0238 -      0.00 |    0.00 |     0.78 |   0.88
0239 -      0.00 |    0.00 |     0.45 |   0.55
0240 -     12.56 |    0.00 |     0.78 |   0.87
0241 -     38.36 |   40.78 |     0.89 |   0.90
0242 -      0.00 |    0.00 |     0.69 |   0.67
0243 -      0.00 |    0.00 |     0.96 |   0.98
0244 -      0.00 |    0.00 |     0.70 |   0.80
0245 -     45.16 |   28.13 |     0.81 |   0.91
0246 -      0.00 |   96.68 |     0.87 |   0.96
0247 -      0.00 |    0.00 |     0.54 |   0.58
0248 -     95.22 |  100.00 |     0.97 |   1.00
0249 -     17.50 |   18.57 |     0.95 |   0.97
0250 -      0.00 |   93.02 |     0.76 |   0.89
0251 -      0.00 |   43.58 |     0.94 |   0.97
0252 -     27.95 |   82.65 |     0.74 |   0.87
0253 -      4.33 |    0.00 |     0.79 |   0.85
0254 -      0.00 |    0.00 |     0.71 |   0.73
0255 -      0.00 |   19.01 |     0.55 |   0.56
0256 -      0.00 |    0.00 |     0.77 |   0.82
0257 -     24.47 |    0.00 |     0.77 |   0.84
0258 -      6.13 |    7.07 |     0.74 |   0.90
0259 -     63.65 |   99.54 |     0.76 |   0.86
0260 -      0.00 |    0.00 |     0.65 |   0.71
0261 -      0.00 |    0.00 |     0.83 |   0.82
0262 -      0.00 |    0.00 |     0.64 |   0.61
0263 -     20.51 |   18.79 |     0.85 |   0.98
0264 -     18.81 |   41.28 |     0.97 |   0.98
0265 -     45.67 |   33.01 |     0.73 |   0.99
0266 -     23.80 |   62.19 |     0.67 |   0.69
0267 -      7.41 |    0.00 |     0.82 |   0.78
0268 -     58.60 |   52.04 |     0.79 |   0.98
0269 -     41.02 |   37.76 |     0.90 |   0.99
0270 -      0.00 |    0.00 |     0.82 |   0.81
0271 -      0.00 |    4.79 |     0.65 |   0.64
0272 -     32.42 |   44.99 |     0.86 |   1.00
0273 -      0.00 |    0.00 |     0.77 |   0.76
0274 -     16.13 |   16.68 |     0.73 |   0.72
0275 -      0.00 |    0.00 |     0.66 |   0.93
0276 -      0.00 |    0.00 |     0.95 |   0.99
