==============================================
BLEU GOLD:                               71.51
BLEU IN:                                 79.62
ACC GOLD:                               0.0084
ACC IN:                                 0.2524
SIM GOLD:                               0.9105
SIM IN:                                 0.9442
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     74.17 |  100.00 |     0.96 |   1.00
0002 -     81.92 |   89.06 |     0.92 |   0.93
0003 -     26.24 |   79.37 |     0.96 |   0.97
0004 -      0.00 |    0.00 |     0.79 |   0.84
0005 -     24.93 |  100.00 |     0.97 |   1.00
0006 -     54.66 |   60.33 |     1.00 |   1.00
0007 -     41.15 |   58.54 |     0.75 |   0.78
0008 -      0.00 |    0.00 |     0.84 |   0.88
0009 -     19.34 |    4.18 |     0.98 |   1.00
0010 -      0.00 |    0.00 |     0.96 |   0.98
0011 -     40.21 |  100.00 |     0.95 |   1.00
0012 -     49.16 |   54.58 |     0.97 |   1.00
0013 -     33.91 |   31.92 |     0.93 |   0.95
0014 -     40.95 |   95.72 |     0.98 |   0.99
0015 -     65.60 |   58.04 |     0.72 |   0.76
0016 -     72.61 |   72.61 |     0.89 |   0.92
0017 -      0.00 |    0.00 |     0.93 |   0.99
0018 -      0.00 |    0.00 |     0.83 |   0.86
0019 -     35.42 |  100.00 |     0.99 |   1.00
0020 -     65.90 |   25.76 |     0.99 |   0.99
0021 -      0.00 |    0.00 |     0.91 |   0.91
0022 -     91.73 |   99.18 |     0.95 |   0.99
0023 -      0.00 |    0.00 |     0.60 |   0.62
0024 -     35.02 |  100.00 |     0.97 |   1.00
0025 -      7.71 |    7.89 |     0.71 |   0.77
0026 -     76.96 |  100.00 |     0.99 |   1.00
0027 -      0.00 |    0.00 |     0.89 |   0.99
0028 -     60.77 |  100.00 |     0.97 |   1.00
0029 -      7.60 |   13.85 |     0.94 |   0.97
0030 -      0.00 |    0.00 |     0.69 |   0.75
0031 -      0.00 |    0.00 |     0.86 |   0.88
0032 -      0.00 |    0.00 |     0.95 |   0.97
0033 -      0.00 |    0.00 |     0.86 |   0.89
0034 -      0.00 |    0.00 |     0.86 |   0.88
0035 -      0.00 |    0.00 |     0.41 |   0.44
0036 -      0.00 |  100.00 |     0.95 |   1.00
0037 -     12.34 |  100.00 |     0.92 |   1.00
0038 -     28.30 |  100.00 |     0.96 |   1.00
0039 -     64.60 |  100.00 |     0.99 |   1.00
0040 -     48.36 |   58.27 |     0.97 |   0.99
0041 -     27.62 |   20.28 |     0.96 |   0.97
0042 -     53.18 |   51.68 |     0.92 |   0.99
0043 -      0.00 |    0.00 |     0.47 |   0.47
0044 -      0.00 |    0.00 |     0.81 |   0.84
0045 -     92.25 |   92.71 |     0.96 |   0.95
0046 -      9.83 |    9.77 |     0.86 |   0.86
0047 -     67.97 |  100.00 |     0.58 |   1.00
0048 -     88.73 |   93.48 |     0.94 |   0.96
0049 -     57.56 |  100.00 |     0.98 |   1.00
0050 -      0.00 |    0.00 |     0.90 |   0.92
0051 -      0.00 |   14.60 |     0.85 |   0.93
0052 -     14.11 |  100.00 |     0.97 |   1.00
0053 -     46.76 |   51.92 |     0.84 |   0.87
0054 -      0.00 |    0.00 |     0.73 |   0.71
0055 -     88.87 |  100.00 |     0.96 |   1.00
0056 -      0.00 |    0.00 |     0.94 |   0.97
0057 -      0.00 |    0.00 |     0.89 |   0.94
