==============================================
BLEU GOLD:                               45.57
BLEU IN:                                 69.07
SIM GOLD:                               0.9407
SIM IN:                                 0.9759
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0115 -     48.22 |   55.39 |     0.93 |   0.96
0116 -     75.31 |  100.00 |     0.95 |   1.00
0117 -      0.00 |    5.19 |     0.92 |   0.93
0118 -     39.14 |   83.16 |     0.96 |   0.99
0119 -     93.17 |   99.03 |     0.90 |   0.93
0120 -     77.94 |  100.00 |     0.87 |   1.00
0121 -     57.17 |   80.88 |     0.94 |   0.96
0122 -     96.56 |  100.00 |     0.94 |   0.98
0123 -     60.44 |   88.91 |     0.97 |   0.97
0124 -     94.77 |  100.00 |     0.99 |   1.00
0125 -     88.87 |   95.18 |     0.99 |   1.00
0126 -     95.88 |  100.00 |     0.95 |   1.00
0127 -     79.69 |  100.00 |     0.95 |   1.00
0128 -     37.35 |  100.00 |     0.96 |   1.00
0129 -     39.57 |   39.57 |     0.95 |   0.96
0130 -     12.08 |   12.35 |     0.98 |   1.00
0131 -      0.00 |  100.00 |     0.97 |   1.00
0132 -     26.77 |   67.39 |     0.80 |   0.86
0133 -     48.25 |   48.25 |     0.96 |   1.00
0134 -     12.45 |   97.22 |     0.94 |   1.00
0135 -     56.86 |  100.00 |     0.99 |   1.00
0136 -     90.72 |  100.00 |     0.84 |   1.00
0137 -     11.89 |   11.60 |     0.92 |   0.94
0138 -     57.55 |   59.18 |     0.89 |   0.97
0139 -      0.00 |  100.00 |     0.97 |   1.00
0140 -     78.99 |  100.00 |     0.90 |   1.00
0141 -      6.52 |  100.00 |     0.99 |   1.00
0142 -      0.00 |   11.59 |     0.99 |   1.00
0143 -     39.67 |  100.00 |     0.98 |   1.00
0144 -     73.47 |  100.00 |     0.99 |   1.00
0145 -      0.00 |   79.89 |     0.88 |   0.91
0146 -     91.66 |  100.00 |     0.93 |   1.00
0147 -     75.81 |  100.00 |     0.99 |   1.00
0148 -     10.34 |  100.00 |     0.98 |   1.00
0149 -     93.68 |  100.00 |     0.97 |   1.00
0150 -     80.59 |   27.42 |     0.98 |   0.99
0151 -     74.87 |    0.00 |     0.97 |   0.99
0152 -     11.34 |   12.69 |     0.95 |   1.00
0153 -     90.75 |  100.00 |     0.90 |   1.00
0154 -     25.91 |   98.69 |     0.91 |   0.94
0155 -     35.22 |    0.00 |     0.97 |   1.00
0156 -    100.00 |   97.38 |     1.00 |   0.99
0157 -      0.00 |    0.00 |     0.94 |   1.00
0158 -     84.51 |  100.00 |     0.97 |   1.00
0159 -     43.20 |   95.62 |     0.97 |   1.00
0160 -     49.06 |  100.00 |     0.96 |   1.00
0161 -      0.00 |    0.00 |     0.95 |   0.99
0162 -     31.14 |  100.00 |     0.98 |   1.00
0163 -     57.35 |   93.53 |     0.86 |   0.87
0164 -     62.55 |   67.96 |     0.98 |   0.99
0165 -     74.31 |  100.00 |     0.98 |   1.00
0166 -     35.68 |   67.89 |     0.97 |   0.97
0167 -     84.49 |  100.00 |     0.90 |   1.00
0168 -     56.96 |  100.00 |     0.99 |   1.00
0169 -      0.00 |    0.00 |     0.97 |   0.99
0170 -     48.11 |  100.00 |     0.97 |   1.00
0171 -      0.00 |    0.00 |     0.95 |   0.97
0172 -     86.94 |  100.00 |     0.98 |   1.00
0173 -     92.81 |  100.00 |     0.98 |   1.00
0174 -     69.82 |  100.00 |     0.98 |   1.00
0175 -     75.73 |   90.37 |     0.91 |   0.95
0176 -     79.51 |  100.00 |     0.99 |   1.00
0177 -     82.91 |   82.91 |     0.97 |   1.00
0178 -     79.16 |  100.00 |     0.91 |   1.00
0179 -     84.22 |  100.00 |     0.91 |   1.00
0180 -     72.44 |  100.00 |     0.94 |   1.00
0181 -     73.87 |   78.47 |     0.94 |   0.98
0182 -      0.00 |   56.09 |     0.84 |   0.83
0183 -     45.30 |   25.93 |     0.97 |   1.00
0184 -     92.89 |  100.00 |     0.96 |   1.00
0185 -     50.77 |   98.87 |     0.97 |   1.00
0186 -      5.77 |    0.00 |     0.96 |   0.97
0187 -     49.81 |   66.42 |     0.91 |   0.98
0188 -     89.39 |  100.00 |     0.95 |   1.00
0189 -     36.47 |  100.00 |     0.84 |   1.00
0190 -      0.00 |  100.00 |     0.96 |   1.00
0191 -     32.18 |  100.00 |     0.94 |   1.00
0192 -      0.00 |    0.00 |     0.96 |   1.00
0193 -      0.00 |    0.00 |     0.94 |   1.00
0194 -     28.11 |   41.62 |     0.98 |   1.00
0195 -     70.45 |  100.00 |     0.99 |   1.00
0196 -      0.00 |   95.40 |     0.95 |   0.96
