==============================================
BLEU GOLD:                               19.69
BLEU IN:                                 29.01
SIM GOLD:                               0.7737
SIM IN:                                 0.8394
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0115 -     66.04 |   92.19 |     0.97 |   0.98
0116 -     55.21 |   76.16 |     0.79 |   0.90
0117 -      0.00 |    0.00 |     0.93 |   0.94
0118 -     13.73 |   12.32 |     0.90 |   0.95
0119 -      0.00 |    0.00 |     0.44 |   0.50
0120 -      0.00 |    0.00 |     0.45 |   0.51
0121 -     11.81 |    0.00 |     0.53 |   0.63
0122 -     37.04 |   28.72 |     0.79 |   0.83
0123 -     25.58 |   90.91 |     0.92 |   0.98
0124 -      0.00 |    0.00 |     0.23 |   0.69
0125 -      0.00 |   18.09 |     0.88 |   0.94
0126 -      0.00 |   11.18 |     0.49 |   0.56
0127 -      0.00 |    0.00 |     0.76 |   0.82
0128 -      6.42 |    0.00 |     0.43 |   0.44
0129 -      3.96 |   20.87 |     0.65 |   0.81
0130 -     77.60 |   53.89 |     0.90 |   0.89
0131 -     65.14 |   82.59 |     0.87 |   0.91
0132 -     36.47 |   36.37 |     0.81 |   1.00
0133 -     51.55 |   80.67 |     0.89 |   0.93
0134 -     57.40 |   58.42 |     0.91 |   0.92
0135 -     44.39 |   95.33 |     0.96 |   0.98
0136 -      0.00 |    0.00 |     0.70 |   0.69
0137 -      0.00 |   14.37 |     0.72 |   0.70
0138 -      0.00 |   32.67 |     0.74 |   0.93
0139 -     60.74 |  100.00 |     0.94 |   1.00
0140 -     12.21 |   13.30 |     0.75 |   0.86
0141 -     14.59 |   12.63 |     0.86 |   0.97
0142 -      0.00 |    0.00 |     0.53 |   0.76
0143 -      0.00 |    0.00 |     0.85 |   0.90
0144 -      0.00 |    0.00 |     0.72 |   0.79
0145 -     31.46 |  100.00 |     0.97 |   1.00
0146 -     56.94 |   72.69 |     0.96 |   0.99
0147 -      8.45 |   33.56 |     0.81 |   0.93
0148 -     33.07 |   34.28 |     0.75 |   0.84
0149 -      0.00 |   69.35 |     0.96 |   0.99
0150 -     13.77 |   14.81 |     0.69 |   0.82
0151 -      0.00 |   15.73 |     0.38 |   0.63
0152 -     18.40 |   14.47 |     0.65 |   0.71
0153 -      0.00 |    0.00 |     0.85 |   0.85
0154 -     12.78 |   12.02 |     0.78 |   0.98
0155 -      0.00 |    0.00 |     0.56 |   0.67
0156 -      0.00 |   21.25 |     0.82 |   0.81
0157 -     37.72 |    0.00 |     0.54 |   0.72
0158 -     11.34 |    0.00 |     0.70 |   0.59
0159 -      0.00 |    0.00 |     0.85 |   0.82
0160 -      0.00 |    0.00 |     0.64 |   0.68
0161 -      6.15 |    5.74 |     0.70 |   0.88
0162 -     12.10 |   11.24 |     0.71 |   0.71
0163 -     37.01 |   47.90 |     0.91 |   0.92
0164 -      0.00 |    0.00 |     0.63 |   0.69
0165 -      0.00 |    0.00 |     0.35 |   0.43
0166 -     20.78 |   64.88 |     0.87 |   1.00
0167 -     34.28 |   83.38 |     0.92 |   0.98
0168 -      0.00 |    0.00 |     0.29 |   0.48
0169 -     15.52 |   20.05 |     0.69 |   0.82
0170 -      7.56 |   11.74 |     0.76 |   0.80
0171 -      0.00 |    0.00 |     0.93 |   0.94
0172 -     47.44 |   49.77 |     0.77 |   0.86
0173 -     70.50 |   67.80 |     0.82 |   0.94
0174 -      0.00 |    0.00 |     0.66 |   0.80
0175 -      0.00 |    0.00 |     0.89 |   0.92
0176 -     14.90 |   39.07 |     0.84 |   0.96
0177 -      0.00 |    0.00 |     0.65 |   0.64
0178 -      0.00 |    0.00 |     0.81 |   0.79
0179 -     21.68 |   77.29 |     0.87 |   0.97
0180 -     34.78 |    0.00 |     0.80 |   0.96
0181 -      0.00 |    0.00 |     0.55 |   0.67
0182 -     11.04 |   95.62 |     0.77 |   0.86
0183 -      0.00 |    0.00 |     0.57 |   0.59
0184 -      0.00 |    0.00 |     0.36 |   0.44
0185 -      0.00 |    0.00 |     0.41 |   0.80
0186 -      0.00 |   19.33 |     0.64 |   0.62
0187 -      0.00 |    0.00 |     0.63 |   0.65
0188 -      0.00 |    3.76 |     0.79 |   0.81
0189 -      0.00 |    0.00 |     0.63 |   0.75
0190 -      6.84 |    0.00 |     0.78 |   0.84
0191 -      7.58 |    6.78 |     0.90 |   0.90
0192 -      0.00 |   15.61 |     0.49 |   0.75
0193 -     16.52 |   16.10 |     0.74 |   0.84
0194 -      0.00 |    0.00 |     0.62 |   0.62
0195 -     98.54 |   98.26 |     0.90 |   0.95
0196 -      0.00 |   91.93 |     0.86 |   0.95
0197 -     44.54 |   57.89 |     0.65 |   0.78
0198 -     23.94 |    0.00 |     0.61 |   0.82
0199 -     20.56 |   98.81 |     0.95 |   0.99
0200 -      0.00 |   53.82 |     0.86 |   0.97
0201 -     51.95 |   76.64 |     0.62 |   0.82
0202 -      5.80 |    4.30 |     0.88 |   0.89
0203 -      0.00 |   74.10 |     0.88 |   0.93
0204 -      0.00 |   47.91 |     0.68 |   0.78
0205 -     90.66 |   93.94 |     0.97 |   0.99
0206 -      0.00 |    0.00 |     0.88 |   0.89
0207 -     43.63 |   77.96 |     0.97 |   0.98
0208 -      0.00 |  100.00 |     0.98 |   1.00
0209 -      0.00 |    0.00 |     0.87 |   0.90
0210 -     37.73 |   68.63 |     0.84 |   0.86
0211 -     11.44 |  100.00 |     0.86 |   1.00
0212 -     32.80 |   33.66 |     0.86 |   0.95
0213 -      0.00 |    3.67 |     0.86 |   0.88
0214 -     15.56 |   65.41 |     0.86 |   0.96
0215 -      0.00 |    0.00 |     0.74 |   0.75
0216 -      6.22 |   65.50 |     0.90 |   0.95
0217 -      0.00 |    0.00 |     0.27 |   0.27
0218 -      0.00 |    0.00 |     0.66 |   0.82
0219 -      0.00 |    0.00 |     0.89 |   0.96
0220 -     29.50 |    3.42 |     0.79 |   0.82
0221 -      0.00 |    0.00 |     0.87 |   0.88
0222 -      0.00 |   45.49 |     0.65 |   0.68
0223 -     38.00 |   38.26 |     0.85 |   0.86
0224 -      0.00 |    0.00 |     0.65 |   0.62
0225 -     12.25 |    9.41 |     0.84 |   0.95
0226 -     33.59 |   32.21 |     0.86 |   0.91
0227 -      0.00 |    0.00 |     0.67 |   0.73
0228 -      0.00 |    0.00 |     0.82 |   0.90
0229 -     58.65 |   55.75 |     0.55 |   0.91
0230 -      0.00 |    0.00 |     0.77 |   0.77
0231 -     42.58 |   41.88 |     0.83 |   0.91
0232 -      0.00 |   35.13 |     0.88 |   0.91
0233 -      0.00 |    0.00 |     0.78 |   0.84
0234 -      4.80 |    4.92 |     0.44 |   0.46
0235 -      5.68 |   26.42 |     0.53 |   0.55
0236 -     46.03 |   77.81 |     0.94 |   0.97
0237 -      9.57 |   58.40 |     0.90 |   0.98
0238 -      8.12 |    6.45 |     0.41 |   0.61
0239 -      0.00 |    0.00 |     0.61 |   0.74
0240 -      0.00 |    0.00 |     0.76 |   0.89
0241 -     18.39 |   99.49 |     0.98 |   1.00
0242 -      6.58 |    0.00 |     0.82 |   0.82
0243 -      0.00 |    0.00 |     0.80 |   0.79
0244 -      0.00 |    0.00 |     0.84 |   0.86
0245 -     59.56 |   47.28 |     0.80 |   0.94
0246 -      0.00 |   76.37 |     0.91 |   0.95
0247 -      0.00 |    0.00 |     0.35 |   0.48
0248 -     95.24 |  100.00 |     0.97 |   1.00
0249 -     15.50 |   22.23 |     0.74 |   0.78
0250 -      0.00 |   96.71 |     0.85 |   0.98
0251 -      0.00 |    0.00 |     0.89 |   0.90
0252 -     25.95 |   78.17 |     0.72 |   0.85
0253 -      0.00 |   36.71 |     0.79 |   0.95
0254 -     18.18 |   17.62 |     0.84 |   0.83
0255 -      0.00 |    0.00 |     0.85 |   0.92
0256 -      0.00 |    0.00 |     0.51 |   0.59
0257 -      6.44 |    0.00 |     0.28 |   0.39
0258 -     44.19 |   99.10 |     0.82 |   0.96
0259 -     55.14 |   42.45 |     0.80 |   0.92
0260 -      0.00 |   72.65 |     0.81 |   0.89
0261 -      9.98 |   10.20 |     0.88 |   0.87
0262 -      9.87 |   11.22 |     0.80 |   0.81
0263 -     19.66 |   20.52 |     0.84 |   0.96
0264 -     20.60 |   80.30 |     0.95 |   0.96
0265 -     37.41 |   82.07 |     0.73 |   0.99
0266 -     23.77 |   61.55 |     0.70 |   0.72
0267 -      0.00 |    0.00 |     0.83 |   0.79
0268 -     23.16 |   23.74 |     0.43 |   0.64
0269 -     72.23 |   46.19 |     0.91 |   0.98
0270 -      0.00 |    0.00 |     0.86 |   0.84
0271 -     19.57 |   23.96 |     0.96 |   0.97
0272 -     10.74 |   12.29 |     0.72 |   0.87
0273 -     71.62 |   92.76 |     0.95 |   0.97
0274 -     37.46 |   38.08 |     0.88 |   0.88
0275 -     40.33 |   32.53 |     0.64 |   0.79
0276 -     11.01 |   68.32 |     0.87 |   0.91
0277 -     36.18 |   24.53 |     0.76 |   0.87
0278 -     68.29 |   86.34 |     0.81 |   0.95
0279 -     12.57 |   10.44 |     0.39 |   0.46
0280 -     90.52 |   88.76 |     0.87 |   0.95
0281 -     25.53 |   22.24 |     0.53 |   0.54
0282 -      0.00 |    0.00 |     0.81 |   0.81
0283 -    100.00 |   41.20 |     1.00 |   0.88
0284 -     74.80 |   13.39 |     0.87 |   0.81
0285 -     58.87 |  100.00 |     0.95 |   1.00
0286 -      0.00 |    0.00 |     0.80 |   0.87
0287 -     11.69 |    8.58 |     0.84 |   0.90
0288 -     32.33 |   42.44 |     0.89 |   0.94
0289 -     41.51 |   51.99 |     0.88 |   0.96
0290 -     12.99 |   10.71 |     0.89 |   0.93
0291 -     32.47 |   36.91 |     0.86 |   0.97
0292 -     51.66 |   92.47 |     0.92 |   0.99
0293 -    100.00 |   40.23 |     1.00 |   0.99
0294 -      0.00 |    0.00 |     0.90 |   0.97
0295 -     26.19 |   42.14 |     0.86 |   0.93
0296 -      0.00 |    0.00 |     0.81 |   0.84
0297 -      0.00 |    0.00 |     0.91 |   0.97
0298 -      9.36 |    8.50 |     0.77 |   0.89
0299 -     14.09 |    0.00 |     0.88 |   0.90
0300 -      0.00 |    0.00 |     0.83 |   0.78
0301 -     48.09 |   96.10 |     0.92 |   0.98
0302 -     66.78 |  100.00 |     0.95 |   1.00
0303 -      0.00 |    0.00 |     0.92 |   0.96
0304 -      0.00 |   61.89 |     0.73 |   0.95
0305 -     99.00 |  100.00 |     0.94 |   1.00
0306 -     12.93 |   11.20 |     0.81 |   0.82
0307 -     27.32 |   99.69 |     0.87 |   1.00
0308 -      0.00 |    0.00 |     0.79 |   0.81
0309 -     13.14 |   56.72 |     0.77 |   0.81
0310 -     48.67 |   84.03 |     0.86 |   0.89
0311 -     35.65 |   46.10 |     0.79 |   0.99
0312 -     40.09 |   39.35 |     0.75 |   0.93
0313 -      0.00 |    0.00 |     0.78 |   0.82
0314 -     32.32 |   46.53 |     0.83 |   0.88
0315 -      5.07 |    4.93 |     0.90 |   0.99
0316 -      0.00 |   41.42 |     0.80 |   0.84
0317 -      0.00 |    0.00 |     0.85 |   0.88
0318 -     10.78 |   24.71 |     0.54 |   0.59
0319 -      8.21 |   51.54 |     0.93 |   0.95
0320 -     30.57 |   29.78 |     0.54 |   0.56
0321 -      0.00 |    0.00 |     0.90 |   0.97
0322 -     41.24 |   53.47 |     0.81 |   0.98
0323 -     21.44 |   91.87 |     0.91 |   0.93
0324 -      0.00 |   98.11 |     0.93 |   0.94
0325 -      0.00 |    0.00 |     0.57 |   0.58
0326 -      4.46 |   52.69 |     0.92 |   0.95
0327 -     36.75 |   93.31 |     0.78 |   0.99
0328 -     36.10 |   60.99 |     0.83 |   0.87
0329 -      0.00 |    0.00 |     0.90 |   0.90
0330 -     85.91 |  100.00 |     0.92 |   1.00
0331 -      0.00 |    0.00 |     0.77 |   0.86
0332 -      0.00 |    0.00 |     0.54 |   0.62
0333 -      0.00 |    0.00 |     0.76 |   0.76
0334 -     12.18 |    0.00 |     0.96 |   0.98
0335 -      0.00 |   16.56 |     0.94 |   0.97
0336 -      7.04 |    6.52 |     0.87 |   0.90
0337 -     59.30 |   56.98 |     0.82 |   0.83
