==============================================
BLEU GOLD:                               68.39
BLEU IN:                                 76.13
SIM GOLD:                               0.8999
SIM IN:                                 0.9321
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      0.00 |   30.63 |     0.92 |   0.97
0002 -     87.70 |   87.46 |     0.88 |   0.90
0003 -     26.24 |   81.07 |     0.96 |   0.97
0004 -      0.00 |    0.00 |     0.93 |   0.99
0005 -     24.93 |  100.00 |     0.97 |   1.00
0006 -      0.00 |    0.00 |     0.90 |   0.91
0007 -     41.15 |   58.54 |     0.75 |   0.78
0008 -     31.24 |  100.00 |     0.93 |   1.00
0009 -     10.22 |   10.38 |     0.96 |   0.98
0010 -      0.00 |    0.00 |     0.89 |   0.90
0011 -     40.21 |  100.00 |     0.95 |   1.00
0012 -     47.14 |   95.29 |     0.97 |   1.00
0013 -     33.91 |   35.17 |     0.98 |   1.00
0014 -     41.94 |   95.57 |     0.97 |   0.98
0015 -     76.46 |   55.30 |     0.85 |   0.85
0016 -      0.00 |    0.00 |     0.77 |   0.82
0017 -      0.00 |    0.00 |     0.93 |   0.99
0018 -      0.00 |    0.00 |     0.83 |   0.86
0019 -     40.60 |   85.26 |     0.90 |   0.93
0020 -     46.31 |   74.97 |     0.96 |   0.96
0021 -      0.00 |    0.00 |     0.87 |   0.88
0022 -     92.59 |  100.00 |     0.96 |   1.00
0023 -     15.16 |   17.80 |     0.93 |   0.95
0024 -     61.37 |    0.00 |     0.94 |   0.97
0025 -     46.91 |   99.75 |     0.80 |   0.93
0026 -     25.57 |    0.00 |     0.93 |   0.93
0027 -      0.00 |  100.00 |     0.89 |   1.00
0028 -     54.08 |   55.12 |     0.94 |   0.97
0029 -     78.59 |    0.00 |     0.94 |   0.94
0030 -      0.00 |    0.00 |     0.84 |   0.89
0031 -      0.00 |   12.50 |     0.95 |   0.96
0032 -     12.93 |    0.00 |     0.96 |   0.97
0033 -     93.03 |   99.43 |     0.93 |   0.95
0034 -     22.05 |   12.56 |     0.77 |   0.77
0035 -      0.00 |    0.00 |     0.86 |   0.88
0036 -      0.00 |  100.00 |     0.95 |   1.00
0037 -     12.34 |  100.00 |     0.92 |   1.00
0038 -     28.30 |  100.00 |     0.96 |   1.00
0039 -     27.20 |   28.77 |     0.86 |   0.88
0040 -     51.90 |   67.35 |     0.97 |   0.98
0041 -      0.00 |    0.00 |     0.98 |   0.98
0042 -     31.95 |   82.13 |     0.72 |   0.78
0043 -      0.00 |    0.00 |     0.96 |   0.96
0044 -      0.00 |    0.00 |     0.94 |   0.96
0045 -     89.97 |   95.17 |     0.95 |   0.98
0046 -      0.00 |    0.00 |     0.83 |   0.86
0047 -     67.97 |  100.00 |     0.58 |   1.00
0048 -     16.53 |   23.39 |     0.87 |   0.89
0049 -     57.56 |  100.00 |     0.98 |   1.00
0050 -     70.69 |  100.00 |     0.98 |   1.00
0051 -      0.00 |  100.00 |     0.90 |   1.00
0052 -     12.30 |   12.40 |     0.95 |   0.98
0053 -     49.88 |   60.54 |     0.86 |   0.90
0054 -      0.00 |    0.00 |     0.98 |   1.00
0055 -     88.87 |  100.00 |     0.96 |   1.00
0056 -     83.47 |  100.00 |     0.96 |   1.00
0057 -     29.38 |   78.63 |     0.89 |   0.94
0058 -     44.36 |   78.64 |     0.89 |   0.96
0059 -     11.61 |    0.00 |     0.93 |   0.93
0060 -     80.98 |   70.87 |     0.98 |   0.99
0061 -     92.08 |   96.07 |     0.97 |   0.98
0062 -     50.12 |   60.19 |     0.80 |   0.87
0063 -     64.78 |  100.00 |     0.91 |   1.00
0064 -      0.00 |    0.00 |     0.60 |   0.63
0065 -     67.56 |  100.00 |     0.96 |   1.00
0066 -     43.64 |   46.61 |     0.92 |   0.95
0067 -      0.00 |    0.00 |     0.80 |   0.81
0068 -      0.00 |    0.00 |     0.89 |   0.93
0069 -      0.00 |  100.00 |     0.97 |   1.00
0070 -     45.42 |   59.62 |     0.98 |   0.99
0071 -      0.00 |    0.00 |     0.86 |   0.88
0072 -     23.27 |  100.00 |     0.99 |   1.00
0073 -      0.00 |  100.00 |     0.92 |   1.00
0074 -      0.00 |    0.00 |     0.79 |   0.82
0075 -     91.11 |   99.63 |     0.96 |   1.00
0076 -     27.39 |  100.00 |     0.99 |   1.00
0077 -     86.26 |  100.00 |     0.97 |   1.00
0078 -     17.74 |    0.00 |     0.88 |   0.91
0079 -      0.00 |    0.00 |     0.87 |   0.89
0080 -     83.01 |   92.33 |     0.91 |   0.97
0081 -     34.43 |  100.00 |     0.98 |   1.00
0082 -     76.91 |   90.37 |     0.98 |   0.97
0083 -     54.88 |  100.00 |     0.91 |   1.00
0084 -     36.73 |  100.00 |     0.93 |   1.00
0085 -     69.82 |   38.28 |     0.96 |   0.98
0086 -      0.00 |    0.00 |     0.61 |   0.72
0087 -      0.00 |    0.00 |     0.62 |   0.63
0088 -      5.49 |    0.00 |     0.96 |   0.97
0089 -     52.54 |   64.90 |     0.90 |   0.94
0090 -     51.65 |   61.59 |     0.92 |   0.98
0091 -     90.56 |   61.71 |     0.95 |   0.88
0092 -     13.99 |   15.24 |     0.44 |   0.43
0093 -     90.87 |   97.34 |     0.92 |   1.00
0094 -     70.19 |  100.00 |     0.54 |   1.00
0095 -      0.00 |    0.00 |     0.74 |   0.76
0096 -     37.79 |    0.00 |     0.96 |   1.00
0097 -     72.46 |   73.81 |     0.90 |   0.92
0098 -     72.74 |  100.00 |     0.97 |   1.00
0099 -     42.88 |   42.88 |     0.95 |   0.97
0100 -      0.00 |    0.00 |     0.85 |   0.82
0101 -     34.63 |   43.14 |     0.80 |   0.82
