==============================================
BLEU GOLD:                               45.83
BLEU IN:                                 68.98
SIM GOLD:                               0.9415
SIM IN:                                 0.9763
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0115 -     48.44 |   55.60 |     0.85 |   0.88
0116 -     74.35 |   97.40 |     0.94 |   0.99
0117 -      0.00 |    0.00 |     0.91 |   0.90
0118 -     39.14 |   83.16 |     0.96 |   0.99
0119 -     94.15 |  100.00 |     0.96 |   1.00
0120 -     77.94 |  100.00 |     0.87 |   1.00
0121 -     54.38 |   76.85 |     0.92 |   0.95
0122 -     96.56 |  100.00 |     0.95 |   0.99
0123 -     58.05 |  100.00 |     0.96 |   1.00
0124 -     94.77 |  100.00 |     0.99 |   1.00
0125 -     88.87 |   95.18 |     0.99 |   1.00
0126 -     95.88 |  100.00 |     0.95 |   1.00
0127 -     25.45 |   24.85 |     0.93 |   0.97
0128 -     37.35 |  100.00 |     0.96 |   1.00
0129 -     39.57 |   39.57 |     0.95 |   0.96
0130 -     12.47 |   12.75 |     0.97 |   0.99
0131 -      0.00 |  100.00 |     0.97 |   1.00
0132 -     21.19 |   67.28 |     0.83 |   0.90
0133 -     48.25 |   48.25 |     0.96 |   1.00
0134 -     12.45 |   97.22 |     0.94 |   1.00
0135 -     56.86 |   98.47 |     0.96 |   0.98
0136 -      0.00 |    0.00 |     0.83 |   0.99
0137 -     28.39 |  100.00 |     0.99 |   1.00
0138 -     57.55 |   59.18 |     0.89 |   0.97
0139 -      0.00 |  100.00 |     0.97 |   1.00
0140 -     78.99 |  100.00 |     0.90 |   1.00
0141 -      6.52 |  100.00 |     0.99 |   1.00
0142 -      0.00 |   40.72 |     0.99 |   1.00
0143 -     37.39 |   89.00 |     0.97 |   0.99
0144 -     73.47 |  100.00 |     0.99 |   1.00
0145 -      0.00 |    0.00 |     0.77 |   0.81
0146 -     91.66 |  100.00 |     0.93 |   1.00
0147 -     75.81 |   98.59 |     0.96 |   0.96
0148 -     10.34 |  100.00 |     0.98 |   1.00
0149 -     93.68 |  100.00 |     0.97 |   1.00
0150 -     81.35 |   27.68 |     0.99 |   1.00
0151 -     74.87 |    0.00 |     0.97 |   0.99
0152 -      0.00 |    0.00 |     0.93 |   0.98
0153 -     26.93 |   26.25 |     0.90 |   1.00
0154 -     25.91 |   98.69 |     0.93 |   0.96
0155 -      0.00 |    0.00 |     0.82 |   0.80
0156 -     98.39 |  100.00 |     0.99 |   1.00
0157 -      0.00 |    0.00 |     0.94 |   1.00
0158 -     84.51 |  100.00 |     0.97 |   1.00
0159 -     47.84 |  100.00 |     0.98 |   1.00
0160 -     49.06 |  100.00 |     0.96 |   1.00
0161 -      0.00 |    0.00 |     0.95 |   1.00
0162 -     28.64 |   98.89 |     0.98 |   0.98
0163 -     61.15 |   61.46 |     0.97 |   0.99
0164 -     62.55 |   67.96 |     0.98 |   0.99
0165 -     74.31 |  100.00 |     0.98 |   1.00
0166 -     38.22 |   98.84 |     0.98 |   0.99
0167 -     84.49 |  100.00 |     0.90 |   1.00
0168 -     56.96 |  100.00 |     0.99 |   1.00
0169 -     92.89 |  100.00 |     0.97 |   1.00
0170 -     47.73 |   91.06 |     0.96 |   1.00
0171 -      0.00 |    0.00 |     0.89 |   0.96
0172 -     86.94 |  100.00 |     0.98 |   1.00
0173 -     92.81 |  100.00 |     0.98 |   1.00
0174 -     69.82 |  100.00 |     0.98 |   1.00
0175 -     80.68 |   94.96 |     0.95 |   0.98
0176 -     79.51 |  100.00 |     0.99 |   1.00
0177 -     79.92 |   79.92 |     0.96 |   0.99
0178 -     79.16 |  100.00 |     0.91 |   1.00
0179 -    100.00 |   86.61 |     1.00 |   0.91
0180 -     85.67 |   73.29 |     0.92 |   0.93
0181 -     72.28 |   77.22 |     0.92 |   0.96
0182 -      0.00 |    0.00 |     0.67 |   0.66
0183 -     45.30 |   25.93 |     0.97 |   1.00
0184 -     92.89 |  100.00 |     0.96 |   1.00
0185 -     50.77 |   98.87 |     0.97 |   1.00
0186 -      5.77 |    0.00 |     0.96 |   0.97
0187 -     22.60 |  100.00 |     0.94 |   1.00
0188 -     89.39 |  100.00 |     0.95 |   1.00
0189 -     36.47 |  100.00 |     0.84 |   1.00
0190 -      0.00 |   92.09 |     0.93 |   0.97
0191 -     31.63 |   69.05 |     0.96 |   0.95
0192 -      0.00 |    0.00 |     0.96 |   1.00
0193 -      0.00 |    0.00 |     0.94 |   1.00
0194 -     28.11 |   41.62 |     0.98 |   1.00
0195 -     70.45 |  100.00 |     0.99 |   1.00
0196 -      0.00 |   95.40 |     0.96 |   0.97
0197 -     25.28 |   24.53 |     0.93 |   1.00
0198 -     94.44 |  100.00 |     0.97 |   1.00
0199 -     92.39 |  100.00 |     0.93 |   1.00
0200 -      0.00 |    0.00 |     0.84 |   0.86
0201 -     14.80 |   72.11 |     0.97 |   0.99
0202 -     61.91 |  100.00 |     0.97 |   1.00
0203 -      0.00 |    0.00 |     0.93 |   0.96
0204 -     86.38 |   32.02 |     0.96 |   0.96
0205 -      0.00 |    0.00 |     0.90 |   0.86
0206 -     26.33 |   31.72 |     0.97 |   0.98
0207 -     91.41 |  100.00 |     0.98 |   1.00
0208 -    100.00 |   92.12 |     1.00 |   0.96
0209 -     87.17 |   98.40 |     0.81 |   0.84
0210 -     77.94 |   27.96 |     0.98 |   1.00
0211 -     26.07 |  100.00 |     0.97 |   1.00
0212 -     67.43 |   60.17 |     0.98 |   0.99
0213 -     96.55 |  100.00 |     0.98 |   1.00
0214 -      8.12 |   98.38 |     0.96 |   1.00
0215 -     23.28 |    0.00 |     0.89 |   0.96
0216 -     30.16 |   36.18 |     0.97 |   0.99
0217 -      0.00 |    0.00 |     0.50 |   0.77
0218 -     34.45 |   33.71 |     0.95 |   0.97
0219 -     37.49 |  100.00 |     0.97 |   1.00
0220 -     50.67 |   53.60 |     0.90 |   0.99
0221 -     82.03 |  100.00 |     0.89 |   1.00
0222 -      0.00 |   99.52 |     0.97 |   0.98
0223 -      0.00 |    0.00 |     0.93 |   1.00
0224 -     86.10 |   90.62 |     0.98 |   0.98
0225 -     42.61 |  100.00 |     0.98 |   1.00
0226 -     91.53 |  100.00 |     0.96 |   1.00
0227 -      5.58 |    0.00 |     0.94 |   0.99
0228 -     78.52 |   78.95 |     0.94 |   0.95
0229 -      0.00 |    0.00 |     0.84 |   0.87
0230 -     88.76 |  100.00 |     0.97 |   1.00
0231 -     89.79 |  100.00 |     0.99 |   1.00
0232 -      0.00 |    0.00 |     0.97 |   1.00
0233 -     64.07 |  100.00 |     0.95 |   1.00
0234 -     11.62 |   11.76 |     0.95 |   0.96
0235 -      0.00 |    0.00 |     0.90 |   0.97
0236 -      0.00 |  100.00 |     0.94 |   1.00
0237 -      0.00 |    0.00 |     0.96 |   0.99
0238 -     65.56 |  100.00 |     0.98 |   1.00
0239 -     58.87 |  100.00 |     0.97 |   1.00
0240 -     11.79 |   98.53 |     0.96 |   0.96
0241 -     43.29 |  100.00 |     0.98 |   1.00
0242 -     17.15 |   52.25 |     0.99 |   1.00
0243 -     80.81 |   80.35 |     0.92 |   0.95
0244 -     13.07 |   11.18 |     0.93 |   0.94
0245 -      3.94 |  100.00 |     0.98 |   1.00
0246 -     76.96 |  100.00 |     0.86 |   1.00
0247 -     96.91 |  100.00 |     0.99 |   1.00
0248 -     18.03 |   17.05 |     0.89 |   0.88
0249 -     78.92 |  100.00 |     0.89 |   1.00
0250 -      0.00 |   15.68 |     0.92 |   0.93
0251 -     64.61 |   94.11 |     0.93 |   0.99
0252 -      0.00 |    0.00 |     0.94 |   0.92
0253 -      0.00 |    0.00 |     0.96 |   0.99
0254 -     38.73 |  100.00 |     0.96 |   1.00
0255 -     95.91 |  100.00 |     0.95 |   1.00
0256 -     14.91 |  100.00 |     0.98 |   1.00
0257 -      0.00 |    0.00 |     0.73 |   0.72
0258 -     57.88 |  100.00 |     0.98 |   1.00
0259 -     91.04 |  100.00 |     0.94 |   1.00
0260 -     22.48 |   22.48 |     0.85 |   1.00
0261 -     90.36 |   98.22 |     0.80 |   0.94
0262 -      0.00 |    0.00 |     0.94 |   0.94
0263 -     79.93 |  100.00 |     0.84 |   1.00
0264 -     86.48 |  100.00 |     0.90 |   1.00
0265 -     87.61 |  100.00 |     0.94 |   1.00
0266 -     73.16 |  100.00 |     0.95 |   1.00
0267 -     19.42 |  100.00 |     0.98 |   1.00
0268 -     92.28 |  100.00 |     0.93 |   1.00
0269 -      0.00 |    0.00 |     0.98 |   0.99
0270 -     46.35 |  100.00 |     0.96 |   1.00
0271 -     17.86 |   97.65 |     0.95 |   0.98
0272 -     59.60 |  100.00 |     0.94 |   1.00
0273 -      9.15 |  100.00 |     0.94 |   1.00
0274 -     65.22 |   69.85 |     0.98 |   0.99
0275 -     91.56 |   99.08 |     0.97 |   0.97
0276 -     52.90 |   61.31 |     0.93 |   0.95
0277 -     64.49 |   66.90 |     0.97 |   0.99
0278 -     91.50 |  100.00 |     0.91 |   1.00
0279 -     24.60 |   25.80 |     0.87 |   0.87
0280 -     50.72 |   98.87 |     0.96 |   0.96
0281 -      0.00 |    0.00 |     0.94 |   0.96
0282 -     23.65 |   62.82 |     0.95 |   0.97
0283 -     53.32 |  100.00 |     0.98 |   1.00
0284 -     91.53 |  100.00 |     0.96 |   0.97
0285 -     79.46 |  100.00 |     0.97 |   1.00
0286 -     10.56 |   10.23 |     0.94 |   0.96
0287 -     34.16 |   33.08 |     0.95 |   0.98
0288 -      0.00 |    0.00 |     0.21 |   0.22
0289 -      0.00 |  100.00 |     0.97 |   1.00
0290 -     64.98 |   90.32 |     0.95 |   0.97
0291 -     62.20 |  100.00 |     0.87 |   1.00
0292 -      0.00 |    0.00 |     0.85 |   0.87
0293 -     36.97 |  100.00 |     0.96 |   1.00
0294 -      0.00 |    0.00 |     0.92 |   0.94
0295 -     10.04 |   24.83 |     0.72 |   0.85
0296 -     94.69 |   98.65 |     0.95 |   0.97
0297 -      0.00 |    0.00 |     0.94 |   0.97
0298 -      0.00 |   72.39 |     0.92 |   0.94
0299 -     22.88 |   99.20 |     0.96 |   0.98
0300 -     76.42 |   96.07 |     0.96 |   0.98
0301 -     85.29 |   98.38 |     0.91 |   0.99
0302 -     29.24 |  100.00 |     0.97 |   1.00
0303 -     55.43 |   49.72 |     0.95 |   1.00
0304 -      0.00 |   98.25 |     0.97 |   0.99
0305 -     83.08 |   98.57 |     0.96 |   0.97
0306 -     16.54 |   18.82 |     0.97 |   0.99
0307 -     27.39 |  100.00 |     0.93 |   1.00
0308 -     86.44 |    0.00 |     0.92 |   0.95
0309 -     37.61 |  100.00 |     0.98 |   1.00
0310 -     97.72 |  100.00 |     0.95 |   1.00
0311 -     70.57 |  100.00 |     0.99 |   1.00
0312 -      0.00 |    0.00 |     0.95 |   0.95
0313 -     88.35 |  100.00 |     0.91 |   1.00
0314 -     48.78 |  100.00 |     0.98 |   1.00
0315 -     85.16 |  100.00 |     0.97 |   1.00
0316 -     96.98 |   98.97 |     0.98 |   0.99
0317 -     62.60 |  100.00 |     1.00 |   1.00
0318 -     80.58 |  100.00 |     0.87 |   1.00
0319 -     61.99 |  100.00 |     0.98 |   1.00
0320 -     13.97 |   24.37 |     0.97 |   1.00
0321 -     60.94 |   39.78 |     0.87 |   0.89
0322 -     77.62 |   76.48 |     1.00 |   0.99
0323 -      0.00 |   36.56 |     0.94 |   0.95
0324 -      0.00 |  100.00 |     0.94 |   1.00
0325 -     83.90 |  100.00 |     0.86 |   1.00
0326 -     36.61 |   36.61 |     0.98 |   1.00
0327 -     92.88 |   98.94 |     0.97 |   0.99
0328 -     14.00 |  100.00 |     1.00 |   1.00
0329 -     19.71 |   17.48 |     0.95 |   0.99
0330 -    100.00 |   95.49 |     1.00 |   0.91
0331 -      7.21 |   41.24 |     0.89 |   0.90
0332 -     90.91 |  100.00 |     0.96 |   1.00
0333 -     43.95 |  100.00 |     0.95 |   1.00
0334 -     84.89 |  100.00 |     0.97 |   1.00
0335 -      0.00 |    0.00 |     0.79 |   0.83
0336 -     63.31 |  100.00 |     0.91 |   1.00
0337 -      0.00 |    0.00 |     0.94 |   0.95
0338 -      0.00 |  100.00 |     0.94 |   1.00
0339 -     22.51 |  100.00 |     0.97 |   1.00
0340 -     19.01 |   25.75 |     1.00 |   1.00
0341 -     13.66 |   13.66 |     0.99 |   1.00
0342 -      0.00 |    0.00 |     0.93 |   0.95
0343 -     68.98 |  100.00 |     0.99 |   1.00
0344 -     62.68 |  100.00 |     0.98 |   1.00
0345 -     92.90 |  100.00 |     0.98 |   1.00
0346 -     83.94 |   89.57 |     0.91 |   0.92
0347 -      0.00 |    0.00 |     0.89 |   0.90
0348 -     51.46 |  100.00 |     0.98 |   1.00
0349 -    100.00 |   72.74 |     1.00 |   0.98
0350 -     45.52 |  100.00 |     0.95 |   1.00
0351 -      0.00 |    0.00 |     0.96 |   0.98
0352 -     84.54 |  100.00 |     0.87 |   1.00
0353 -     66.19 |   65.97 |     0.97 |   0.98
0354 -     15.09 |   14.14 |     0.95 |   0.97
0355 -     86.63 |  100.00 |     0.99 |   1.00
0356 -     70.25 |   49.69 |     0.99 |   0.99
0357 -     81.18 |  100.00 |     0.98 |   1.00
0358 -     73.84 |  100.00 |     0.92 |   1.00
0359 -     93.65 |  100.00 |     0.98 |   1.00
