==============================================
BLEU GOLD:                               29.60
BLEU IN:                                 52.77
SIM GOLD:                               0.8661
SIM IN:                                 0.9473
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0115 -     66.04 |  100.00 |     0.99 |   1.00
0116 -     55.21 |   86.68 |     0.88 |   0.97
0117 -     19.08 |   97.72 |     0.97 |   0.98
0118 -     26.88 |   26.91 |     0.93 |   0.99
0119 -      0.00 |    0.00 |     0.92 |   1.00
0120 -     15.45 |   97.79 |     0.93 |   0.97
0121 -      0.00 |  100.00 |     0.82 |   1.00
0122 -      0.00 |    0.00 |     0.55 |   0.60
0123 -     26.38 |   98.96 |     0.92 |   0.99
0124 -     43.07 |  100.00 |     0.58 |   1.00
0125 -      0.00 |  100.00 |     0.95 |   1.00
0126 -      0.00 |   47.34 |     0.93 |   0.97
0127 -     94.37 |   70.26 |     0.95 |   0.98
0128 -      6.84 |    0.00 |     0.88 |   0.99
0129 -     13.98 |   12.51 |     0.80 |   0.98
0130 -     56.78 |   81.31 |     0.95 |   0.99
0131 -     67.07 |   98.89 |     0.94 |   0.98
0132 -     59.76 |  100.00 |     0.81 |   1.00
0133 -     18.97 |   18.55 |     0.92 |   0.96
0134 -     67.78 |   99.30 |     0.94 |   0.99
0135 -     39.86 |   99.07 |     0.94 |   0.97
0136 -     31.60 |   98.98 |     0.94 |   0.97
0137 -     13.34 |   86.90 |     0.92 |   0.96
0138 -      0.00 |  100.00 |     0.80 |   1.00
0139 -     60.74 |  100.00 |     0.94 |   1.00
0140 -     21.21 |   57.65 |     0.90 |   0.98
0141 -     97.61 |   98.59 |     0.89 |   0.99
0142 -     67.86 |  100.00 |     0.75 |   1.00
0143 -     70.57 |   96.34 |     0.92 |   0.97
0144 -      0.00 |    0.00 |     0.81 |   0.90
0145 -     31.46 |  100.00 |     0.97 |   1.00
0146 -     57.72 |   71.36 |     0.97 |   1.00
0147 -      8.45 |   36.33 |     0.87 |   1.00
0148 -     42.30 |   75.42 |     0.83 |   0.95
0149 -      0.00 |  100.00 |     0.96 |   1.00
0150 -     23.61 |   23.84 |     0.79 |   0.93
0151 -      0.00 |    0.00 |     0.62 |   0.81
0152 -     68.44 |   52.20 |     0.95 |   0.99
0153 -      0.00 |    0.00 |     0.94 |   0.95
0154 -     14.88 |   17.77 |     0.83 |   0.87
0155 -     60.76 |   99.39 |     0.92 |   1.00
0156 -      0.00 |   63.90 |     0.88 |   0.94
0157 -      0.00 |  100.00 |     0.82 |   1.00
0158 -      0.00 |    0.00 |     0.89 |   0.83
0159 -      0.00 |    0.00 |     0.95 |   0.98
0160 -      0.00 |    0.00 |     0.92 |   0.96
0161 -      4.77 |    4.77 |     0.83 |   0.96
0162 -      0.00 |    0.00 |     0.81 |   0.80
0163 -     77.71 |   86.53 |     0.99 |   1.00
0164 -     22.28 |   54.98 |     0.74 |   1.00
0165 -      0.00 |   43.38 |     0.95 |   0.99
0166 -     21.23 |  100.00 |     0.88 |   1.00
0167 -      0.00 |    0.00 |     0.86 |   0.94
0168 -     30.66 |   73.62 |     0.55 |   0.72
0169 -      0.00 |   16.79 |     0.63 |   0.85
0170 -     42.19 |   96.10 |     0.95 |   1.00
0171 -      0.00 |    0.00 |     0.99 |   1.00
0172 -     47.42 |   49.52 |     0.94 |   0.99
0173 -     96.11 |   98.52 |     0.83 |   0.96
0174 -      0.00 |   12.10 |     0.72 |   0.99
0175 -     25.84 |   99.05 |     0.92 |   0.97
0176 -     15.19 |  100.00 |     0.85 |   1.00
0177 -      0.00 |    0.00 |     0.47 |   0.74
0178 -     13.39 |   13.36 |     0.71 |   0.74
0179 -     10.92 |   10.91 |     0.82 |   0.91
0180 -     24.08 |   88.24 |     0.81 |   0.98
0181 -     34.07 |   93.87 |     0.88 |   0.95
0182 -     77.55 |   10.12 |     0.81 |   0.83
0183 -     58.25 |   53.09 |     0.88 |   0.91
0184 -      0.00 |    0.00 |     0.93 |   0.90
0185 -      0.00 |    0.00 |     0.58 |   1.00
0186 -      0.00 |   45.37 |     0.76 |   0.99
0187 -     30.52 |   23.43 |     0.92 |   0.85
0188 -     11.03 |    4.20 |     0.94 |   0.99
0189 -      0.00 |    0.00 |     0.78 |   0.90
0190 -     20.76 |   22.23 |     0.95 |   0.99
0191 -      8.39 |  100.00 |     0.98 |   1.00
0192 -      0.00 |   43.41 |     0.60 |   0.90
0193 -      0.00 |   10.73 |     0.88 |   0.95
0194 -     68.09 |   97.45 |     0.91 |   0.95
0195 -     94.18 |   95.58 |     0.95 |   0.99
0196 -     30.62 |   29.43 |     0.91 |   0.99
0197 -     96.42 |   99.01 |     0.88 |   1.00
0198 -      0.00 |   27.25 |     0.61 |   0.87
0199 -     20.45 |  100.00 |     0.96 |   1.00
0200 -      0.00 |    0.00 |     0.91 |   1.00
0201 -     58.05 |  100.00 |     0.86 |   1.00
0202 -      0.00 |    0.00 |     0.91 |   0.93
0203 -      0.00 |   99.10 |     0.92 |   0.96
0204 -      0.00 |   13.37 |     0.85 |   1.00
0205 -      0.00 |    0.00 |     0.97 |   1.00
0206 -     13.37 |   90.03 |     0.93 |   0.94
0207 -     40.20 |   38.35 |     0.97 |   0.98
0208 -      0.00 |  100.00 |     0.98 |   1.00
0209 -    100.00 |   64.32 |     1.00 |   0.93
0210 -     39.31 |  100.00 |     0.94 |   1.00
0211 -     11.44 |  100.00 |     0.86 |   1.00
0212 -     34.90 |   35.78 |     0.88 |   0.97
0213 -     38.84 |   40.69 |     0.87 |   0.97
0214 -     20.18 |   75.32 |     0.87 |   0.98
0215 -     77.18 |   92.86 |     0.93 |   0.94
0216 -      6.30 |  100.00 |     0.96 |   1.00
0217 -      0.00 |    0.00 |     0.92 |   0.96
0218 -      0.00 |   94.87 |     0.75 |   0.88
0219 -      0.00 |    0.00 |     0.93 |   1.00
0220 -     21.62 |   99.28 |     0.90 |   0.93
0221 -     69.63 |   58.02 |     0.98 |   1.00
0222 -     21.77 |    0.00 |     0.83 |   0.80
0223 -     56.44 |   53.63 |     0.95 |   0.95
0224 -     42.67 |  100.00 |     0.95 |   1.00
0225 -     33.88 |    8.81 |     0.85 |   0.98
0226 -     26.17 |   25.35 |     0.93 |   0.99
0227 -      7.73 |   96.37 |     0.96 |   0.99
0228 -     59.52 |    0.00 |     0.85 |   0.94
0229 -     51.48 |   98.18 |     0.55 |   0.94
0230 -     13.04 |   45.64 |     0.92 |   0.99
0231 -     10.44 |    7.94 |     0.90 |   0.98
0232 -      0.00 |   55.65 |     0.93 |   0.98
0233 -     18.09 |   98.92 |     0.93 |   1.00
0234 -     73.43 |   84.10 |     0.96 |   0.98
