==============================================
BLEU GOLD:                               53.69
BLEU IN:                                 59.45
SIM GOLD:                               0.8380
SIM IN:                                 0.8653
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      0.00 |    0.00 |     0.90 |   0.95
0002 -     22.37 |   29.76 |     0.91 |   0.93
0003 -     27.74 |   99.43 |     0.95 |   0.96
0004 -      0.00 |    0.00 |     0.69 |   0.68
0005 -     24.09 |   78.96 |     0.97 |   0.98
0006 -      5.62 |    5.62 |     0.88 |   0.87
0007 -     83.88 |  100.00 |     0.97 |   1.00
0008 -     34.08 |   68.61 |     0.90 |   0.97
0009 -     42.16 |   91.33 |     0.97 |   0.99
0010 -      0.00 |    0.00 |     0.89 |   0.91
0011 -     40.21 |  100.00 |     0.95 |   1.00
0012 -     47.14 |   95.29 |     0.97 |   1.00
0013 -     30.74 |   29.76 |     0.88 |   0.90
0014 -     36.45 |   51.56 |     0.72 |   0.75
0015 -     21.76 |   18.39 |     0.44 |   0.50
0016 -     72.61 |   72.61 |     0.88 |   0.92
0017 -      0.00 |    0.00 |     0.89 |   0.95
0018 -     29.11 |    0.00 |     0.88 |   0.90
0019 -     35.42 |  100.00 |     0.99 |   1.00
0020 -      4.03 |    3.95 |     0.91 |   0.92
0021 -     20.56 |    0.00 |     0.94 |   0.95
0022 -      0.00 |    0.00 |     0.70 |   0.68
0023 -     15.40 |   18.05 |     0.73 |   0.76
0024 -     28.54 |   26.63 |     0.63 |   0.60
0025 -     46.29 |   94.15 |     0.79 |   0.90
0026 -      0.00 |    0.00 |     0.76 |   0.77
0027 -      4.95 |   36.12 |     0.86 |   0.97
0028 -     60.77 |  100.00 |     0.97 |   1.00
0029 -      0.00 |    0.00 |     0.87 |   0.89
0030 -      0.00 |    0.00 |     0.82 |   0.84
0031 -      0.00 |    0.00 |     0.88 |   0.89
0032 -      0.00 |    0.00 |     0.81 |   0.80
0033 -      0.00 |    0.00 |     0.78 |   0.81
0034 -      0.00 |    7.62 |     0.85 |   0.88
0035 -      0.00 |   53.25 |     0.85 |   0.87
0036 -      0.00 |   75.43 |     0.93 |   0.97
0037 -     12.34 |  100.00 |     0.92 |   1.00
0038 -     28.80 |   85.13 |     0.94 |   0.91
0039 -     50.75 |   52.19 |     0.90 |   0.91
0040 -     97.73 |   44.75 |     0.99 |   1.00
0041 -     20.89 |   21.51 |     0.91 |   0.92
0042 -     27.73 |   47.98 |     0.88 |   0.95
0043 -      0.00 |   65.86 |     0.85 |   0.85
0044 -      0.00 |    0.00 |     0.49 |   0.52
0045 -     75.71 |   75.35 |     0.72 |   0.76
0046 -      0.00 |    0.00 |     0.86 |   0.87
0047 -     66.40 |   97.76 |     0.46 |   0.77
0048 -      0.00 |    0.00 |     0.96 |   0.97
0049 -     33.87 |   29.51 |     0.60 |   0.63
0050 -      0.00 |    0.00 |     0.76 |   0.80
0051 -      0.00 |  100.00 |     0.90 |   1.00
0052 -      0.00 |    0.00 |     0.94 |   0.95
0053 -     39.57 |   44.77 |     0.95 |   0.97
0054 -      3.80 |    0.00 |     0.69 |   0.70
0055 -     42.41 |   42.41 |     0.92 |   0.96
0056 -     12.28 |   12.28 |     0.82 |   0.87
0057 -     43.39 |   36.65 |     0.95 |   0.99
0058 -     32.16 |   35.03 |     0.58 |   0.65
0059 -     12.84 |   13.17 |     0.92 |   0.93
0060 -     49.43 |   33.37 |     0.93 |   0.94
0061 -      0.00 |    0.00 |     0.82 |   0.83
0062 -      0.00 |    0.00 |     0.85 |   0.86
0063 -     26.72 |   24.02 |     0.84 |   0.93
0064 -      0.00 |    0.00 |     0.68 |   0.72
0065 -     67.35 |   74.37 |     0.87 |   0.93
0066 -     64.54 |   64.61 |     0.94 |   0.97
0067 -      0.00 |    0.00 |     0.85 |   0.87
0068 -      0.00 |    0.00 |     0.60 |   0.63
0069 -      0.00 |   56.44 |     0.71 |   0.71
0070 -      0.00 |    0.00 |     0.88 |   0.89
0071 -      0.00 |   16.03 |     0.72 |   0.76
0072 -     22.88 |   96.71 |     0.98 |   0.99
0073 -      0.00 |    0.00 |     0.22 |   0.21
0074 -     64.64 |   67.17 |     0.87 |   0.89
0075 -     91.46 |  100.00 |     0.96 |   1.00
0076 -     28.59 |   65.25 |     0.99 |   1.00
0077 -      0.00 |    0.00 |     0.92 |   0.96
0078 -      0.00 |    0.00 |     0.44 |   0.48
0079 -     18.65 |   18.74 |     0.91 |   0.94
0080 -      0.00 |    0.00 |     0.64 |   0.70
0081 -     34.31 |   30.87 |     0.78 |   0.78
0082 -      5.03 |    5.05 |     0.88 |   0.89
0083 -      0.00 |    0.00 |     0.84 |   0.89
0084 -     29.40 |   28.25 |     0.86 |   0.83
0085 -      6.53 |    0.00 |     0.80 |   0.84
0086 -      0.00 |    0.00 |     0.29 |   0.31
0087 -      0.00 |    0.00 |     0.67 |   0.72
0088 -      0.00 |    0.00 |     0.72 |   0.72
0089 -     74.62 |   61.51 |     0.85 |   0.81
0090 -      0.00 |    0.00 |     0.87 |   0.92
0091 -    100.00 |   72.15 |     1.00 |   0.92
0092 -      0.00 |    0.00 |     0.69 |   0.75
0093 -     50.02 |   49.79 |     0.95 |   0.88
0094 -     70.19 |  100.00 |     0.54 |   1.00
0095 -     11.38 |    9.36 |     0.92 |   0.95
0096 -      0.00 |   41.80 |     0.76 |   0.80
0097 -      0.00 |    0.00 |     0.82 |   0.84
0098 -     89.59 |   80.08 |     0.97 |   1.00
