==============================================
BLEU GOLD:                               45.70
BLEU IN:                                 60.81
ACC GOLD:                               0.0000
ACC IN:                                 0.0540
SIM GOLD:                               0.7987
SIM IN:                                 0.8724
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0114 -      0.00 |    0.00 |     0.68 |   0.67
0115 -     55.05 |   87.65 |     0.96 |   0.97
0116 -     55.67 |   78.56 |     0.86 |   0.97
0117 -     17.86 |   41.67 |     0.84 |   0.84
0118 -      0.00 |    0.00 |     0.90 |   0.95
0119 -      0.00 |    0.00 |     0.49 |   0.55
0120 -      0.00 |   52.57 |     0.88 |   0.91
0121 -      0.00 |    0.00 |     0.60 |   0.65
0122 -      0.00 |    0.00 |     0.74 |   0.79
0123 -     23.09 |   96.09 |     0.93 |   0.99
0124 -     43.18 |  100.00 |     0.58 |   1.00
0125 -      0.00 |    0.00 |     0.66 |   0.77
0126 -      0.00 |    0.00 |     0.92 |   0.96
0127 -      0.00 |   53.81 |     0.75 |   0.78
0128 -      0.00 |    0.00 |     0.87 |   0.97
0129 -      0.00 |    0.00 |     0.59 |   0.79
0130 -     51.20 |   70.72 |     0.84 |   0.90
0131 -     56.73 |   74.64 |     0.94 |   0.96
0132 -     34.74 |   37.62 |     0.76 |   0.94
0133 -     17.10 |   44.35 |     0.74 |   0.77
0134 -      0.00 |    0.00 |     0.84 |   0.86
0135 -     19.45 |   17.19 |     0.85 |   0.87
0136 -     33.33 |   36.61 |     0.93 |   0.96
0137 -      0.00 |    0.00 |     0.89 |   0.87
0138 -      0.00 |    0.00 |     0.42 |   0.35
0139 -     60.05 |   67.21 |     0.87 |   0.97
0140 -     24.21 |   79.51 |     0.91 |   1.00
0141 -     65.25 |   49.49 |     0.90 |   0.98
0142 -      3.71 |    0.00 |     0.60 |   0.81
0143 -      0.00 |    0.00 |     0.79 |   0.78
0144 -     11.80 |   17.87 |     0.72 |   0.81
0145 -     31.40 |   99.60 |     0.96 |   0.99
0146 -     49.67 |   82.84 |     0.96 |   0.99
0147 -      6.46 |   16.67 |     0.82 |   0.97
0148 -     61.62 |   77.86 |     0.86 |   0.98
0149 -      0.00 |   73.31 |     0.92 |   0.95
0150 -      7.23 |   15.74 |     0.71 |   0.81
0151 -      0.00 |   22.83 |     0.69 |   0.87
0152 -      0.00 |   25.27 |     0.85 |   0.94
0153 -      0.00 |    0.00 |     0.83 |   0.84
0154 -     14.12 |  100.00 |     0.80 |   1.00
0155 -      0.00 |    0.00 |     0.60 |   0.63
0156 -     11.91 |    0.00 |     0.71 |   0.78
0157 -      4.79 |    5.44 |     0.81 |   0.97
0158 -      0.00 |    0.00 |     0.82 |   0.94
0159 -     14.96 |   33.31 |     0.94 |   0.97
0160 -     35.09 |   36.36 |     0.86 |   0.97
0161 -      0.00 |    0.00 |     0.67 |   0.81
0162 -     44.27 |   28.94 |     0.82 |   0.82
0163 -      0.00 |    0.00 |     0.89 |   0.90
0164 -      0.00 |    0.00 |     0.21 |   0.29
0165 -      0.00 |   79.78 |     0.88 |   0.92
0166 -     18.22 |  100.00 |     0.88 |   1.00
0167 -      0.00 |    0.00 |     0.88 |   0.95
0168 -     26.67 |   94.09 |     0.77 |   0.96
0169 -      0.00 |    7.05 |     0.66 |   0.83
0170 -      0.00 |    0.00 |     0.94 |   0.96
0171 -     41.90 |   39.92 |     0.92 |   0.93
0172 -      0.00 |    0.00 |     0.88 |   0.94
0173 -      0.00 |    0.00 |     0.78 |   0.95
0174 -      0.00 |    0.00 |     0.63 |   0.87
0175 -      0.00 |   29.91 |     0.85 |   0.91
0176 -     16.05 |   63.86 |     0.82 |   0.93
0177 -     48.35 |   33.77 |     0.82 |   0.95
0178 -      0.00 |    0.00 |     0.75 |   0.81
0179 -     22.18 |   49.26 |     0.88 |   0.98
0180 -      0.00 |    0.00 |     0.76 |   0.92
0181 -      0.00 |    0.00 |     0.85 |   0.93
0182 -     10.40 |   97.05 |     0.81 |   0.91
0183 -     85.60 |   99.63 |     0.88 |   0.91
0184 -      0.00 |   21.69 |     0.96 |   0.98
0185 -     14.68 |    0.00 |     0.57 |   0.98
0186 -      7.92 |    0.00 |     0.68 |   0.91
0187 -      4.62 |    3.73 |     0.82 |   0.80
0188 -      0.00 |    0.00 |     0.83 |   0.88
0189 -      0.00 |    0.00 |     0.71 |   0.84
0190 -      0.00 |    4.47 |     0.82 |   0.87
0191 -      0.00 |    0.00 |     0.96 |   0.99
0192 -      0.00 |    0.00 |     0.75 |   0.97
0193 -      0.00 |    0.00 |     0.76 |   0.82
0194 -     59.68 |   52.47 |     0.94 |   0.99
0195 -      0.00 |    0.00 |     0.92 |   0.97
0196 -      0.00 |   28.92 |     0.90 |   0.98
0197 -      0.00 |    0.00 |     0.64 |   0.76
0198 -      0.00 |    0.00 |     0.65 |   0.79
0199 -     44.62 |   58.07 |     0.90 |   0.94
0200 -      0.00 |    5.47 |     0.77 |   0.82
0201 -     63.58 |   94.33 |     0.81 |   0.92
0202 -      0.00 |    0.00 |     0.88 |   0.89
0203 -      0.00 |   27.67 |     0.91 |   0.95
0204 -      0.00 |    0.00 |     0.83 |   0.93
0205 -     47.60 |   47.60 |     0.95 |   0.97
0206 -      6.19 |   64.79 |     0.89 |   0.91
0207 -     25.89 |   24.70 |     0.92 |   0.93
0208 -      0.00 |   11.16 |     0.96 |   0.98
0209 -      0.00 |    0.00 |     0.17 |   0.13
0210 -      0.00 |    0.00 |     0.71 |   0.77
0211 -      0.00 |    0.00 |     0.84 |   0.91
0212 -     39.73 |   55.84 |     0.76 |   0.84
0213 -      9.96 |   12.36 |     0.88 |   0.96
0214 -     64.38 |   79.75 |     0.87 |   0.97
0215 -      0.00 |    0.00 |     0.76 |   0.79
0216 -      0.00 |   61.20 |     0.84 |   0.91
0217 -      0.00 |    0.00 |     0.87 |   0.90
0218 -      0.00 |   59.15 |     0.70 |   0.90
0219 -      0.00 |    0.00 |     0.75 |   0.84
0220 -      8.36 |    8.99 |     0.74 |   0.78
0221 -      4.28 |    5.28 |     0.93 |   0.95
0222 -      0.00 |    0.00 |     0.78 |   0.75
0223 -     64.57 |   61.15 |     0.91 |   0.94
0224 -      0.00 |    0.00 |     0.82 |   0.88
0225 -     10.08 |  100.00 |     0.86 |   1.00
0226 -     12.39 |   10.12 |     0.79 |   0.81
0227 -      7.51 |    7.28 |     0.91 |   0.93
0228 -     15.92 |   95.80 |     0.94 |   1.00
0229 -      0.00 |    0.00 |     0.31 |   0.89
0230 -      0.00 |    0.00 |     0.84 |   0.91
0231 -      7.96 |    6.93 |     0.88 |   0.96
0232 -      0.00 |   71.05 |     0.89 |   0.94
0233 -     40.87 |   16.01 |     0.90 |   0.96
0234 -     37.49 |   37.88 |     0.90 |   0.92
0235 -      0.00 |    0.00 |     0.64 |   0.71
0236 -     26.90 |   66.75 |     0.91 |   0.94
0237 -     34.67 |    7.94 |     0.73 |   0.71
0238 -     15.42 |   12.71 |     0.80 |   0.92
0239 -      0.00 |    0.00 |     0.51 |   0.55
0240 -     20.57 |    5.82 |     0.81 |   0.90
0241 -     12.84 |   24.57 |     0.93 |   0.92
0242 -      0.00 |    0.00 |     0.87 |   0.91
0243 -      0.00 |    0.00 |     0.97 |   1.00
0244 -      0.00 |    0.00 |     0.77 |   0.88
0245 -     48.03 |   39.82 |     0.86 |   0.97
0246 -      0.00 |   97.38 |     0.85 |   1.00
0247 -      9.98 |    9.24 |     0.83 |   0.87
0248 -      0.00 |    0.00 |     0.77 |   0.79
0249 -     12.41 |   40.57 |     0.70 |   0.71
0250 -      0.00 |   83.57 |     0.82 |   0.94
0251 -      0.00 |    0.00 |     0.85 |   0.88
0252 -      0.00 |    0.00 |     0.76 |   0.90
0253 -      2.89 |    0.00 |     0.76 |   0.78
