==============================================
BLEU GOLD:                               70.15
BLEU IN:                                 78.26
ACC GOLD:                               0.0072
ACC IN:                                 0.2428
SIM GOLD:                               0.9053
SIM IN:                                 0.9386
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0114 -     21.80 |  100.00 |     0.99 |   1.00
0115 -     48.84 |   56.33 |     0.93 |   0.96
0116 -     72.75 |  100.00 |     0.95 |   1.00
0117 -      0.00 |    0.00 |     0.88 |   0.88
0118 -     79.98 |   41.49 |     0.90 |   0.88
0119 -     70.06 |   73.86 |     0.87 |   0.91
0120 -     78.52 |  100.00 |     0.87 |   1.00
0121 -     50.48 |   74.96 |     0.93 |   0.95
0122 -     24.27 |   24.27 |     0.96 |   1.00
0123 -      0.00 |    0.00 |     0.71 |   0.75
0124 -     94.44 |  100.00 |     0.99 |   1.00
0125 -     89.18 |   95.90 |     0.99 |   1.00
0126 -     92.15 |   93.85 |     0.94 |   0.97
0127 -     42.38 |   51.76 |     0.88 |   0.82
0128 -     39.15 |  100.00 |     0.96 |   1.00
0129 -      0.00 |    0.00 |     0.88 |   0.89
0130 -     12.80 |   12.92 |     0.91 |   0.93
0131 -      0.00 |  100.00 |     0.97 |   1.00
0132 -     12.38 |    8.70 |     0.68 |   0.73
0133 -     48.78 |   70.19 |     0.95 |   0.99
0134 -      8.76 |   96.53 |     0.90 |   0.95
0135 -     45.42 |   85.26 |     0.91 |   0.93
0136 -      0.00 |   91.65 |     0.80 |   0.96
0137 -     11.29 |   10.41 |     0.92 |   0.94
0138 -     54.29 |   55.83 |     0.89 |   0.97
0139 -      0.00 |   84.33 |     0.94 |   0.97
0140 -     64.99 |   87.52 |     0.89 |   0.99
0141 -      6.33 |    6.92 |     0.87 |   0.84
0142 -     47.21 |  100.00 |     0.99 |   1.00
0143 -     35.10 |   88.73 |     0.97 |   0.99
0144 -     68.07 |   41.27 |     0.99 |   1.00
0145 -      0.00 |    0.00 |     0.89 |   0.87
0146 -     82.96 |   96.03 |     0.91 |   0.98
0147 -      5.72 |    5.70 |     0.81 |   0.84
0148 -     40.05 |   21.18 |     0.95 |   0.98
0149 -      0.00 |    0.00 |     0.94 |   0.97
0150 -     19.56 |    0.00 |     0.85 |   0.86
0151 -      0.00 |    0.00 |     0.96 |   0.98
0152 -      0.00 |    0.00 |     0.95 |   1.00
0153 -     55.65 |   55.65 |     0.90 |   1.00
0154 -     23.60 |   99.00 |     0.91 |   0.94
0155 -     10.40 |  100.00 |     0.97 |   1.00
0156 -     82.64 |   66.17 |     0.97 |   0.97
0157 -     37.40 |   38.22 |     0.93 |   0.94
0158 -     84.56 |  100.00 |     0.97 |   1.00
0159 -     12.13 |    0.00 |     0.88 |   0.91
0160 -     46.00 |  100.00 |     0.96 |   1.00
0161 -      0.00 |    0.00 |     0.88 |   0.90
0162 -     31.57 |   88.26 |     0.95 |   0.97
0163 -      6.65 |    6.57 |     0.81 |   0.82
0164 -     32.21 |   31.98 |     0.97 |   0.98
0165 -     73.21 |   99.44 |     0.96 |   0.98
0166 -     35.05 |   46.72 |     0.98 |   0.99
0167 -      0.00 |    0.00 |     0.85 |   0.91
0168 -      0.00 |    0.00 |     0.83 |   0.85
0169 -     30.43 |   27.38 |     0.90 |   0.93
0170 -     11.71 |   10.70 |     0.83 |   0.81
0171 -     40.77 |   91.81 |     0.95 |   0.99
0172 -     87.65 |  100.00 |     0.98 |   1.00
0173 -     92.76 |  100.00 |     0.98 |   1.00
0174 -      0.00 |    0.00 |     0.93 |   0.95
0175 -      0.00 |    0.00 |     0.87 |   0.88
0176 -     66.29 |  100.00 |     0.99 |   1.00
0177 -     80.79 |   80.23 |     0.96 |   0.99
