==============================================
BLEU GOLD:                               27.41
BLEU IN:                                 49.25
SIM GOLD:                               0.8516
SIM IN:                                 0.9311
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0115 -     66.04 |   87.95 |     0.96 |   0.97
0116 -     55.21 |   97.80 |     0.83 |   0.89
0117 -     15.61 |   33.60 |     0.81 |   0.81
0118 -     13.46 |   12.84 |     0.92 |   0.98
0119 -     84.70 |   88.84 |     0.88 |   0.96
0120 -     15.61 |   99.02 |     0.93 |   0.96
0121 -      0.00 |    0.00 |     0.82 |   0.98
0122 -     22.14 |   18.17 |     0.86 |   0.88
0123 -     26.58 |   85.26 |     0.84 |   0.92
0124 -     43.07 |  100.00 |     0.58 |   1.00
0125 -      0.00 |    0.00 |     0.93 |   0.99
0126 -      0.00 |    0.00 |     0.87 |   0.92
0127 -     94.37 |   70.26 |     0.95 |   0.98
0128 -     32.14 |   73.31 |     0.89 |   1.00
0129 -     19.29 |   76.66 |     0.79 |   0.97
0130 -     56.78 |   81.31 |     0.95 |   0.99
0131 -     68.96 |  100.00 |     0.96 |   1.00
0132 -     52.94 |   98.45 |     0.78 |   0.96
0133 -      0.00 |    0.00 |     0.84 |   0.89
0134 -      0.00 |    0.00 |     0.95 |   0.99
0135 -     40.71 |   73.61 |     0.87 |   0.89
0136 -     65.79 |    0.00 |     0.89 |   0.92
0137 -     13.19 |   91.24 |     0.96 |   1.00
0138 -      0.00 |  100.00 |     0.80 |   1.00
0139 -     32.87 |   31.03 |     0.94 |   1.00
0140 -     22.70 |   98.74 |     0.91 |   1.00
0141 -     32.43 |   25.87 |     0.87 |   0.99
0142 -     75.73 |   67.83 |     0.75 |   1.00
0143 -      0.00 |    0.00 |     0.68 |   0.76
0144 -      0.00 |    0.00 |     0.78 |   0.81
0145 -     38.08 |   68.52 |     0.90 |   0.93
0146 -     56.79 |   70.28 |     0.96 |   0.99
0147 -      0.00 |    0.00 |     0.84 |   0.96
0148 -      0.00 |    0.00 |     0.74 |   0.85
0149 -      0.00 |  100.00 |     0.96 |   1.00
0150 -     36.99 |   77.92 |     0.79 |   0.97
0151 -      0.00 |  100.00 |     0.71 |   1.00
0152 -     67.95 |   53.87 |     0.93 |   0.97
0153 -     90.22 |    4.82 |     0.99 |   1.00
0154 -     15.50 |   13.46 |     0.80 |   0.94
0155 -      0.00 |    0.00 |     0.74 |   0.87
0156 -      0.00 |    0.00 |     0.91 |   0.99
0157 -      0.00 |    8.83 |     0.82 |   1.00
0158 -     59.36 |  100.00 |     0.88 |   1.00
0159 -      0.00 |    0.00 |     0.60 |   0.63
0160 -      8.24 |    0.00 |     0.67 |   0.76
0161 -     72.01 |  100.00 |     0.88 |   1.00
0162 -      0.00 |    0.00 |     0.81 |   0.81
0163 -     39.34 |   37.90 |     0.95 |   0.96
0164 -      0.00 |    0.00 |     0.63 |   0.83
0165 -      0.00 |   58.88 |     0.92 |   0.95
0166 -     21.23 |   94.27 |     0.86 |   0.98
0167 -      8.02 |    8.02 |     0.78 |   0.85
0168 -     30.66 |  100.00 |     0.83 |   1.00
0169 -      0.00 |   69.93 |     0.72 |   0.96
0170 -     41.81 |   94.66 |     0.93 |   0.98
0171 -      0.00 |    0.00 |     0.95 |   0.97
0172 -     44.45 |   99.38 |     0.94 |   1.00
0173 -     25.94 |   18.62 |     0.80 |   0.92
0174 -     37.14 |    0.00 |     0.73 |   0.98
0175 -     25.84 |  100.00 |     0.95 |   1.00
0176 -     13.05 |   25.48 |     0.84 |   0.99
0177 -      0.00 |    0.00 |     0.60 |   0.70
0178 -      0.00 |    0.00 |     0.95 |   0.97
0179 -     21.19 |   64.47 |     0.86 |   0.96
0180 -     27.88 |   92.19 |     0.81 |   0.97
0181 -      0.00 |    0.00 |     0.79 |   0.89
0182 -     11.04 |  100.00 |     0.88 |   1.00
0183 -      0.00 |    0.00 |     0.77 |   0.79
0184 -      0.00 |   21.42 |     0.97 |   0.99
0185 -      0.00 |    0.00 |     0.58 |   1.00
0186 -      0.00 |   39.36 |     0.68 |   0.91
0187 -     38.30 |   36.51 |     0.93 |   0.87
0188 -      0.00 |    0.00 |     0.94 |   0.99
0189 -     15.12 |   15.08 |     0.86 |   0.96
0190 -     31.57 |   93.70 |     0.95 |   1.00
0191 -      9.05 |   26.90 |     0.85 |   0.91
0192 -      0.00 |  100.00 |     0.76 |   1.00
0193 -      0.00 |    0.00 |     0.57 |   0.68
0194 -     68.09 |   97.77 |     0.89 |   0.94
0195 -     27.80 |   25.07 |     0.94 |   0.98
0196 -     30.97 |   29.47 |     0.91 |   0.99
0197 -     18.33 |   15.06 |     0.81 |   0.93
0198 -      0.00 |    0.00 |     0.66 |   0.95
0199 -     20.74 |   83.12 |     0.93 |   0.98
0200 -      6.79 |    0.00 |     0.91 |   0.88
0201 -     57.48 |   62.34 |     0.86 |   0.98
0202 -     77.64 |   83.89 |     0.90 |   0.94
0203 -      0.00 |  100.00 |     0.97 |   1.00
0204 -      0.00 |   13.11 |     0.73 |   0.86
0205 -     94.99 |  100.00 |     0.98 |   1.00
0206 -      0.00 |   86.31 |     0.92 |   0.94
0207 -     54.08 |   87.51 |     0.97 |   0.98
0208 -      0.00 |  100.00 |     0.98 |   1.00
0209 -     63.01 |   98.79 |     0.91 |   0.96
0210 -     39.31 |  100.00 |     0.94 |   1.00
