==============================================
BLEU GOLD:                               80.30
BLEU IN:                                 89.24
SIM GOLD:                               0.9407
SIM IN:                                 0.9759
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0115 -     47.93 |   55.28 |     0.93 |   0.96
0116 -     72.75 |  100.00 |     0.95 |   1.00
0117 -      0.00 |    0.00 |     0.92 |   0.93
0118 -     44.16 |   82.26 |     0.96 |   0.99
0119 -     94.25 |   99.22 |     0.90 |   0.93
0120 -     78.52 |  100.00 |     0.87 |   1.00
0121 -     51.95 |   83.18 |     0.94 |   0.96
0122 -     96.75 |  100.00 |     0.94 |   0.98
0123 -     58.10 |   54.23 |     0.97 |   0.97
0124 -     94.44 |  100.00 |     0.99 |   1.00
0125 -     89.18 |   95.90 |     0.99 |   1.00
0126 -     95.71 |  100.00 |     0.95 |   1.00
0127 -     69.90 |  100.00 |     0.95 |   1.00
0128 -     39.15 |  100.00 |     0.96 |   1.00
0129 -      5.10 |    5.16 |     0.95 |   0.96
0130 -     12.16 |   12.30 |     0.98 |   1.00
0131 -      0.00 |  100.00 |     0.97 |   1.00
0132 -     23.06 |   67.22 |     0.80 |   0.86
0133 -     48.94 |   47.34 |     0.96 |   1.00
0134 -      8.76 |   97.13 |     0.94 |   1.00
0135 -     45.42 |  100.00 |     0.99 |   1.00
0136 -      0.00 |  100.00 |     0.84 |   1.00
0137 -     11.29 |   10.41 |     0.92 |   0.94
0138 -     54.29 |   55.83 |     0.89 |   0.97
0139 -      0.00 |  100.00 |     0.97 |   1.00
0140 -     75.75 |  100.00 |     0.90 |   1.00
0141 -      5.95 |  100.00 |     0.99 |   1.00
0142 -      0.00 |    0.00 |     0.99 |   1.00
0143 -     37.18 |  100.00 |     0.98 |   1.00
0144 -     69.82 |  100.00 |     0.99 |   1.00
0145 -      0.00 |   84.07 |     0.88 |   0.91
0146 -     86.20 |  100.00 |     0.93 |   1.00
0147 -     81.01 |  100.00 |     0.99 |   1.00
0148 -      8.09 |  100.00 |     0.98 |   1.00
0149 -     93.53 |  100.00 |     0.97 |   1.00
0150 -     79.82 |   27.14 |     0.98 |   0.99
0151 -      0.00 |    0.00 |     0.97 |   0.99
0152 -      0.00 |    0.00 |     0.95 |   1.00
0153 -     90.29 |  100.00 |     0.90 |   1.00
0154 -     23.60 |   99.00 |     0.91 |   0.94
0155 -      0.00 |    0.00 |     0.97 |   1.00
0156 -    100.00 |   68.00 |     1.00 |   0.99
0157 -      0.00 |    0.00 |     0.94 |   1.00
0158 -     84.56 |  100.00 |     0.97 |   1.00
0159 -     40.07 |   95.27 |     0.97 |   1.00
0160 -     46.00 |  100.00 |     0.96 |   1.00
0161 -      0.00 |    0.00 |     0.95 |   0.99
0162 -     31.57 |  100.00 |     0.98 |   1.00
0163 -      0.00 |    0.00 |     0.86 |   0.87
0164 -     64.17 |   69.47 |     0.98 |   0.99
0165 -     73.21 |  100.00 |     0.98 |   1.00
0166 -     33.10 |   65.02 |     0.97 |   0.97
0167 -     46.68 |  100.00 |     0.90 |   1.00
0168 -     54.81 |  100.00 |     0.99 |   1.00
0169 -      0.00 |    0.00 |     0.97 |   0.99
0170 -     49.38 |  100.00 |     0.97 |   1.00
0171 -      0.00 |    9.31 |     0.95 |   0.97
0172 -     87.65 |  100.00 |     0.98 |   1.00
0173 -     92.76 |  100.00 |     0.98 |   1.00
0174 -     67.62 |  100.00 |     0.98 |   1.00
0175 -     44.96 |   44.96 |     0.91 |   0.95
0176 -     66.29 |  100.00 |     0.99 |   1.00
0177 -     83.36 |   83.36 |     0.97 |   1.00
0178 -     65.79 |  100.00 |     0.91 |   1.00
0179 -     87.89 |  100.00 |     0.91 |   1.00
0180 -     67.49 |  100.00 |     0.94 |   1.00
0181 -     38.44 |   44.07 |     0.94 |   0.98
0182 -      0.00 |    0.00 |     0.84 |   0.83
0183 -     47.50 |   28.13 |     0.97 |   1.00
0184 -     55.15 |  100.00 |     0.96 |   1.00
0185 -     73.09 |   31.48 |     0.97 |   1.00
0186 -      0.00 |    0.00 |     0.96 |   0.97
0187 -     49.33 |   63.88 |     0.91 |   0.98
0188 -     76.31 |  100.00 |     0.95 |   1.00
0189 -     44.68 |  100.00 |     0.84 |   1.00
0190 -      0.00 |  100.00 |     0.96 |   1.00
0191 -     23.60 |  100.00 |     0.94 |   1.00
0192 -      0.00 |    0.00 |     0.96 |   1.00
0193 -      0.00 |    0.00 |     0.94 |   1.00
0194 -      0.00 |    0.00 |     0.98 |   1.00
0195 -     66.95 |  100.00 |     0.99 |   1.00
0196 -      0.00 |   93.45 |     0.95 |   0.96
0197 -     26.35 |   23.99 |     0.93 |   1.00
0198 -     85.92 |  100.00 |     0.97 |   1.00
0199 -     90.79 |  100.00 |     0.93 |   1.00
0200 -      0.00 |    7.19 |     0.74 |   0.77
0201 -     14.05 |   98.50 |     0.95 |   0.97
0202 -     56.41 |  100.00 |     0.97 |   1.00
0203 -     14.23 |   13.02 |     0.87 |   0.86
0204 -     86.54 |   30.60 |     0.96 |   0.97
0205 -      0.00 |    0.00 |     0.94 |   0.99
0206 -     29.79 |   35.53 |     0.99 |   1.00
0207 -     91.79 |  100.00 |     0.98 |   1.00
0208 -    100.00 |   71.96 |     1.00 |   0.96
0209 -     91.23 |   99.64 |     0.96 |   0.94
0210 -     69.10 |   28.48 |     0.98 |   0.99
0211 -     24.74 |  100.00 |     0.97 |   1.00
0212 -     27.44 |   56.79 |     0.98 |   0.99
0213 -     39.49 |  100.00 |     0.98 |   1.00
0214 -     86.82 |    4.80 |     0.96 |   1.00
0215 -      0.00 |    0.00 |     0.90 |   0.97
0216 -     29.12 |   35.04 |     0.94 |   0.96
0217 -      0.00 |    0.00 |     0.56 |   0.77
0218 -     70.47 |   32.33 |     0.95 |   0.97
0219 -     35.36 |  100.00 |     0.97 |   1.00
0220 -     51.27 |   52.53 |     0.90 |   0.99
0221 -     81.95 |  100.00 |     0.89 |   1.00
0222 -      7.10 |   87.50 |     0.97 |   0.97
0223 -      0.00 |    0.00 |     0.90 |   0.96
0224 -     85.96 |   90.54 |     0.98 |   0.98
0225 -     44.04 |  100.00 |     0.98 |   1.00
0226 -     67.75 |  100.00 |     0.96 |   1.00
0227 -      5.54 |    0.00 |     0.94 |   0.99
0228 -     92.42 |  100.00 |     0.97 |   1.00
0229 -      0.00 |    0.00 |     0.87 |   0.91
0230 -     81.92 |  100.00 |     0.97 |   1.00
0231 -     90.95 |  100.00 |     0.99 |   1.00
0232 -     11.69 |  100.00 |     0.97 |   1.00
0233 -     50.89 |  100.00 |     0.95 |   1.00
0234 -     79.73 |    9.78 |     0.97 |   0.98
0235 -     24.42 |   24.43 |     0.92 |   1.00
0236 -      0.00 |   98.29 |     0.79 |   0.83
0237 -      0.00 |    0.00 |     0.96 |   0.99
0238 -    100.00 |   64.90 |     1.00 |   0.98
0239 -     53.72 |  100.00 |     0.97 |   1.00
0240 -     11.10 |   99.76 |     0.96 |   0.97
0241 -     41.35 |  100.00 |     0.98 |   1.00
0242 -      5.37 |  100.00 |     0.99 |   1.00
0243 -     70.31 |  100.00 |     0.89 |   1.00
0244 -     10.56 |    9.29 |     0.97 |   0.99
0245 -      0.00 |  100.00 |     0.98 |   1.00
0246 -     77.96 |  100.00 |     0.86 |   1.00
0247 -     96.88 |  100.00 |     0.99 |   1.00
0248 -     20.16 |   22.48 |     0.79 |   0.83
0249 -      0.00 |    0.00 |     0.82 |   0.90
0250 -      0.00 |   15.05 |     0.96 |   0.97
0251 -      0.00 |    0.00 |     0.94 |   1.00
0252 -      0.00 |    0.00 |     0.96 |   0.98
0253 -     72.09 |   42.56 |     0.96 |   1.00
0254 -     39.47 |  100.00 |     0.96 |   1.00
0255 -     13.58 |  100.00 |     0.95 |   1.00
0256 -      9.20 |  100.00 |     0.98 |   1.00
0257 -      0.00 |    0.00 |     0.84 |   0.84
0258 -     55.49 |  100.00 |     0.98 |   1.00
0259 -     86.47 |  100.00 |     0.94 |   1.00
0260 -     22.76 |   23.88 |     0.85 |   1.00
0261 -     97.75 |  100.00 |     0.85 |   1.00
0262 -      0.00 |    0.00 |     0.92 |   0.92
0263 -     55.07 |  100.00 |     0.84 |   1.00
0264 -     29.68 |  100.00 |     0.90 |   1.00
0265 -     86.33 |  100.00 |     0.94 |   1.00
0266 -     63.86 |  100.00 |     0.95 |   1.00
0267 -     14.36 |  100.00 |     0.98 |   1.00
0268 -     93.41 |  100.00 |     0.93 |   1.00
0269 -      0.00 |    0.00 |     0.98 |   0.99
0270 -     45.53 |  100.00 |     0.96 |   1.00
0271 -     17.72 |   98.90 |     0.96 |   0.98
0272 -     48.75 |  100.00 |     0.94 |   1.00
0273 -      8.24 |  100.00 |     0.94 |   1.00
0274 -     65.12 |   70.29 |     0.98 |   0.99
0275 -     92.41 |  100.00 |     1.00 |   1.00
0276 -     50.89 |   61.83 |     0.93 |   0.95
0277 -     64.58 |   67.09 |     0.97 |   0.99
0278 -     24.96 |  100.00 |     0.91 |   1.00
0279 -     24.24 |   26.98 |     0.99 |   1.00
0280 -     49.68 |  100.00 |     1.00 |   1.00
0281 -     72.29 |    0.00 |     0.84 |   0.83
0282 -     38.04 |   57.07 |     0.97 |   0.98
0283 -    100.00 |   50.10 |     1.00 |   0.98
0284 -     91.23 |  100.00 |     0.96 |   0.97
0285 -     66.62 |  100.00 |     0.97 |   1.00
0286 -     70.02 |   98.65 |     0.91 |   0.94
0287 -     34.29 |   31.72 |     0.94 |   0.96
0288 -      0.00 |    0.00 |     0.27 |   0.32
0289 -      0.00 |   60.49 |     0.96 |   0.98
0290 -     65.20 |   90.68 |     0.95 |   0.97
0291 -     45.67 |  100.00 |     0.87 |   1.00
0292 -      0.00 |    0.00 |     0.86 |   0.89
0293 -     36.97 |  100.00 |     0.96 |   1.00
0294 -      0.00 |    0.00 |     0.92 |   0.94
0295 -     11.37 |  100.00 |     0.90 |   1.00
0296 -     95.05 |   99.70 |     0.98 |   1.00
0297 -      6.07 |    6.07 |     0.94 |   0.97
0298 -      0.00 |    0.00 |     0.89 |   0.91
0299 -     21.48 |  100.00 |     0.99 |   1.00
0300 -     25.36 |   25.17 |     0.94 |   0.97
0301 -     85.02 |   98.38 |     0.91 |   0.99
0302 -     27.19 |  100.00 |     0.97 |   1.00
0303 -     48.25 |   48.25 |     0.95 |   1.00
0304 -      0.00 |   98.22 |     0.97 |   0.99
0305 -     79.91 |   66.48 |     0.98 |   1.00
0306 -      0.00 |    0.00 |     0.94 |   0.97
0307 -     24.26 |  100.00 |     0.93 |   1.00
0308 -     85.95 |    0.00 |     0.92 |   0.95
0309 -     32.54 |  100.00 |     0.98 |   1.00
0310 -     11.60 |  100.00 |     0.95 |   1.00
0311 -     65.27 |  100.00 |     0.99 |   1.00
0312 -      0.00 |    0.00 |     0.93 |   0.93
0313 -     59.06 |  100.00 |     0.91 |   1.00
0314 -     46.82 |   47.95 |     0.93 |   0.96
0315 -     84.36 |  100.00 |     0.97 |   1.00
0316 -      6.57 |    6.55 |     0.96 |   0.97
0317 -     58.84 |   96.89 |     1.00 |   1.00
0318 -     61.58 |  100.00 |     0.87 |   1.00
0319 -      0.00 |    0.00 |     0.91 |   0.93
0320 -      0.00 |   23.38 |     0.97 |   1.00
0321 -     24.63 |   24.40 |     0.90 |   0.92
0322 -    100.00 |   93.18 |     1.00 |   0.99
0323 -      0.00 |    0.00 |     0.98 |   1.00
0324 -      0.00 |  100.00 |     0.94 |   1.00
0325 -     83.38 |  100.00 |     0.86 |   1.00
0326 -     95.60 |  100.00 |     0.98 |   1.00
0327 -     93.00 |  100.00 |     0.98 |   1.00
0328 -     12.83 |  100.00 |     1.00 |   1.00
0329 -     20.37 |   20.66 |     0.95 |   0.99
0330 -    100.00 |   67.74 |     1.00 |   0.91
0331 -      0.00 |   21.11 |     0.88 |   0.91
0332 -     29.52 |  100.00 |     0.96 |   1.00
0333 -     39.41 |  100.00 |     0.95 |   1.00
0334 -     85.06 |  100.00 |     0.97 |   1.00
0335 -     42.20 |   42.20 |     0.84 |   0.84
0336 -     64.94 |  100.00 |     0.91 |   1.00
0337 -      0.00 |    0.00 |     0.94 |   0.95
0338 -      0.00 |  100.00 |     0.94 |   1.00
0339 -     21.18 |   82.45 |     0.89 |   0.91
0340 -     22.73 |   19.15 |     0.99 |   0.99
0341 -      5.28 |    5.21 |     0.96 |   0.96
0342 -      0.00 |    0.00 |     0.93 |   0.95
0343 -     30.57 |   31.74 |     0.99 |   0.99
0344 -     60.64 |  100.00 |     0.98 |   1.00
0345 -     54.07 |  100.00 |     0.98 |   1.00
0346 -     92.11 |   98.80 |     0.98 |   0.99
0347 -     50.61 |   40.21 |     0.88 |   0.91
0348 -     48.96 |  100.00 |     0.98 |   1.00
0349 -     39.43 |    0.00 |     0.98 |   1.00
0350 -     42.00 |  100.00 |     0.95 |   1.00
0351 -     96.25 |  100.00 |     0.98 |   1.00
0352 -     90.12 |  100.00 |     0.87 |   1.00
0353 -     65.98 |   65.13 |     0.99 |   1.00
0354 -     58.57 |   57.75 |     0.96 |   0.97
0355 -     85.55 |  100.00 |     0.99 |   1.00
0356 -     54.51 |   49.40 |     0.99 |   1.00
0357 -     75.49 |  100.00 |     0.98 |   1.00
0358 -     72.66 |  100.00 |     0.92 |   1.00
0359 -     93.51 |  100.00 |     0.98 |   1.00
0360 -     33.27 |   99.71 |     0.90 |   0.97
0361 -      0.00 |    0.00 |     0.91 |   0.91
0362 -     80.31 |  100.00 |     0.98 |   1.00
0363 -      5.92 |  100.00 |     0.97 |   1.00
0364 -     93.32 |  100.00 |     0.96 |   1.00
0365 -     96.33 |  100.00 |     0.99 |   1.00
0366 -     88.10 |  100.00 |     0.94 |   1.00
0367 -     26.50 |   26.71 |     0.95 |   0.99
0368 -      7.66 |    7.66 |     0.82 |   0.87
0369 -     66.27 |   99.76 |     0.95 |   0.96
0370 -      8.78 |  100.00 |     0.98 |   1.00
0371 -     11.81 |   99.75 |     0.99 |   1.00
0372 -     18.30 |  100.00 |     1.00 |   1.00
0373 -     91.12 |   95.18 |     0.94 |   0.98
0374 -     13.01 |   40.67 |     0.97 |   1.00
0375 -     91.09 |  100.00 |     0.91 |   1.00
0376 -      0.00 |    0.00 |     0.98 |   1.00
0377 -     82.53 |  100.00 |     0.96 |   1.00
0378 -      0.00 |  100.00 |     0.90 |   1.00
0379 -     77.58 |   99.62 |     0.98 |   1.00
0380 -      0.00 |    0.00 |     0.97 |   0.99
