==================
SIM GOLD:   0.9254
SIM IN:     0.9566
==================
       GOLD |  IN
0211 - 0.94 | 1.00
0212 - 0.95 | 0.97
0213 - 0.93 | 0.94
0214 - 0.94 | 0.98
0215 - 0.84 | 0.83
0216 - 0.97 | 1.00
0217 - 0.96 | 1.00
0218 - 0.97 | 1.00
0219 - 0.96 | 0.97
0220 - 0.91 | 0.98
0221 - 0.95 | 0.98
0222 - 0.95 | 1.00
0223 - 0.84 | 1.00
0224 - 0.96 | 1.00
0225 - 0.91 | 0.92
0226 - 0.94 | 1.00
0227 - 0.96 | 1.00
0228 - 0.94 | 1.00
0229 - 0.90 | 0.92
0230 - 0.98 | 1.00
0231 - 0.99 | 1.00
0232 - 0.95 | 0.96
0233 - 0.93 | 1.00
0234 - 0.97 | 1.00
0235 - 0.93 | 1.00
0236 - 0.74 | 0.77
0237 - 0.95 | 0.97
0238 - 0.93 | 0.95
0239 - 0.97 | 1.00
0240 - 0.87 | 0.86
0241 - 0.96 | 0.97
0242 - 0.94 | 0.99
0243 - 0.99 | 1.00
0244 - 0.98 | 1.00
0245 - 1.00 | 0.96
0246 - 0.87 | 0.89
0247 - 0.73 | 0.71
0248 - 0.96 | 1.00
0249 - 0.98 | 0.99
0250 - 0.97 | 1.00
0251 - 0.98 | 0.99
0252 - 0.98 | 1.00
0253 - 0.80 | 0.80
0254 - 0.96 | 1.00
0255 - 0.90 | 0.97
0256 - 0.94 | 0.96
0257 - 0.56 | 0.77
0258 - 0.95 | 0.97
0259 - 0.97 | 1.00
0260 - 0.90 | 0.99
0261 - 0.86 | 0.97
0262 - 0.97 | 0.97
0263 - 0.95 | 0.98
0264 - 0.90 | 0.96
0265 - 0.98 | 0.98
0266 - 0.98 | 1.00
0267 - 0.96 | 1.00
0268 - 0.94 | 0.99
0269 - 0.97 | 1.00
0270 - 0.80 | 0.80
0271 - 0.87 | 0.91
0272 - 0.97 | 1.00
0273 - 0.93 | 0.93
0274 - 0.99 | 1.00
0275 - 0.97 | 1.00
0276 - 0.95 | 1.00
0277 - 0.97 | 0.98
0278 - 0.92 | 1.00
0279 - 0.79 | 0.83
0280 - 0.96 | 0.99
0281 - 0.63 | 0.63
0282 - 1.00 | 0.98
0283 - 0.97 | 1.00
0284 - 0.96 | 0.97
0285 - 0.98 | 1.00
0286 - 0.99 | 1.00
0287 - 0.89 | 1.00
0288 - 0.97 | 0.99
0289 - 0.89 | 0.90
0290 - 0.98 | 1.00
0291 - 0.86 | 1.00
0292 - 0.99 | 1.00
0293 - 0.79 | 0.83
0294 - 0.78 | 0.78
0295 - 0.82 | 0.90
0296 - 0.90 | 0.90
0297 - 0.96 | 0.97
0298 - 0.94 | 1.00
0299 - 0.96 | 0.98
0300 - 0.96 | 1.00
0301 - 0.96 | 1.00
0302 - 0.95 | 1.00
0303 - 0.87 | 0.88
0304 - 0.98 | 1.00
0305 - 0.84 | 0.84
0306 - 0.98 | 1.00
0307 - 0.79 | 0.78
0308 - 0.94 | 1.00
0309 - 0.85 | 1.00
0310 - 0.85 | 1.00
0311 - 0.92 | 0.92
0312 - 0.84 | 1.00
0313 - 0.90 | 1.00
0314 - 0.94 | 1.00
0315 - 0.95 | 1.00
0316 - 0.98 | 1.00
0317 - 0.93 | 1.00
0318 - 0.98 | 0.99
0319 - 0.96 | 1.00
0320 - 0.96 | 0.98
0321 - 0.94 | 0.94
0322 - 0.94 | 1.00
0323 - 0.94 | 1.00
0324 - 0.98 | 0.99
0325 - 1.00 | 1.00
0326 - 0.93 | 0.95
0327 - 0.97 | 0.99
0328 - 0.91 | 1.00
0329 - 0.94 | 0.97
0330 - 0.99 | 1.00
0331 - 1.00 | 1.00
0332 - 0.97 | 0.97
0333 - 0.81 | 0.81
0334 - 0.84 | 0.83
0335 - 0.97 | 0.98
0336 - 1.00 | 0.98
0337 - 0.96 | 0.97
0338 - 0.97 | 1.00
0339 - 0.91 | 0.94
0340 - 0.94 | 0.96
0341 - 0.27 | 0.32
0342 - 0.81 | 0.81
0343 - 0.96 | 0.98
0344 - 0.70 | 0.70
0345 - 0.95 | 0.97
0346 - 0.87 | 1.00
0347 - 0.84 | 0.91
0348 - 0.86 | 0.89
0349 - 0.92 | 0.91
0350 - 0.96 | 1.00
0351 - 0.92 | 0.94
0352 - 0.90 | 1.00
0353 - 0.93 | 0.94
0354 - 0.98 | 1.00
0355 - 0.94 | 0.97
0356 - 0.89 | 0.91
0357 - 0.99 | 1.00
0358 - 0.94 | 0.97
0359 - 0.91 | 0.99
0360 - 0.97 | 0.97
0361 - 0.97 | 1.00
0362 - 0.96 | 0.97
0363 - 0.95 | 1.00
0364 - 0.97 | 0.99
0365 - 0.98 | 1.00
0366 - 0.94 | 0.97
0367 - 0.93 | 1.00
0368 - 0.92 | 0.95
0369 - 0.98 | 1.00
0370 - 0.95 | 1.00
0371 - 0.99 | 1.00
0372 - 0.93 | 0.93
0373 - 0.91 | 1.00
0374 - 0.93 | 0.96
0375 - 0.97 | 1.00
0376 - 0.96 | 0.97
0377 - 1.00 | 1.00
0378 - 0.86 | 0.88
0379 - 0.87 | 1.00
0380 - 0.91 | 0.93
0381 - 0.97 | 1.00
0382 - 0.90 | 0.92
0383 - 1.00 | 0.99
0384 - 0.98 | 1.00
0385 - 0.94 | 1.00
0386 - 0.86 | 1.00
0387 - 0.98 | 1.00
0388 - 0.98 | 1.00
0389 - 1.00 | 1.00
0390 - 0.95 | 0.99
0391 - 1.00 | 0.91
0392 - 0.88 | 0.91
0393 - 0.96 | 1.00
0394 - 0.95 | 1.00
0395 - 0.97 | 1.00
0396 - 0.84 | 0.84
0397 - 0.91 | 1.00
0398 - 0.94 | 0.95
0399 - 0.74 | 0.75
0400 - 0.94 | 1.00
0401 - 0.85 | 0.88
0402 - 0.99 | 0.99
0403 - 0.96 | 0.96
0404 - 0.93 | 0.95
0405 - 0.99 | 0.99
0406 - 0.82 | 0.85
0407 - 0.98 | 1.00
0408 - 0.98 | 1.00
0409 - 0.98 | 0.99
0410 - 0.88 | 0.91
0411 - 0.98 | 1.00
0412 - 0.98 | 1.00
0413 - 0.95 | 1.00
0414 - 0.98 | 1.00
0415 - 0.87 | 1.00
0416 - 0.99 | 1.00
0417 - 0.69 | 0.70
0418 - 0.91 | 0.90
0419 - 0.96 | 0.97
0420 - 0.99 | 1.00
0421 - 0.99 | 1.00
0422 - 0.98 | 1.00
0423 - 0.92 | 1.00
0424 - 0.98 | 1.00
0425 - 0.90 | 0.97
0426 - 0.91 | 0.91
0427 - 0.98 | 1.00
0428 - 0.97 | 1.00
0429 - 0.96 | 1.00
0430 - 0.99 | 1.00
0431 - 0.93 | 0.94
0432 - 0.94 | 1.00
0433 - 0.88 | 0.88
0434 - 0.95 | 0.99
0435 - 0.75 | 0.75
0436 - 0.82 | 0.87
0437 - 0.95 | 0.96
0438 - 0.98 | 1.00
0439 - 0.99 | 1.00
0440 - 1.00 | 1.00
0441 - 0.94 | 0.98
0442 - 0.97 | 1.00
0443 - 0.91 | 1.00
0444 - 0.98 | 1.00
0445 - 0.96 | 1.00
0446 - 0.90 | 1.00
0447 - 0.98 | 1.00
0448 - 0.97 | 0.99
0449 - 0.88 | 0.88
0450 - 0.96 | 0.98
0451 - 1.00 | 0.93
0452 - 0.95 | 1.00
0453 - 0.96 | 0.99
0454 - 0.97 | 0.99
0455 - 0.95 | 0.98
0456 - 0.99 | 1.00
0457 - 0.99 | 1.00
0458 - 0.98 | 1.00
0459 - 0.95 | 1.00
0460 - 0.89 | 0.90
0461 - 0.98 | 1.00
0462 - 0.53 | 0.69
0463 - 0.98 | 1.00
0464 - 0.96 | 1.00
0465 - 0.97 | 1.00
0466 - 1.00 | 1.00
0467 - 0.97 | 0.98
0468 - 0.96 | 0.95
0469 - 0.97 | 1.00
0470 - 0.97 | 1.00
0471 - 0.96 | 1.00
0472 - 0.92 | 0.93
0473 - 0.96 | 0.99
0474 - 0.94 | 0.96
0475 - 0.96 | 0.98
0476 - 0.97 | 1.00
0477 - 0.84 | 0.84
0478 - 0.99 | 1.00
0479 - 0.97 | 1.00
0480 - 0.93 | 0.96
0481 - 0.93 | 0.97
0482 - 0.91 | 0.93
0483 - 0.99 | 1.00
0484 - 0.90 | 0.90
0485 - 0.98 | 0.99
0486 - 0.97 | 1.00
0487 - 0.97 | 1.00
0488 - 0.93 | 0.96
0489 - 0.98 | 1.00
0490 - 0.97 | 1.00
0491 - 0.97 | 1.00
0492 - 0.88 | 0.89
0493 - 0.97 | 1.00
0494 - 0.96 | 1.00
0495 - 0.98 | 1.00
0496 - 0.96 | 0.97
0497 - 0.92 | 0.99
0498 - 0.91 | 0.95
0499 - 0.99 | 1.00
0500 - 0.82 | 0.83
0501 - 0.92 | 0.96
0502 - 0.97 | 1.00
0503 - 0.89 | 0.89
0504 - 0.98 | 0.98
0505 - 0.90 | 0.96
0506 - 0.98 | 1.00
0507 - 0.97 | 0.98
0508 - 0.95 | 0.99
0509 - 0.90 | 0.95
0510 - 0.94 | 1.00
0511 - 0.97 | 1.00
0512 - 0.82 | 0.81
0513 - 0.99 | 1.00
0514 - 0.90 | 0.91
0515 - 0.86 | 0.87
0516 - 0.95 | 1.00
0517 - 0.96 | 0.98
0518 - 0.98 | 1.00
0519 - 0.98 | 1.00
0520 - 0.97 | 1.00
0521 - 0.88 | 0.89
0522 - 0.99 | 0.99
0523 - 1.00 | 1.00
0524 - 0.98 | 1.00
0525 - 0.92 | 1.00
0526 - 0.99 | 1.00
0527 - 0.89 | 0.91
0528 - 0.91 | 1.00
0529 - 0.96 | 0.97
0530 - 0.90 | 1.00
0531 - 0.98 | 0.99
0532 - 0.96 | 1.00
0533 - 1.00 | 1.00
0534 - 0.95 | 0.96
0535 - 0.98 | 0.99
0536 - 0.79 | 0.81
0537 - 0.97 | 0.99
0538 - 0.99 | 1.00
0539 - 0.99 | 1.00
0540 - 0.94 | 1.00
0541 - 0.94 | 1.00
0542 - 1.00 | 1.00
0543 - 0.90 | 0.98
0544 - 0.97 | 0.98
0545 - 0.89 | 0.90
0546 - 0.89 | 0.93
0547 - 0.97 | 1.00
0548 - 0.95 | 1.00
0549 - 0.96 | 1.00
0550 - 0.97 | 1.00
0551 - 0.91 | 1.00
0552 - 0.99 | 1.00
0553 - 0.80 | 0.93
0554 - 0.89 | 1.00
0555 - 0.82 | 0.79
0556 - 0.90 | 0.90
0557 - 0.98 | 1.00
0558 - 0.93 | 0.95
0559 - 0.88 | 0.89
0560 - 0.94 | 1.00
0561 - 0.94 | 1.00
0562 - 0.98 | 1.00
0563 - 0.86 | 0.88
0564 - 0.91 | 0.95
0565 - 0.92 | 0.97
0566 - 0.99 | 1.00
0567 - 0.89 | 0.89
0568 - 0.94 | 0.94
0569 - 0.91 | 0.93
0570 - 0.89 | 0.92
0571 - 0.98 | 1.00
0572 - 0.83 | 0.95
0573 - 0.98 | 1.00
0574 - 0.91 | 0.99
0575 - 0.99 | 1.00
0576 - 0.80 | 0.82
0577 - 0.87 | 0.97
0578 - 0.96 | 0.97
0579 - 0.98 | 1.00
0580 - 0.97 | 1.00
0581 - 0.87 | 0.91
0582 - 0.91 | 0.94
0583 - 0.98 | 1.00
0584 - 0.99 | 1.00
0585 - 0.93 | 0.94
0586 - 0.97 | 1.00
0587 - 0.92 | 0.94
0588 - 0.99 | 1.00
0589 - 0.93 | 1.00
0590 - 0.72 | 0.73
0591 - 0.97 | 0.99
0592 - 0.91 | 0.99
0593 - 0.97 | 1.00
0594 - 0.99 | 1.00
0595 - 0.99 | 1.00
