==============================================
BLEU GOLD:                               50.64
BLEU IN:                                 56.01
SIM GOLD:                               0.8180
SIM IN:                                 0.8455
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      0.00 |    0.00 |     0.75 |   0.78
0002 -      0.00 |    0.00 |     0.64 |   0.66
0003 -     28.92 |   67.09 |     0.92 |   0.93
0004 -      0.00 |    0.00 |     0.81 |   0.86
0005 -     22.86 |   68.87 |     0.92 |   0.92
0006 -     79.35 |   84.82 |     0.94 |   0.94
0007 -     23.69 |   40.85 |     0.68 |   0.71
0008 -     31.46 |   75.78 |     0.92 |   0.97
0009 -     40.14 |   24.48 |     0.82 |   0.83
0010 -      0.00 |    0.00 |     0.75 |   0.78
0011 -     40.21 |  100.00 |     0.95 |   1.00
0012 -     52.58 |   65.24 |     0.81 |   0.84
0013 -     33.91 |   31.20 |     0.93 |   0.95
0014 -     35.36 |   43.82 |     0.95 |   0.97
0015 -     60.35 |   54.41 |     0.66 |   0.69
0016 -      0.00 |    0.00 |     0.78 |   0.77
0017 -      0.00 |    0.00 |     0.94 |   0.97
0018 -      0.00 |    0.00 |     0.53 |   0.54
0019 -     34.91 |   77.64 |     0.78 |   0.80
0020 -     53.00 |   22.03 |     0.95 |   0.96
0021 -     34.56 |   18.24 |     0.99 |   1.00
0022 -      0.00 |    0.00 |     0.91 |   0.94
0023 -      0.00 |    0.00 |     0.92 |   0.93
0024 -     36.42 |   33.25 |     0.85 |   0.88
0025 -     19.27 |    0.00 |     0.65 |   0.71
0026 -      0.00 |    0.00 |     0.74 |   0.74
0027 -      0.00 |   99.82 |     0.88 |   0.97
0028 -     35.22 |   33.83 |     0.93 |   0.96
0029 -      0.00 |    0.00 |     0.91 |   0.95
0030 -      0.00 |    0.00 |     0.61 |   0.61
0031 -      0.00 |    0.00 |     0.43 |   0.44
0032 -      0.00 |    0.00 |     0.96 |   0.95
0033 -      0.00 |    0.00 |     0.78 |   0.82
0034 -     18.18 |   47.65 |     0.81 |   0.86
0035 -      0.00 |   73.51 |     0.92 |   0.94
0036 -      0.00 |   87.86 |     0.91 |   0.93
0037 -      8.93 |    8.37 |     0.80 |   0.90
0038 -     26.93 |   93.46 |     0.96 |   0.98
0039 -     30.14 |   30.70 |     0.93 |   0.94
0040 -     74.14 |   46.82 |     0.93 |   0.92
0041 -      0.00 |    0.00 |     0.76 |   0.78
0042 -     29.49 |   35.76 |     0.48 |   0.53
0043 -      0.00 |    0.00 |     0.13 |   0.13
0044 -      0.00 |    0.00 |     0.89 |   0.93
0045 -     49.03 |   50.06 |     0.80 |   0.83
0046 -     19.98 |    0.00 |     0.88 |   0.91
0047 -     65.61 |   95.64 |     0.54 |   0.97
0048 -      0.00 |    0.00 |     0.81 |   0.81
0049 -     37.88 |   45.78 |     0.83 |   0.89
0050 -      0.00 |    0.00 |     0.86 |   0.86
0051 -      0.00 |   10.44 |     0.78 |   0.82
0052 -      9.78 |   12.10 |     0.93 |   0.95
0053 -     50.45 |   43.82 |     0.92 |   0.95
0054 -      8.34 |    0.00 |     0.69 |   0.68
0055 -     56.55 |   56.55 |     0.96 |   0.95
0056 -     75.84 |   91.85 |     0.93 |   0.98
0057 -     30.34 |   83.13 |     0.88 |   0.95
0058 -     10.32 |    9.52 |     0.60 |   0.67
0059 -      6.85 |    6.74 |     0.95 |   0.94
0060 -      0.00 |    0.00 |     0.95 |   0.96
0061 -      0.00 |    0.00 |     0.64 |   0.65
0062 -      0.00 |    0.00 |     0.52 |   0.56
0063 -     24.46 |   53.09 |     0.79 |   0.87
0064 -      5.71 |    5.64 |     0.94 |   0.96
0065 -     72.46 |   60.00 |     0.86 |   0.83
0066 -     54.50 |   87.16 |     0.87 |   0.88
0067 -      0.00 |   10.50 |     0.68 |   0.68
0068 -      0.00 |    0.00 |     0.75 |   0.71
0069 -      0.00 |    0.00 |     0.63 |   0.64
0070 -      0.00 |    0.00 |     0.86 |   0.85
0071 -      0.00 |    4.51 |     0.72 |   0.76
0072 -      0.00 |    0.00 |     0.78 |   0.79
0073 -      0.00 |  100.00 |     0.92 |   1.00
0074 -      0.00 |    0.00 |     0.83 |   0.85
0075 -     91.21 |   96.81 |     0.89 |   0.93
0076 -      0.00 |   57.85 |     0.78 |   0.81
0077 -     36.23 |   30.40 |     0.84 |   0.87
0078 -      0.00 |    0.00 |     0.69 |   0.71
0079 -      0.00 |    0.00 |     0.94 |   0.97
0080 -     90.91 |  100.00 |     0.94 |   1.00
0081 -      0.00 |    0.00 |     0.52 |   0.55
0082 -      0.00 |    0.00 |     0.97 |   0.99
0083 -     29.22 |   13.62 |     0.58 |   0.64
0084 -     32.06 |   30.25 |     0.71 |   0.82
0085 -     15.03 |   59.33 |     0.97 |   0.99
0086 -      0.00 |    0.00 |     0.45 |   0.23
0087 -      0.00 |   22.57 |     0.72 |   0.69
0088 -      0.00 |    0.00 |     0.91 |   0.92
0089 -     58.82 |   58.44 |     0.77 |   0.80
0090 -     16.98 |   90.05 |     0.87 |   0.92
0091 -     90.56 |   61.71 |     0.95 |   0.88
0092 -     49.61 |   52.54 |     0.82 |   0.90
0093 -      0.00 |    0.00 |     0.93 |   1.00
0094 -     58.67 |   83.58 |     0.40 |   0.84
0095 -     39.98 |   39.64 |     0.83 |   0.85
0096 -      0.00 |    0.00 |     0.27 |   0.34
0097 -     81.85 |  100.00 |     0.98 |   1.00
0098 -     72.74 |  100.00 |     0.94 |   0.97
0099 -     89.63 |   93.30 |     0.97 |   0.99
0100 -      0.00 |    0.00 |     0.83 |   0.85
0101 -     63.63 |   47.46 |     0.77 |   0.79
0102 -      0.00 |    0.00 |     0.80 |   0.84
0103 -      0.00 |    0.00 |     0.81 |   0.88
0104 -     14.47 |   12.65 |     0.95 |   0.95
0105 -      5.03 |    0.00 |     0.84 |   0.86
0106 -      0.00 |    0.00 |     0.65 |   0.69
0107 -      0.00 |    0.00 |     0.92 |   0.92
0108 -     29.76 |   28.46 |     0.69 |   0.90
0109 -      0.00 |   15.54 |     0.74 |   0.76
0110 -     80.89 |  100.00 |     0.93 |   1.00
0111 -     13.30 |   28.87 |     0.90 |   0.91
0112 -      0.00 |    0.00 |     0.62 |   0.62
0113 -     24.36 |   23.08 |     0.98 |   1.00
0114 -     21.80 |   96.45 |     0.99 |   0.99
0115 -     52.56 |   61.77 |     0.90 |   0.94
0116 -     76.08 |   70.52 |     0.94 |   0.94
0117 -      0.00 |    0.00 |     0.61 |   0.61
0118 -      0.00 |    0.00 |     0.88 |   0.86
0119 -     60.65 |   66.10 |     0.72 |   0.78
0120 -     29.19 |   29.19 |     0.50 |   0.68
0121 -      0.00 |    0.00 |     0.80 |   0.82
0122 -      0.00 |    0.00 |     0.53 |   0.53
0123 -      0.00 |    0.00 |     0.65 |   0.68
0124 -     78.38 |   83.65 |     0.93 |   0.94
0125 -      0.00 |    0.00 |     0.74 |   0.76
0126 -    100.00 |   95.71 |     1.00 |   0.95
0127 -      0.00 |    0.00 |     0.75 |   0.73
0128 -     64.87 |   31.38 |     0.90 |   0.87
0129 -      0.00 |    0.00 |     0.91 |   0.91
0130 -     11.70 |   11.96 |     0.96 |   0.98
0131 -      0.00 |  100.00 |     0.97 |   1.00
0132 -      6.18 |    6.03 |     0.68 |   0.73
0133 -      0.00 |    0.00 |     0.60 |   0.65
0134 -      8.76 |   97.24 |     0.89 |   0.94
0135 -     13.77 |   46.56 |     0.91 |   0.92
0136 -      0.00 |    0.00 |     0.83 |   0.80
0137 -     25.96 |   35.21 |     0.84 |   0.85
0138 -     15.62 |   15.71 |     0.80 |   0.88
0139 -      0.00 |    0.00 |     0.53 |   0.60
0140 -     29.45 |   29.51 |     0.85 |   0.94
0141 -      0.00 |   14.42 |     0.82 |   0.80
0142 -      0.00 |   37.34 |     0.98 |   0.98
