==============================================
BLEU GOLD:                               33.85
BLEU IN:                                 64.43
SIM GOLD:                               0.8896
SIM IN:                                 0.9771
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     87.24 |  100.00 |     0.96 |   1.00
0002 -     83.78 |  100.00 |     0.96 |   1.00
0003 -     96.91 |  100.00 |     0.84 |   1.00
0004 -     42.70 |  100.00 |     0.91 |   1.00
0005 -     99.27 |   47.59 |     0.93 |   0.92
0006 -      0.00 |    0.00 |     0.86 |   0.99
0007 -     20.12 |   16.16 |     0.78 |   0.81
0008 -      0.00 |  100.00 |     0.76 |   1.00
0009 -      0.00 |    0.00 |     0.68 |   0.87
0010 -     11.38 |  100.00 |     0.99 |   1.00
0011 -     98.94 |  100.00 |     0.87 |   1.00
0012 -     68.21 |  100.00 |     0.95 |   1.00
0013 -      0.00 |    0.00 |     0.91 |   0.95
0014 -      0.00 |   97.76 |     0.79 |   1.00
0015 -     52.66 |   52.42 |     0.93 |   0.98
0016 -     56.92 |  100.00 |     0.81 |   1.00
0017 -      0.00 |  100.00 |     0.62 |   1.00
0018 -      0.00 |    0.00 |     0.92 |   1.00
0019 -      0.00 |   95.88 |     0.95 |   0.98
0020 -     48.15 |   43.98 |     0.85 |   1.00
0021 -     80.85 |  100.00 |     0.96 |   1.00
0022 -      0.00 |    0.00 |     0.95 |   1.00
0023 -      0.00 |   98.74 |     0.90 |   0.98
0024 -     75.72 |   80.63 |     0.98 |   0.99
0025 -     38.36 |  100.00 |     0.89 |   1.00
0026 -     96.49 |   99.28 |     0.99 |   1.00
0027 -     39.94 |  100.00 |     0.93 |   1.00
0028 -     14.49 |   12.57 |     0.92 |   0.99
0029 -     61.85 |   97.88 |     0.88 |   0.93
0030 -     29.79 |   98.72 |     0.96 |   0.97
0031 -     58.83 |  100.00 |     0.93 |   1.00
0032 -     17.64 |   98.45 |     0.89 |   0.96
0033 -     56.71 |  100.00 |     0.87 |   1.00
0034 -     41.65 |   40.95 |     0.98 |   1.00
0035 -     50.47 |  100.00 |     0.87 |   1.00
0036 -     16.12 |   98.91 |     0.97 |   0.99
0037 -      7.47 |   21.38 |     0.87 |   1.00
0038 -     19.59 |   13.75 |     0.81 |   0.93
0039 -     26.93 |   21.10 |     0.94 |   1.00
0040 -     98.84 |  100.00 |     0.90 |   1.00
0041 -     47.76 |  100.00 |     0.93 |   1.00
0042 -     76.41 |   95.05 |     0.89 |   0.96
0043 -     31.67 |    8.72 |     0.98 |   0.99
