==============================================
BLEU GOLD:                               32.40
BLEU IN:                                 61.59
SIM GOLD:                               0.8863
SIM IN:                                 0.9732
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      0.00 |    0.00 |     0.84 |   0.91
0002 -     83.78 |  100.00 |     0.96 |   1.00
0003 -     96.91 |  100.00 |     0.84 |   1.00
0004 -     42.70 |  100.00 |     0.91 |   1.00
0005 -     65.78 |   46.32 |     0.94 |   0.98
0006 -      0.00 |    0.00 |     0.86 |   0.99
0007 -     46.72 |   88.20 |     0.88 |   0.93
0008 -      0.00 |    0.00 |     0.57 |   0.79
0009 -      0.00 |    0.00 |     0.65 |   0.84
0010 -     11.38 |  100.00 |     0.99 |   1.00
0011 -     98.94 |  100.00 |     0.87 |   1.00
0012 -     68.21 |  100.00 |     0.95 |   1.00
0013 -      0.00 |    0.00 |     0.96 |   1.00
0014 -      0.00 |   97.76 |     0.79 |   1.00
0015 -     52.66 |   52.42 |     0.93 |   0.98
0016 -     56.92 |  100.00 |     0.81 |   1.00
0017 -      0.00 |  100.00 |     0.62 |   1.00
0018 -      0.00 |    0.00 |     0.92 |   1.00
0019 -      0.00 |   95.88 |     0.95 |   0.98
0020 -     48.15 |   43.98 |     0.85 |   1.00
0021 -     80.85 |  100.00 |     0.96 |   1.00
0022 -      0.00 |    0.00 |     0.95 |   1.00
0023 -      0.00 |  100.00 |     0.92 |   1.00
0024 -     74.34 |  100.00 |     0.99 |   1.00
0025 -     12.49 |   12.63 |     0.83 |   0.91
0026 -     96.49 |   99.28 |     0.99 |   1.00
0027 -     40.32 |   98.13 |     0.93 |   1.00
0028 -     75.07 |   63.63 |     0.92 |   1.00
0029 -     61.76 |   60.91 |     0.93 |   0.98
0030 -     29.79 |   98.72 |     0.96 |   0.96
0031 -     58.83 |  100.00 |     0.93 |   1.00
0032 -     17.64 |   98.45 |     0.90 |   0.97
0033 -     56.71 |  100.00 |     0.87 |   1.00
0034 -     88.56 |   95.65 |     0.98 |   1.00
0035 -     50.47 |  100.00 |     0.87 |   1.00
0036 -     16.12 |   98.91 |     0.97 |   0.99
0037 -      7.47 |   21.38 |     0.87 |   1.00
0038 -     14.29 |   73.41 |     0.81 |   0.93
0039 -     26.93 |   20.87 |     0.94 |   1.00
0040 -     56.08 |   43.23 |     0.87 |   0.98
0041 -     47.76 |  100.00 |     0.93 |   1.00
0042 -     76.41 |   95.05 |     0.90 |   0.96
0043 -      5.95 |    8.49 |     0.95 |   0.97
0044 -     98.29 |  100.00 |     0.92 |   1.00
0045 -     38.31 |   32.37 |     0.91 |   0.98
0046 -      0.00 |    0.00 |     0.98 |   1.00
0047 -     19.15 |    0.00 |     0.91 |   0.99
0048 -     26.21 |   19.47 |     0.92 |   0.98
0049 -     58.51 |   55.70 |     0.98 |   1.00
0050 -     44.89 |   99.32 |     0.90 |   0.96
0051 -      0.00 |    0.00 |     0.90 |   0.96
0052 -     28.91 |    0.00 |     0.94 |   0.99
0053 -      0.00 |    0.00 |     0.75 |   0.83
0054 -     52.43 |   31.02 |     0.91 |   0.98
0055 -     99.08 |    4.86 |     0.92 |   1.00
0056 -     76.08 |  100.00 |     0.98 |   1.00
0057 -      0.00 |    0.00 |     0.98 |   0.95
0058 -      6.86 |    6.99 |     0.90 |   0.86
0059 -      0.00 |    0.00 |     0.81 |   0.97
0060 -      0.00 |    0.00 |     0.94 |   0.99
0061 -     17.76 |  100.00 |     0.99 |   0.99
0062 -     69.31 |  100.00 |     0.97 |   1.00
0063 -     26.21 |   92.77 |     0.90 |   0.95
0064 -     95.01 |   61.15 |     0.90 |   0.91
0065 -      5.90 |    7.20 |     0.85 |   0.88
0066 -     43.71 |  100.00 |     0.93 |   1.00
0067 -     63.12 |   95.15 |     0.98 |   0.99
0068 -     72.48 |   95.24 |     0.71 |   0.98
0069 -      0.00 |    0.00 |     0.88 |   0.94
0070 -     24.70 |   97.60 |     0.96 |   1.00
0071 -      4.33 |    9.19 |     0.92 |   0.97
0072 -     66.70 |   98.90 |     0.84 |   1.00
0073 -      0.00 |    0.00 |     0.80 |   0.91
0074 -      0.00 |    0.00 |     0.77 |   0.93
0075 -     63.74 |   96.28 |     0.96 |   0.99
0076 -     35.81 |   29.14 |     0.84 |   0.98
0077 -     63.55 |   56.51 |     0.93 |   0.98
0078 -      0.00 |    0.00 |     0.76 |   0.87
0079 -     22.99 |   82.17 |     0.93 |   0.97
0080 -     66.36 |  100.00 |     0.94 |   1.00
0081 -     82.45 |  100.00 |     0.94 |   1.00
0082 -      0.00 |  100.00 |     0.90 |   1.00
0083 -     19.97 |   98.51 |     0.95 |   0.96
0084 -     54.96 |   63.42 |     0.85 |   1.00
0085 -     57.91 |  100.00 |     0.73 |   1.00
