==================
SIM GOLD:   0.9156
SIM IN:     0.9478
==================
       GOLD |  IN
0211 - 0.94 | 1.00
0212 - 0.95 | 0.97
0213 - 0.94 | 0.95
0214 - 0.91 | 0.86
0215 - 0.94 | 0.93
0216 - 0.90 | 0.94
0217 - 0.96 | 1.00
0218 - 0.91 | 0.94
0219 - 0.88 | 0.90
0220 - 0.93 | 0.99
0221 - 0.96 | 0.99
0222 - 0.95 | 1.00
0223 - 0.84 | 1.00
0224 - 0.79 | 0.84
0225 - 0.91 | 0.92
0226 - 0.82 | 0.77
0227 - 0.90 | 0.90
0228 - 0.92 | 0.98
0229 - 0.90 | 0.92
0230 - 0.96 | 0.97
0231 - 0.99 | 1.00
0232 - 0.95 | 0.92
0233 - 0.93 | 1.00
0234 - 0.95 | 0.99
0235 - 0.93 | 1.00
0236 - 0.81 | 0.82
0237 - 0.94 | 0.95
0238 - 0.99 | 1.00
0239 - 0.97 | 1.00
0240 - 0.96 | 1.00
0241 - 0.96 | 0.97
0242 - 0.95 | 0.99
0243 - 0.98 | 1.00
0244 - 0.98 | 1.00
0245 - 0.95 | 1.00
0246 - 0.86 | 0.88
0247 - 0.81 | 0.80
0248 - 0.96 | 1.00
0249 - 0.98 | 0.99
0250 - 0.97 | 1.00
0251 - 0.97 | 0.99
0252 - 0.96 | 0.97
0253 - 0.84 | 0.83
0254 - 0.96 | 1.00
0255 - 0.89 | 0.96
0256 - 0.96 | 0.98
0257 - 0.66 | 0.81
0258 - 0.89 | 0.92
0259 - 0.97 | 1.00
0260 - 0.90 | 0.99
0261 - 0.89 | 1.00
0262 - 0.97 | 0.97
0263 - 0.95 | 0.98
0264 - 0.93 | 1.00
0265 - 0.99 | 1.00
0266 - 0.98 | 1.00
0267 - 0.96 | 1.00
0268 - 0.94 | 1.00
0269 - 0.93 | 0.96
0270 - 0.79 | 0.78
0271 - 0.98 | 0.99
0272 - 0.97 | 1.00
0273 - 0.93 | 0.94
0274 - 0.99 | 1.00
0275 - 0.89 | 0.92
0276 - 0.95 | 1.00
0277 - 0.97 | 0.98
0278 - 0.89 | 0.96
0279 - 0.94 | 1.00
0280 - 0.95 | 0.99
0281 - 0.79 | 0.79
0282 - 0.92 | 0.94
0283 - 0.97 | 1.00
0284 - 0.95 | 0.96
0285 - 0.98 | 1.00
0286 - 0.98 | 0.98
0287 - 0.89 | 1.00
0288 - 0.96 | 0.97
0289 - 0.88 | 0.89
0290 - 0.74 | 0.75
0291 - 0.86 | 1.00
0292 - 0.96 | 0.97
0293 - 0.88 | 0.93
0294 - 0.77 | 0.77
0295 - 0.89 | 1.00
0296 - 0.90 | 0.90
0297 - 0.89 | 0.91
0298 - 0.93 | 0.99
0299 - 0.97 | 0.99
0300 - 0.96 | 1.00
0301 - 0.96 | 1.00
0302 - 0.95 | 1.00
0303 - 0.76 | 0.78
0304 - 0.98 | 1.00
0305 - 0.86 | 0.86
0306 - 0.89 | 0.93
0307 - 0.73 | 0.75
0308 - 0.94 | 1.00
0309 - 0.85 | 1.00
0310 - 0.85 | 1.00
0311 - 0.93 | 0.93
0312 - 0.84 | 1.00
0313 - 0.90 | 1.00
0314 - 0.86 | 0.91
0315 - 0.95 | 1.00
0316 - 0.97 | 0.99
0317 - 0.93 | 1.00
0318 - 0.98 | 0.99
0319 - 0.96 | 1.00
0320 - 0.95 | 0.98
0321 - 0.84 | 0.85
0322 - 0.92 | 0.98
0323 - 0.92 | 0.98
0324 - 0.91 | 0.92
0325 - 1.00 | 1.00
0326 - 0.98 | 0.99
0327 - 0.97 | 0.99
0328 - 0.80 | 0.85
0329 - 0.96 | 0.98
0330 - 0.99 | 1.00
0331 - 0.94 | 0.95
0332 - 0.98 | 0.98
0333 - 0.70 | 0.70
0334 - 0.98 | 1.00
0335 - 0.88 | 0.90
0336 - 0.98 | 1.00
0337 - 0.96 | 0.97
0338 - 0.97 | 1.00
0339 - 0.94 | 0.96
0340 - 0.98 | 1.00
0341 - 0.83 | 0.85
0342 - 0.64 | 0.64
0343 - 0.97 | 1.00
0344 - 0.79 | 0.79
0345 - 0.95 | 0.97
0346 - 0.87 | 1.00
0347 - 0.84 | 0.87
0348 - 0.96 | 0.97
0349 - 0.92 | 0.92
0350 - 0.96 | 1.00
0351 - 0.99 | 1.00
0352 - 0.90 | 1.00
0353 - 0.83 | 0.84
0354 - 0.97 | 0.99
0355 - 0.93 | 0.97
0356 - 0.88 | 0.90
0357 - 0.93 | 0.95
0358 - 0.87 | 0.88
0359 - 0.91 | 1.00
0360 - 0.97 | 0.98
0361 - 0.97 | 1.00
0362 - 0.96 | 0.97
0363 - 0.95 | 1.00
0364 - 0.85 | 0.88
0365 - 0.93 | 0.94
0366 - 0.97 | 1.00
0367 - 0.93 | 1.00
0368 - 0.68 | 0.68
0369 - 0.87 | 0.89
0370 - 0.95 | 1.00
0371 - 0.95 | 0.97
0372 - 0.91 | 0.93
0373 - 0.91 | 1.00
0374 - 0.95 | 0.97
0375 - 0.97 | 1.00
0376 - 0.98 | 0.99
0377 - 1.00 | 1.00
0378 - 0.85 | 0.87
0379 - 0.87 | 1.00
0380 - 0.97 | 0.99
0381 - 0.98 | 1.00
0382 - 0.89 | 0.91
0383 - 0.99 | 1.00
0384 - 0.98 | 0.99
0385 - 0.91 | 0.98
0386 - 0.60 | 0.73
0387 - 0.98 | 1.00
0388 - 0.97 | 0.98
0389 - 1.00 | 1.00
0390 - 0.95 | 0.99
0391 - 0.91 | 1.00
0392 - 0.58 | 0.55
0393 - 0.96 | 1.00
0394 - 0.95 | 1.00
0395 - 0.96 | 1.00
0396 - 0.90 | 0.89
0397 - 0.91 | 1.00
0398 - 0.90 | 0.90
0399 - 0.77 | 0.79
0400 - 0.94 | 1.00
0401 - 0.97 | 1.00
0402 - 0.97 | 0.98
0403 - 0.99 | 1.00
0404 - 0.91 | 0.94
0405 - 0.99 | 0.99
0406 - 0.82 | 0.86
0407 - 0.98 | 1.00
0408 - 0.98 | 1.00
0409 - 0.84 | 0.85
0410 - 0.80 | 0.82
0411 - 0.98 | 1.00
0412 - 0.98 | 1.00
0413 - 0.95 | 1.00
0414 - 0.95 | 0.97
0415 - 0.87 | 1.00
0416 - 0.92 | 0.93
0417 - 0.69 | 0.70
0418 - 0.84 | 0.83
0419 - 0.90 | 0.90
0420 - 0.97 | 0.98
0421 - 0.99 | 1.00
0422 - 0.98 | 1.00
0423 - 0.92 | 1.00
0424 - 0.98 | 1.00
0425 - 0.90 | 0.97
0426 - 0.89 | 0.90
0427 - 0.98 | 1.00
0428 - 0.97 | 1.00
0429 - 0.96 | 1.00
0430 - 0.99 | 1.00
0431 - 0.90 | 0.91
0432 - 0.93 | 0.99
0433 - 0.91 | 0.92
0434 - 0.93 | 0.98
0435 - 0.68 | 0.67
0436 - 0.94 | 0.98
0437 - 0.94 | 0.96
0438 - 0.98 | 1.00
0439 - 0.99 | 1.00
0440 - 0.95 | 0.96
0441 - 0.96 | 1.00
0442 - 0.94 | 0.96
0443 - 0.91 | 1.00
0444 - 0.98 | 0.99
0445 - 0.96 | 1.00
0446 - 0.90 | 0.99
0447 - 0.96 | 0.99
0448 - 0.96 | 0.97
0449 - 0.86 | 0.87
0450 - 0.95 | 0.97
0451 - 0.93 | 1.00
0452 - 0.95 | 1.00
0453 - 0.96 | 0.98
0454 - 0.97 | 0.99
0455 - 0.92 | 0.93
0456 - 0.99 | 1.00
0457 - 0.96 | 0.97
0458 - 0.98 | 1.00
0459 - 0.95 | 1.00
0460 - 0.84 | 0.85
0461 - 0.98 | 1.00
0462 - 0.81 | 0.99
0463 - 0.91 | 0.93
0464 - 0.95 | 0.99
0465 - 0.95 | 0.99
0466 - 0.95 | 0.95
0467 - 0.97 | 0.98
0468 - 0.99 | 1.00
0469 - 0.97 | 1.00
0470 - 0.97 | 1.00
0471 - 0.96 | 1.00
0472 - 0.92 | 0.93
0473 - 0.86 | 0.90
0474 - 0.94 | 0.96
0475 - 0.99 | 1.00
0476 - 0.97 | 1.00
0477 - 0.90 | 0.91
0478 - 0.95 | 0.97
0479 - 0.97 | 1.00
0480 - 0.92 | 0.96
0481 - 0.96 | 1.00
0482 - 0.92 | 0.92
0483 - 0.96 | 0.97
0484 - 0.94 | 0.94
0485 - 0.96 | 0.98
0486 - 0.97 | 1.00
0487 - 0.97 | 1.00
0488 - 0.92 | 1.00
0489 - 0.94 | 0.96
0490 - 0.93 | 0.96
0491 - 0.96 | 0.99
0492 - 0.78 | 0.78
0493 - 0.97 | 1.00
0494 - 0.95 | 1.00
0495 - 0.95 | 0.97
0496 - 0.99 | 1.00
0497 - 0.72 | 0.78
0498 - 0.94 | 0.97
0499 - 0.97 | 0.98
0500 - 0.82 | 0.83
0501 - 0.97 | 1.00
0502 - 0.93 | 0.96
0503 - 0.89 | 0.89
0504 - 0.96 | 0.98
0505 - 0.87 | 0.94
0506 - 0.98 | 1.00
0507 - 0.94 | 0.95
0508 - 0.94 | 0.98
0509 - 0.89 | 0.94
0510 - 0.94 | 1.00
0511 - 0.97 | 1.00
0512 - 0.78 | 0.77
0513 - 0.99 | 1.00
0514 - 0.94 | 0.96
0515 - 0.87 | 0.87
0516 - 0.95 | 1.00
0517 - 0.96 | 0.98
0518 - 0.98 | 1.00
0519 - 0.96 | 0.97
0520 - 0.93 | 0.95
0521 - 0.79 | 0.81
0522 - 0.99 | 1.00
0523 - 0.99 | 1.00
0524 - 0.97 | 0.98
0525 - 0.92 | 1.00
0526 - 0.99 | 1.00
0527 - 0.87 | 0.88
0528 - 0.91 | 1.00
0529 - 0.95 | 0.96
0530 - 0.90 | 1.00
0531 - 0.98 | 0.98
0532 - 0.94 | 0.98
0533 - 0.99 | 1.00
0534 - 0.97 | 0.98
0535 - 0.98 | 0.99
0536 - 0.78 | 0.82
0537 - 0.84 | 0.87
0538 - 0.85 | 0.86
0539 - 0.91 | 0.92
0540 - 0.94 | 1.00
0541 - 0.94 | 1.00
0542 - 0.99 | 1.00
0543 - 0.92 | 1.00
0544 - 0.97 | 0.98
0545 - 0.90 | 0.91
0546 - 0.93 | 0.99
0547 - 0.97 | 1.00
0548 - 0.89 | 0.94
0549 - 0.81 | 0.86
0550 - 0.97 | 1.00
0551 - 0.91 | 1.00
0552 - 0.98 | 0.99
0553 - 0.80 | 0.88
0554 - 0.89 | 1.00
0555 - 0.94 | 0.99
0556 - 0.54 | 0.54
0557 - 0.98 | 1.00
0558 - 0.93 | 0.95
0559 - 0.80 | 0.81
0560 - 0.94 | 1.00
0561 - 0.94 | 1.00
0562 - 0.98 | 1.00
0563 - 0.87 | 0.88
0564 - 0.76 | 0.75
0565 - 0.92 | 0.97
0566 - 0.91 | 0.92
0567 - 0.89 | 0.89
0568 - 0.96 | 0.97
0569 - 0.94 | 0.96
0570 - 0.88 | 0.93
0571 - 0.95 | 0.96
0572 - 0.92 | 1.00
0573 - 0.98 | 1.00
0574 - 0.91 | 0.99
0575 - 0.99 | 1.00
0576 - 0.89 | 0.91
0577 - 0.88 | 0.97
0578 - 0.99 | 1.00
0579 - 0.97 | 0.97
0580 - 0.97 | 1.00
0581 - 0.96 | 0.99
0582 - 0.97 | 1.00
0583 - 0.98 | 1.00
0584 - 0.99 | 1.00
0585 - 0.88 | 0.90
0586 - 0.97 | 1.00
0587 - 0.83 | 0.83
0588 - 0.97 | 0.98
0589 - 0.73 | 0.81
0590 - 0.83 | 0.84
0591 - 0.94 | 0.97
0592 - 0.91 | 0.99
0593 - 0.94 | 0.96
0594 - 0.96 | 0.97
0595 - 0.93 | 0.94
