==============================================
BLEU GOLD:                               27.41
BLEU IN:                                 46.70
SIM GOLD:                               0.8591
SIM IN:                                 0.9411
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0115 -     66.04 |  100.00 |     0.99 |   1.00
0116 -     55.21 |   97.80 |     0.78 |   0.86
0117 -     18.71 |   88.31 |     0.98 |   0.99
0118 -     13.46 |   12.84 |     0.92 |   0.98
0119 -      0.00 |    0.00 |     0.88 |   0.94
0120 -      0.00 |    0.00 |     0.94 |   0.97
0121 -      0.00 |    0.00 |     0.82 |   0.97
0122 -     52.44 |   50.30 |     0.89 |   0.94
0123 -     25.30 |   62.45 |     0.92 |   0.98
0124 -     43.07 |  100.00 |     0.58 |   1.00
0125 -      0.00 |    0.00 |     0.93 |   0.98
0126 -      0.00 |   55.82 |     0.90 |   0.93
0127 -     71.34 |  100.00 |     0.94 |   1.00
0128 -      6.58 |    0.00 |     0.89 |   1.00
0129 -     11.66 |   12.80 |     0.73 |   0.94
0130 -     15.63 |   14.78 |     0.93 |   0.97
0131 -     67.68 |   88.68 |     0.96 |   0.99
0132 -     59.76 |  100.00 |     0.81 |   1.00
0133 -     16.69 |   56.44 |     0.96 |   1.00
0134 -     12.56 |   12.73 |     0.91 |   0.96
0135 -     42.63 |   57.31 |     0.95 |   0.97
0136 -     31.72 |   97.26 |     0.88 |   0.92
0137 -     13.11 |   90.84 |     0.90 |   0.94
0138 -      0.00 |   98.69 |     0.74 |   0.94
0139 -     60.74 |  100.00 |     0.94 |   1.00
0140 -     21.33 |   86.18 |     0.90 |   0.99
0141 -     97.61 |   98.59 |     0.90 |   1.00
0142 -     60.24 |   98.50 |     0.74 |   0.95
0143 -     43.86 |   39.34 |     0.88 |   0.93
0144 -      0.00 |    0.00 |     0.77 |   0.82
0145 -     31.46 |   99.49 |     0.96 |   0.98
0146 -     56.94 |   72.69 |     0.96 |   0.99
0147 -      9.08 |  100.00 |     0.87 |   1.00
0148 -     42.48 |  100.00 |     0.89 |   1.00
0149 -      0.00 |   55.48 |     0.95 |   0.98
0150 -     29.80 |   48.52 |     0.79 |   0.98
0151 -      0.00 |   20.25 |     0.60 |   0.77
0152 -     98.08 |  100.00 |     0.95 |   1.00
0153 -      0.00 |    0.00 |     0.94 |   0.95
0154 -     11.43 |   10.00 |     0.73 |   0.88
0155 -      0.00 |    0.00 |     0.80 |   0.90
0156 -      0.00 |    0.00 |     0.86 |   0.91
0157 -      0.00 |   85.01 |     0.78 |   0.95
0158 -      0.00 |    0.00 |     0.84 |   0.96
0159 -     24.64 |   57.19 |     0.91 |   0.93
0160 -      8.26 |    0.00 |     0.82 |   0.93
0161 -      0.00 |    0.00 |     0.73 |   0.88
0162 -     27.19 |   35.61 |     0.96 |   0.95
0163 -     77.16 |   94.81 |     0.98 |   0.99
0164 -     20.16 |   78.72 |     0.72 |   0.96
0165 -     57.69 |    0.00 |     0.86 |   0.84
0166 -      0.00 |    0.00 |     0.86 |   0.96
0167 -      0.00 |    0.00 |     0.88 |   0.88
0168 -     30.66 |   76.18 |     0.70 |   0.84
0169 -      0.00 |   73.86 |     0.75 |   1.00
0170 -      0.00 |    0.00 |     0.94 |   1.00
0171 -      0.00 |    0.00 |     0.92 |   0.93
0172 -     44.40 |   49.86 |     0.94 |   0.99
0173 -      4.82 |    3.86 |     0.88 |   0.81
0174 -      0.00 |    0.00 |     0.73 |   1.00
0175 -     27.56 |   80.56 |     0.93 |   0.98
0176 -     16.58 |   74.12 |     0.85 |   1.00
0177 -     97.12 |   99.16 |     0.90 |   1.00
0178 -      0.00 |    0.00 |     0.88 |   0.92
0179 -     21.19 |  100.00 |     0.88 |   1.00
0180 -      9.35 |    7.49 |     0.80 |   0.94
0181 -      0.00 |    0.00 |     0.75 |   0.87
0182 -     11.04 |  100.00 |     0.88 |   1.00
0183 -      0.00 |    0.00 |     0.69 |   0.71
0184 -      0.00 |    0.00 |     0.65 |   0.70
0185 -      0.00 |    0.00 |     0.58 |   0.99
0186 -      0.00 |   40.90 |     0.78 |   0.98
0187 -      0.00 |    0.00 |     0.86 |   0.92
0188 -      0.00 |    4.43 |     0.91 |   0.94
0189 -     53.06 |   66.10 |     0.90 |   0.99
0190 -     20.75 |   22.58 |     0.92 |   0.96
0191 -      8.18 |   30.46 |     0.87 |   0.90
0192 -      0.00 |   38.45 |     0.56 |   0.77
0193 -     59.26 |   91.20 |     0.84 |   0.95
0194 -     68.09 |   90.52 |     0.95 |   0.98
0195 -     99.20 |  100.00 |     0.96 |   1.00
0196 -     30.62 |   29.43 |     0.91 |   0.99
0197 -     97.88 |  100.00 |     0.89 |   1.00
0198 -      0.00 |    0.00 |     0.61 |   0.79
0199 -     20.45 |  100.00 |     0.96 |   1.00
0200 -      0.00 |    0.00 |     0.91 |   0.88
0201 -     58.05 |  100.00 |     0.86 |   1.00
0202 -     24.65 |   22.65 |     0.88 |   0.92
0203 -      0.00 |   80.50 |     0.86 |   0.90
0204 -     14.55 |    0.00 |     0.72 |   0.91
0205 -     86.19 |   91.22 |     0.94 |   0.97
0206 -     12.72 |  100.00 |     0.98 |   1.00
0207 -     55.95 |   86.56 |     0.98 |   0.99
0208 -      0.00 |   78.18 |     0.95 |   0.98
0209 -      0.00 |    0.00 |     0.93 |   0.88
0210 -     39.31 |  100.00 |     0.94 |   1.00
0211 -      0.00 |    0.00 |     0.75 |   0.85
0212 -     35.16 |   36.51 |     0.83 |   0.91
0213 -     35.58 |   88.79 |     0.86 |   0.97
0214 -     15.95 |   70.78 |     0.87 |   0.97
0215 -     85.38 |   80.73 |     0.95 |   0.99
0216 -      6.33 |   96.58 |     0.95 |   0.99
0217 -      0.00 |    0.00 |     0.89 |   0.92
0218 -      0.00 |    0.00 |     0.47 |   0.63
0219 -      0.00 |    0.00 |     0.90 |   0.96
0220 -     47.33 |   35.11 |     0.93 |   0.97
