==============================================
BLEU GOLD:                               31.45
BLEU IN:                                 58.27
SIM GOLD:                               0.8794
SIM IN:                                 0.9640
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     87.82 |   96.12 |     0.96 |   0.99
0002 -     83.78 |  100.00 |     0.96 |   1.00
0003 -      0.00 |    0.00 |     0.76 |   0.95
0004 -     42.70 |  100.00 |     0.91 |   1.00
0005 -     62.78 |   43.97 |     0.93 |   0.91
0006 -      0.00 |    0.00 |     0.86 |   0.99
0007 -     45.38 |   85.84 |     0.87 |   0.93
0008 -      0.00 |   48.10 |     0.45 |   0.69
0009 -      0.00 |    0.00 |     0.40 |   0.56
0010 -     11.38 |  100.00 |     0.99 |   1.00
0011 -     98.94 |  100.00 |     0.87 |   1.00
0012 -     67.41 |   94.13 |     0.94 |   1.00
0013 -      0.00 |    0.00 |     0.96 |   1.00
0014 -      0.00 |    0.00 |     0.85 |   0.90
0015 -     52.66 |   52.42 |     0.93 |   0.98
0016 -     56.35 |   86.03 |     0.81 |   0.98
0017 -      0.00 |  100.00 |     0.62 |   1.00
0018 -      0.00 |    0.00 |     0.92 |   1.00
0019 -      0.00 |   95.88 |     0.95 |   0.98
0020 -     48.15 |   43.98 |     0.85 |   1.00
0021 -     80.85 |  100.00 |     0.96 |   1.00
0022 -      0.00 |   69.01 |     0.94 |   0.98
0023 -      0.00 |   98.74 |     0.90 |   0.97
0024 -     74.34 |  100.00 |     0.99 |   1.00
0025 -     54.20 |   11.84 |     0.82 |   0.92
0026 -     96.49 |   99.28 |     0.99 |   1.00
0027 -     39.94 |  100.00 |     0.93 |   1.00
0028 -     14.45 |   12.46 |     0.90 |   0.98
0029 -     61.38 |   64.65 |     0.91 |   0.96
0030 -     29.79 |   98.72 |     0.97 |   0.97
0031 -     25.11 |    0.00 |     0.75 |   0.82
0032 -     17.64 |   98.45 |     0.86 |   0.93
0033 -     44.14 |   86.76 |     0.87 |   1.00
0034 -      0.00 |    0.00 |     0.94 |   0.97
0035 -     46.43 |   93.57 |     0.87 |   1.00
0036 -      0.00 |    0.00 |     0.99 |   1.00
0037 -      7.56 |   21.03 |     0.87 |   0.99
0038 -     22.66 |   82.39 |     0.95 |   1.00
0039 -     26.93 |   20.87 |     0.94 |   1.00
