==============================================
BLEU GOLD:                               24.97
BLEU IN:                                 41.69
SIM GOLD:                               0.8458
SIM IN:                                 0.9248
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     16.29 |   24.60 |     0.69 |   0.77
0002 -     82.66 |   77.46 |     0.95 |   0.99
0003 -     97.89 |   98.40 |     0.84 |   0.99
0004 -     43.92 |   44.83 |     0.90 |   0.98
0005 -     27.10 |   24.64 |     0.94 |   0.90
0006 -      0.00 |    0.00 |     0.74 |   0.89
0007 -     34.82 |   30.60 |     0.88 |   0.90
0008 -      0.00 |    0.00 |     0.60 |   0.79
0009 -      0.00 |    0.00 |     0.81 |   0.94
0010 -     36.05 |   12.05 |     0.97 |   0.98
0011 -     98.94 |  100.00 |     0.87 |   1.00
0012 -     39.43 |   37.07 |     0.94 |   0.99
0013 -      0.00 |    0.00 |     0.96 |   1.00
0014 -      0.00 |   10.85 |     0.77 |   0.94
0015 -      0.00 |    0.00 |     0.88 |   0.92
0016 -     47.74 |   51.10 |     0.79 |   0.96
0017 -      0.00 |   91.86 |     0.48 |   0.79
0018 -      0.00 |    0.00 |     0.86 |   0.91
0019 -      0.00 |   95.88 |     0.95 |   0.98
0020 -     66.22 |   43.17 |     0.84 |   0.95
0021 -     66.64 |   70.83 |     0.93 |   0.96
0022 -      0.00 |    0.00 |     0.95 |   0.99
0023 -      0.00 |   98.32 |     0.92 |   1.00
0024 -     59.40 |   60.01 |     0.98 |   0.99
0025 -     41.64 |   40.67 |     0.84 |   0.96
0026 -     34.72 |   34.89 |     0.94 |   0.95
0027 -      0.00 |    0.00 |     0.92 |   0.99
0028 -     37.08 |   31.38 |     0.93 |   1.00
0029 -     61.76 |   60.91 |     0.91 |   0.95
0030 -     48.50 |   61.80 |     0.96 |   0.96
0031 -     18.73 |   15.91 |     0.69 |   0.76
0032 -     17.38 |   26.73 |     0.79 |   0.86
0033 -     19.93 |   65.85 |     0.87 |   1.00
0034 -      0.00 |    0.00 |     0.93 |   0.95
0035 -     50.61 |   99.18 |     0.86 |   1.00
0036 -     80.25 |    0.00 |     0.96 |   0.98
0037 -      7.43 |   19.28 |     0.70 |   0.84
0038 -     14.29 |   73.41 |     0.81 |   0.93
0039 -     26.93 |   21.01 |     0.90 |   0.97
0040 -     65.37 |   46.66 |     0.82 |   0.94
0041 -     47.76 |  100.00 |     0.93 |   1.00
0042 -     67.63 |   90.52 |     0.86 |   0.94
0043 -     20.88 |   16.44 |     0.97 |   0.97
0044 -     16.52 |   11.69 |     0.89 |   0.97
0045 -     37.71 |   34.11 |     0.90 |   0.97
0046 -      0.00 |    0.00 |     0.94 |   0.97
0047 -     19.79 |    0.00 |     0.89 |   0.96
0048 -     26.21 |   19.46 |     0.91 |   0.98
0049 -     58.51 |   55.70 |     0.98 |   1.00
0050 -     43.42 |   93.88 |     0.89 |   0.94
0051 -      0.00 |    0.00 |     0.48 |   0.60
0052 -      0.00 |    0.00 |     0.91 |   0.96
0053 -      0.00 |    0.00 |     0.70 |   0.80
0054 -     36.50 |   33.12 |     0.79 |   0.86
0055 -     17.93 |    0.00 |     0.86 |   0.96
0056 -     46.79 |   70.03 |     0.89 |   0.91
0057 -      0.00 |    0.00 |     0.94 |   0.92
