==============================================
BLEU GOLD:                               59.97
BLEU IN:                                 80.31
SIM GOLD:                               0.8661
SIM IN:                                 0.9473
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     85.99 |   97.33 |     0.96 |   1.00
0002 -     84.52 |   99.83 |     0.94 |   0.97
0003 -     99.48 |  100.00 |     0.84 |   1.00
0004 -     42.86 |  100.00 |     0.91 |   1.00
0005 -     99.25 |   50.84 |     1.00 |   0.96
0006 -     67.42 |   64.11 |     0.85 |   0.98
0007 -      0.00 |    0.00 |     0.51 |   0.60
0008 -      0.00 |    0.00 |     0.49 |   0.60
0009 -      0.00 |   89.70 |     0.81 |   0.99
0010 -     10.22 |  100.00 |     0.99 |   1.00
0011 -     99.17 |  100.00 |     0.87 |   1.00
0012 -     58.29 |  100.00 |     0.95 |   1.00
0013 -      0.00 |    0.00 |     0.95 |   0.99
0014 -      0.00 |   69.42 |     0.79 |   1.00
0015 -     49.06 |   48.82 |     0.93 |   0.93
0016 -     32.00 |   71.95 |     0.81 |   0.97
0017 -      0.00 |  100.00 |     0.62 |   1.00
0018 -      0.00 |    0.00 |     0.92 |   0.98
0019 -      0.00 |    0.00 |     0.89 |   0.93
0020 -     53.65 |   43.66 |     0.85 |   1.00
0021 -     79.72 |  100.00 |     0.96 |   1.00
0022 -      0.00 |    0.00 |     0.95 |   1.00
0023 -     68.31 |    0.00 |     0.88 |   0.96
0024 -     72.87 |  100.00 |     0.99 |   1.00
0025 -     14.26 |   14.47 |     0.66 |   0.72
0026 -     97.12 |  100.00 |     0.99 |   1.00
0027 -     60.11 |   98.02 |     0.93 |   1.00
0028 -      9.12 |    8.01 |     0.90 |   0.98
0029 -     59.15 |  100.00 |     0.95 |   1.00
0030 -      0.00 |   51.91 |     0.91 |   0.92
0031 -     15.80 |   11.43 |     0.86 |   0.95
0032 -     18.37 |   77.86 |     0.86 |   0.94
0033 -     40.55 |   86.50 |     0.87 |   1.00
0034 -     25.35 |   92.05 |     0.96 |   0.98
0035 -     51.45 |  100.00 |     0.87 |   1.00
0036 -     29.08 |   99.83 |     0.97 |   0.99
0037 -      7.39 |    5.68 |     0.83 |   0.91
0038 -     36.40 |   14.29 |     0.88 |   0.93
0039 -     19.07 |   99.81 |     0.94 |   1.00
0040 -     53.67 |   41.21 |     0.84 |   0.93
0041 -     42.27 |  100.00 |     0.93 |   1.00
0042 -     76.44 |   99.80 |     0.90 |   0.96
0043 -      0.00 |    4.22 |     0.94 |   0.95
0044 -      9.31 |    9.26 |     0.83 |   0.94
0045 -     48.92 |    4.07 |     0.92 |   1.00
0046 -      0.00 |    0.00 |     0.98 |   1.00
0047 -      0.00 |    0.00 |     0.86 |   0.96
0048 -     75.72 |   20.47 |     0.90 |   0.97
0049 -     60.20 |  100.00 |     0.98 |   1.00
0050 -     40.85 |   93.45 |     0.89 |   0.94
0051 -      0.00 |    0.00 |     0.82 |   0.88
0052 -     67.65 |   99.87 |     0.95 |   0.99
