==============================================
BLEU GOLD:                               20.78
BLEU IN:                                 31.26
SIM GOLD:                               0.7955
SIM IN:                                 0.8661
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0115 -     66.04 |   87.95 |     0.96 |   0.97
0116 -     55.21 |   97.80 |     0.87 |   0.97
0117 -     20.66 |   38.52 |     0.85 |   0.85
0118 -     13.59 |   12.56 |     0.99 |   0.93
0119 -      0.00 |    0.00 |     0.80 |   0.82
0120 -      0.00 |    0.00 |     0.59 |   0.63
0121 -      0.00 |    0.00 |     0.55 |   0.70
0122 -     24.38 |   23.00 |     0.71 |   0.75
0123 -     25.22 |   28.77 |     0.88 |   0.93
0124 -     32.07 |   37.47 |     0.53 |   0.89
0125 -      0.00 |   35.62 |     0.89 |   0.95
0126 -      0.00 |    0.00 |     0.89 |   0.93
0127 -     56.55 |   87.99 |     0.86 |   0.91
0128 -      0.00 |   62.57 |     0.84 |   0.94
0129 -     16.87 |   10.55 |     0.68 |   0.79
0130 -     16.64 |   14.33 |     0.85 |   0.90
0131 -      0.00 |    0.00 |     0.91 |   0.94
0132 -     36.47 |   36.37 |     0.81 |   1.00
0133 -      0.00 |    0.00 |     0.82 |   0.87
0134 -     12.74 |   13.86 |     0.84 |   0.91
0135 -     16.77 |   16.09 |     0.93 |   0.94
0136 -      0.00 |    0.00 |     0.55 |   0.58
0137 -      0.00 |    0.00 |     0.96 |   0.99
0138 -      0.00 |   23.26 |     0.72 |   0.70
0139 -     59.87 |   66.93 |     0.94 |   1.00
0140 -     21.47 |   86.32 |     0.90 |   0.99
0141 -     27.96 |   18.62 |     0.87 |   0.92
0142 -     39.67 |   45.41 |     0.68 |   0.89
0143 -     68.67 |   95.64 |     0.92 |   0.97
0144 -      0.00 |    0.00 |     0.53 |   0.60
0145 -     31.27 |   95.90 |     0.94 |   0.97
0146 -     56.65 |   70.00 |     0.96 |   0.99
0147 -      7.86 |   41.28 |     0.84 |   0.96
0148 -      0.00 |    0.00 |     0.85 |   0.96
0149 -     37.68 |   30.20 |     0.85 |   0.89
0150 -     23.03 |   23.51 |     0.69 |   0.86
0151 -      0.00 |   62.22 |     0.64 |   0.89
0152 -     67.01 |   50.80 |     0.80 |   0.83
0153 -     10.33 |    0.00 |     0.98 |   0.99
0154 -     15.46 |   14.04 |     0.68 |   0.77
0155 -     35.68 |   23.34 |     0.86 |   0.86
0156 -      0.00 |    0.00 |     0.93 |   0.92
0157 -      0.00 |   70.82 |     0.81 |   0.93
0158 -      0.00 |    0.00 |     0.63 |   0.57
0159 -      0.00 |    0.00 |     0.55 |   0.53
0160 -     66.16 |   95.26 |     0.88 |   0.99
0161 -      5.18 |    5.10 |     0.75 |   0.89
0162 -      0.00 |    0.00 |     0.65 |   0.66
0163 -      0.00 |    0.00 |     0.81 |   0.81
0164 -      0.00 |    0.00 |     0.61 |   0.79
0165 -      0.00 |    0.00 |     0.82 |   0.82
0166 -      0.00 |    0.00 |     0.59 |   0.75
0167 -      0.00 |    0.00 |     0.69 |   0.67
0168 -     23.32 |   22.54 |     0.52 |   0.65
0169 -      0.00 |   17.40 |     0.65 |   0.86
0170 -     42.19 |   96.05 |     0.93 |   0.98
0171 -     10.07 |    9.94 |     0.93 |   0.94
0172 -     39.98 |   43.29 |     0.90 |   0.91
0173 -     63.08 |   51.53 |     0.80 |   0.91
0174 -      0.00 |    0.00 |     0.67 |   0.94
0175 -      0.00 |    0.00 |     0.68 |   0.76
0176 -     14.36 |   69.29 |     0.76 |   0.95
0177 -      0.00 |    0.00 |     0.37 |   0.60
0178 -      0.00 |    0.00 |     0.83 |   0.94
0179 -     21.65 |   96.19 |     0.87 |   1.00
0180 -     36.40 |    0.00 |     0.79 |   0.92
0181 -      0.00 |    0.00 |     0.75 |   0.81
0182 -     74.94 |   11.27 |     0.91 |   0.92
0183 -     48.67 |   47.88 |     0.93 |   0.96
0184 -      0.00 |   21.02 |     0.88 |   0.92
0185 -      0.00 |    0.00 |     0.41 |   0.67
0186 -      0.00 |   45.49 |     0.69 |   0.90
0187 -      0.00 |    3.32 |     0.87 |   0.84
0188 -      0.00 |    0.00 |     0.73 |   0.79
0189 -      0.00 |    0.00 |     0.72 |   0.81
0190 -     13.80 |   12.73 |     0.79 |   0.83
0191 -      8.53 |   93.00 |     0.96 |   0.99
0192 -      0.00 |   40.17 |     0.55 |   0.86
0193 -      7.01 |    6.71 |     0.74 |   0.70
0194 -     68.09 |   84.58 |     0.90 |   0.93
0195 -     12.98 |   11.89 |     0.89 |   0.94
0196 -      0.00 |   92.05 |     0.89 |   0.98
0197 -     96.42 |   87.17 |     0.84 |   0.95
0198 -      0.00 |    0.00 |     0.46 |   0.51
0199 -     16.90 |   43.56 |     0.93 |   0.96
0200 -      0.00 |    8.56 |     0.72 |   0.74
0201 -     55.74 |   62.01 |     0.86 |   0.99
0202 -      0.00 |    0.00 |     0.89 |   0.92
0203 -      0.00 |   76.65 |     0.92 |   0.94
0204 -      0.00 |   13.37 |     0.85 |   1.00
0205 -     88.55 |   93.44 |     0.94 |   0.96
0206 -      0.00 |   86.09 |     0.93 |   0.94
0207 -     53.47 |   25.41 |     0.94 |   0.95
0208 -      0.00 |  100.00 |     0.98 |   1.00
0209 -      0.00 |   23.48 |     0.70 |   0.64
0210 -     47.03 |    4.66 |     0.73 |   0.81
0211 -      9.54 |   32.15 |     0.82 |   0.97
0212 -     33.78 |   41.46 |     0.83 |   0.88
0213 -     50.82 |   78.65 |     0.87 |   0.99
0214 -     15.04 |   74.89 |     0.87 |   0.97
0215 -      0.00 |    0.00 |     0.87 |   0.90
0216 -      6.07 |   68.87 |     0.95 |   0.99
0217 -      0.00 |   10.61 |     0.92 |   0.95
0218 -      0.00 |   58.94 |     0.62 |   0.82
0219 -      0.00 |    0.00 |     0.78 |   0.85
0220 -      0.00 |   58.47 |     0.81 |   0.85
0221 -      7.61 |   31.12 |     0.73 |   0.76
0222 -      0.00 |    0.00 |     0.51 |   0.65
0223 -      0.00 |    0.00 |     0.88 |   0.90
0224 -      0.00 |    0.00 |     0.64 |   0.68
0225 -     46.83 |   82.07 |     0.80 |   0.96
0226 -      0.00 |    0.00 |     0.66 |   0.69
0227 -      4.96 |    0.00 |     0.64 |   0.71
0228 -     27.70 |   96.12 |     0.94 |   1.00
0229 -      0.00 |    0.00 |     0.44 |   0.88
0230 -      7.32 |   21.09 |     0.83 |   0.89
0231 -     28.37 |   25.03 |     0.82 |   0.89
0232 -     59.87 |   27.34 |     0.89 |   0.93
0233 -     13.72 |    0.00 |     0.53 |   0.61
0234 -      6.39 |    6.45 |     0.81 |   0.81
0235 -      0.00 |    0.00 |     0.72 |   0.79
0236 -     30.72 |   74.24 |     0.91 |   0.94
0237 -      0.00 |    0.00 |     0.79 |   0.84
0238 -      0.00 |    0.00 |     0.78 |   0.90
0239 -      0.00 |    0.00 |     0.48 |   0.62
0240 -      0.00 |    0.00 |     0.84 |   0.95
0241 -     99.01 |   18.15 |     1.00 |   0.98
0242 -      0.00 |    0.00 |     0.66 |   0.70
0243 -      0.00 |    0.00 |     0.89 |   0.94
0244 -      0.00 |    0.00 |     0.85 |   0.92
0245 -     54.99 |  100.00 |     0.82 |   1.00
0246 -      0.00 |   97.46 |     0.87 |   0.98
0247 -     26.82 |   25.10 |     0.78 |   0.80
0248 -     88.03 |   89.29 |     0.95 |   0.98
0249 -     37.73 |   14.41 |     0.80 |   0.83
0250 -      0.00 |    0.00 |     0.88 |   0.85
