==============================================
BLEU GOLD:                               79.56
BLEU IN:                                 88.84
SIM GOLD:                               0.9415
SIM IN:                                 0.9763
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0115 -     47.65 |   54.87 |     0.85 |   0.88
0116 -     20.80 |   20.80 |     0.94 |   0.99
0117 -      0.00 |    0.00 |     0.91 |   0.90
0118 -     44.16 |   82.26 |     0.96 |   0.99
0119 -     94.09 |  100.00 |     0.96 |   1.00
0120 -     78.52 |  100.00 |     0.87 |   1.00
0121 -     49.13 |   78.26 |     0.92 |   0.95
0122 -     96.75 |  100.00 |     0.95 |   0.99
0123 -     56.89 |  100.00 |     0.96 |   1.00
0124 -     94.44 |  100.00 |     0.99 |   1.00
0125 -     89.18 |   95.90 |     0.99 |   1.00
0126 -     95.71 |  100.00 |     0.95 |   1.00
0127 -      0.00 |    0.00 |     0.93 |   0.97
0128 -     39.15 |  100.00 |     0.96 |   1.00
0129 -      5.10 |    5.16 |     0.95 |   0.96
0130 -     12.55 |   12.42 |     0.97 |   0.99
0131 -      0.00 |  100.00 |     0.97 |   1.00
0132 -     12.47 |    6.80 |     0.83 |   0.90
0133 -     48.94 |   47.34 |     0.96 |   1.00
0134 -      8.76 |   97.13 |     0.94 |   1.00
0135 -     45.42 |   99.75 |     0.96 |   0.98
0136 -      0.00 |    0.00 |     0.83 |   0.99
0137 -     27.43 |  100.00 |     0.99 |   1.00
0138 -     54.29 |   55.83 |     0.89 |   0.97
0139 -      0.00 |  100.00 |     0.97 |   1.00
0140 -     75.75 |  100.00 |     0.90 |   1.00
0141 -      5.95 |  100.00 |     0.99 |   1.00
0142 -     39.34 |    0.00 |     0.99 |   1.00
0143 -     35.10 |   88.73 |     0.97 |   0.99
0144 -     69.82 |  100.00 |     0.99 |   1.00
0145 -      0.00 |    0.00 |     0.77 |   0.81
0146 -     86.20 |  100.00 |     0.93 |   1.00
0147 -     81.01 |   99.75 |     0.96 |   0.96
0148 -      8.09 |  100.00 |     0.98 |   1.00
0149 -     93.53 |  100.00 |     0.97 |   1.00
0150 -     80.61 |   27.23 |     0.99 |   1.00
0151 -      0.00 |    0.00 |     0.97 |   0.99
0152 -      0.00 |    0.00 |     0.93 |   0.98
0153 -     90.29 |  100.00 |     0.90 |   1.00
0154 -     23.60 |   99.00 |     0.93 |   0.96
0155 -      0.00 |    0.00 |     0.82 |   0.80
0156 -     68.21 |  100.00 |     0.99 |   1.00
0157 -      0.00 |    0.00 |     0.94 |   1.00
0158 -     84.56 |  100.00 |     0.97 |   1.00
0159 -     45.18 |  100.00 |     0.98 |   1.00
0160 -     46.00 |  100.00 |     0.96 |   1.00
0161 -      0.00 |    0.00 |     0.95 |   1.00
0162 -     31.48 |   99.82 |     0.98 |   0.98
0163 -     58.75 |   59.04 |     0.97 |   0.99
0164 -     64.17 |   69.47 |     0.98 |   0.99
0165 -     73.21 |  100.00 |     0.98 |   1.00
0166 -     32.27 |   99.82 |     0.98 |   0.99
0167 -     46.68 |  100.00 |     0.90 |   1.00
0168 -     54.81 |  100.00 |     0.99 |   1.00
0169 -     92.84 |  100.00 |     0.97 |   1.00
0170 -     48.31 |   90.75 |     0.96 |   1.00
0171 -      0.00 |    0.00 |     0.89 |   0.96
0172 -     87.65 |  100.00 |     0.98 |   1.00
0173 -     92.76 |  100.00 |     0.98 |   1.00
0174 -     67.62 |  100.00 |     0.98 |   1.00
0175 -     41.08 |   43.88 |     0.95 |   0.98
0176 -     66.29 |  100.00 |     0.99 |   1.00
0177 -     79.46 |   79.46 |     0.96 |   0.99
0178 -     65.79 |  100.00 |     0.91 |   1.00
0179 -    100.00 |   81.03 |     1.00 |   0.91
0180 -     64.58 |   77.42 |     0.92 |   0.93
0181 -     37.43 |   42.81 |     0.92 |   0.96
0182 -      0.00 |    0.00 |     0.67 |   0.66
0183 -     47.50 |   28.13 |     0.97 |   1.00
0184 -     55.15 |  100.00 |     0.96 |   1.00
0185 -     73.09 |   31.48 |     0.97 |   1.00
0186 -      0.00 |    0.00 |     0.96 |   0.97
0187 -     19.78 |  100.00 |     0.94 |   1.00
0188 -     76.31 |  100.00 |     0.95 |   1.00
0189 -     44.68 |  100.00 |     0.84 |   1.00
0190 -      0.00 |   30.80 |     0.93 |   0.97
0191 -     23.01 |   62.91 |     0.96 |   0.95
0192 -      0.00 |    0.00 |     0.96 |   1.00
0193 -      0.00 |    0.00 |     0.94 |   1.00
0194 -      0.00 |    0.00 |     0.98 |   1.00
0195 -     66.95 |  100.00 |     0.99 |   1.00
0196 -      0.00 |   93.45 |     0.96 |   0.97
0197 -     26.35 |   23.99 |     0.93 |   1.00
0198 -     85.92 |  100.00 |     0.97 |   1.00
0199 -     90.79 |  100.00 |     0.93 |   1.00
0200 -      0.00 |    7.49 |     0.84 |   0.86
0201 -     14.34 |   34.10 |     0.97 |   0.99
0202 -     56.41 |  100.00 |     0.97 |   1.00
0203 -      0.00 |    0.00 |     0.93 |   0.96
0204 -     86.43 |   30.65 |     0.96 |   0.96
0205 -      0.00 |    0.00 |     0.90 |   0.86
0206 -     24.27 |   30.02 |     0.97 |   0.98
0207 -     91.79 |  100.00 |     0.98 |   1.00
0208 -    100.00 |   71.96 |     1.00 |   0.96
0209 -     91.65 |   97.15 |     0.81 |   0.84
0210 -     77.75 |   26.74 |     0.98 |   1.00
0211 -     24.74 |  100.00 |     0.97 |   1.00
0212 -     27.44 |   56.79 |     0.98 |   0.99
0213 -     39.49 |  100.00 |     0.98 |   1.00
