==============================================
BLEU GOLD:                               72.70
BLEU IN:                                 81.00
SIM GOLD:                               0.9155
SIM IN:                                 0.9496
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     48.63 |   48.36 |     0.96 |   1.00
0002 -     92.72 |  100.00 |     0.98 |   1.00
0003 -     26.24 |   81.06 |     0.92 |   0.94
0004 -      0.00 |    0.00 |     0.82 |   0.87
0005 -     31.29 |   26.76 |     0.97 |   0.99
0006 -     94.34 |   99.82 |     0.98 |   0.98
0007 -     41.15 |   58.54 |     0.75 |   0.78
0008 -      0.00 |    0.00 |     0.86 |   0.91
0009 -     19.34 |    4.18 |     0.98 |   1.00
0010 -      0.00 |    0.00 |     0.95 |   0.97
0011 -     40.21 |  100.00 |     0.95 |   1.00
0012 -     49.16 |   54.58 |     0.97 |   1.00
0013 -     34.08 |   35.35 |     0.97 |   0.99
0014 -     40.95 |   95.84 |     0.99 |   1.00
0015 -     63.30 |   58.34 |     0.61 |   0.67
0016 -      0.00 |    0.00 |     0.76 |   0.82
0017 -      0.00 |    0.00 |     0.93 |   0.99
0018 -      0.00 |    0.00 |     0.87 |   0.90
0019 -     35.42 |  100.00 |     0.99 |   1.00
0020 -     58.99 |  100.00 |     1.00 |   1.00
0021 -     20.81 |    0.00 |     0.99 |   1.00
0022 -      0.00 |    0.00 |     0.95 |   0.99
0023 -     97.54 |  100.00 |     0.98 |   1.00
0024 -     35.02 |  100.00 |     0.97 |   1.00
0025 -      8.36 |    8.26 |     0.84 |   0.96
0026 -      0.00 |    0.00 |     0.94 |   0.95
0027 -      0.00 |  100.00 |     0.89 |   1.00
0028 -     59.12 |   98.36 |     0.97 |   1.00
0029 -      8.67 |  100.00 |     0.96 |   1.00
0030 -     38.53 |   74.80 |     0.90 |   0.92
0031 -     12.23 |    0.00 |     0.96 |   0.97
0032 -      0.00 |    0.00 |     0.98 |   0.99
0033 -      0.00 |    0.00 |     0.91 |   0.93
0034 -      0.00 |    0.00 |     0.78 |   0.82
0035 -      0.00 |   70.43 |     0.92 |   0.94
0036 -      0.00 |  100.00 |     0.95 |   1.00
0037 -     12.34 |  100.00 |     0.92 |   1.00
0038 -     28.30 |  100.00 |     0.96 |   1.00
0039 -     60.12 |   97.05 |     0.97 |   0.98
0040 -     47.99 |   91.30 |     0.92 |   0.92
0041 -      0.00 |    0.00 |     0.97 |   0.98
0042 -     32.12 |  100.00 |     0.92 |   1.00
0043 -      0.00 |   77.54 |     0.91 |   0.91
0044 -      0.00 |    0.00 |     0.95 |   0.97
0045 -     92.25 |   92.71 |     0.96 |   0.95
0046 -     30.52 |   37.17 |     0.88 |   0.91
0047 -     67.97 |  100.00 |     0.58 |   1.00
0048 -     93.01 |  100.00 |     0.99 |   1.00
0049 -     57.56 |  100.00 |     0.98 |   1.00
0050 -      0.00 |   25.61 |     0.90 |   0.92
0051 -     67.18 |   12.55 |     0.86 |   0.93
0052 -     14.11 |  100.00 |     0.97 |   1.00
0053 -     43.43 |   51.36 |     0.97 |   0.99
0054 -     27.49 |   77.34 |     0.93 |   0.95
0055 -     88.87 |  100.00 |     0.96 |   1.00
0056 -     83.47 |  100.00 |     0.96 |   1.00
0057 -     28.77 |  100.00 |     0.96 |   1.00
0058 -     44.36 |   78.64 |     0.89 |   0.96
0059 -     69.65 |  100.00 |     0.98 |   1.00
0060 -     73.88 |   65.83 |     0.97 |   0.98
0061 -     90.52 |   94.42 |     0.97 |   0.98
0062 -     80.10 |   91.53 |     0.92 |   1.00
0063 -     64.78 |  100.00 |     0.91 |   1.00
0064 -     48.90 |   96.07 |     0.98 |   0.99
0065 -     61.15 |   89.92 |     0.95 |   0.99
0066 -     62.91 |   92.82 |     0.95 |   0.97
0067 -      0.00 |    0.00 |     0.94 |   0.96
0068 -     74.34 |   79.93 |     0.91 |   0.95
0069 -     30.96 |   64.42 |     0.96 |   0.99
0070 -      0.00 |    0.00 |     0.91 |   0.92
0071 -      7.63 |   49.96 |     0.88 |   0.91
0072 -     23.27 |  100.00 |     0.99 |   1.00
0073 -     79.90 |    0.00 |     0.91 |   0.99
0074 -     95.58 |  100.00 |     0.98 |   1.00
0075 -     91.11 |   99.63 |     0.96 |   1.00
0076 -      0.00 |    0.00 |     0.94 |   0.96
0077 -     86.26 |  100.00 |     0.97 |   1.00
0078 -      0.00 |   74.25 |     0.89 |   0.93
0079 -     28.18 |   99.43 |     0.94 |   0.96
0080 -     90.91 |  100.00 |     0.94 |   1.00
0081 -     32.92 |   75.78 |     0.71 |   0.75
0082 -     79.47 |   83.88 |     0.96 |   0.97
0083 -     57.07 |   90.46 |     0.92 |   1.00
0084 -     36.73 |  100.00 |     0.93 |   1.00
0085 -      0.00 |    0.00 |     0.97 |   0.99
0086 -      0.00 |    0.00 |     0.71 |   0.84
0087 -      0.00 |   28.08 |     0.89 |   0.90
0088 -     10.45 |    6.26 |     0.98 |   1.00
0089 -      0.00 |    0.00 |     0.91 |   0.95
0090 -      0.00 |   35.77 |     0.80 |   0.85
0091 -     90.56 |   61.71 |     0.95 |   0.88
0092 -     69.98 |  100.00 |     0.94 |   1.00
0093 -     60.81 |   67.63 |     0.90 |   0.97
0094 -     58.67 |   83.58 |     0.40 |   0.84
0095 -      0.00 |    0.00 |     0.95 |   0.97
0096 -     29.40 |   28.21 |     0.89 |   0.93
0097 -     75.84 |   93.67 |     0.97 |   0.99
0098 -     89.59 |   80.08 |     0.97 |   1.00
0099 -      0.00 |    0.00 |     0.98 |   1.00
0100 -     29.38 |   28.97 |     0.89 |   0.86
0101 -     50.33 |   46.42 |     0.96 |   0.99
0102 -     46.29 |   45.45 |     0.81 |   0.84
0103 -     73.35 |   32.51 |     0.94 |   0.99
0104 -     36.67 |   99.85 |     0.94 |   0.95
0105 -     37.17 |   94.03 |     0.96 |   0.98
0106 -     29.58 |   28.77 |     0.90 |   0.93
0107 -     50.78 |    0.00 |     0.95 |   0.96
0108 -      0.00 |    0.00 |     0.73 |   0.95
0109 -      0.00 |    0.00 |     0.91 |   0.92
0110 -     79.93 |   98.82 |     0.93 |   1.00
0111 -     12.62 |   11.48 |     0.89 |   0.93
0112 -      0.00 |    0.00 |     0.91 |   0.90
0113 -      0.00 |    3.72 |     0.97 |   0.99
0114 -     21.80 |  100.00 |     0.99 |   1.00
0115 -      0.00 |    0.00 |     0.81 |   0.84
0116 -     20.80 |   20.80 |     0.94 |   0.99
0117 -      8.73 |  100.00 |     0.99 |   1.00
0118 -     40.79 |    0.00 |     0.69 |   0.76
0119 -     55.41 |   59.60 |     0.90 |   0.94
0120 -     78.52 |  100.00 |     0.87 |   1.00
0121 -     51.95 |   83.18 |     0.94 |   0.96
0122 -     96.75 |  100.00 |     0.95 |   0.99
0123 -     56.89 |  100.00 |     0.96 |   1.00
0124 -      0.00 |    0.00 |     0.90 |   0.92
0125 -     89.18 |   95.90 |     0.99 |   1.00
0126 -     90.68 |   94.99 |     0.92 |   0.98
0127 -      0.00 |    0.00 |     0.93 |   0.97
0128 -     39.15 |  100.00 |     0.96 |   1.00
0129 -      5.10 |    5.16 |     0.95 |   0.96
0130 -     37.60 |   37.86 |     0.93 |   0.95
0131 -      0.00 |    0.00 |     0.14 |   0.16
0132 -      6.43 |    6.82 |     0.80 |   0.87
0133 -     43.10 |   43.19 |     0.95 |   0.99
0134 -      8.76 |   96.95 |     0.91 |   0.97
0135 -     43.91 |   91.15 |     0.98 |   1.00
0136 -      0.00 |    0.00 |     0.76 |   0.91
0137 -     27.43 |  100.00 |     0.99 |   1.00
0138 -     87.13 |  100.00 |     0.93 |   1.00
0139 -      0.00 |  100.00 |     0.97 |   1.00
0140 -     75.75 |  100.00 |     0.90 |   1.00
0141 -     16.98 |   75.64 |     0.96 |   0.95
0142 -      0.00 |    0.00 |     0.99 |   0.99
0143 -     38.96 |   87.34 |     0.94 |   0.97
0144 -     43.52 |   46.56 |     0.97 |   0.98
0145 -      0.00 |    0.00 |     0.85 |   0.89
0146 -     86.20 |  100.00 |     0.93 |   1.00
0147 -     15.85 |    0.00 |     0.93 |   0.94
0148 -      7.75 |   87.46 |     0.99 |   0.98
0149 -     93.53 |  100.00 |     0.97 |   1.00
0150 -      0.00 |    0.00 |     0.90 |   0.89
0151 -      0.00 |    0.00 |     0.73 |   0.77
0152 -      0.00 |    0.00 |     0.93 |   0.98
0153 -     90.29 |  100.00 |     0.90 |   1.00
0154 -     23.60 |   99.00 |     0.88 |   0.92
0155 -      0.00 |    0.00 |     0.96 |   0.99
0156 -     69.55 |   87.06 |     0.96 |   0.97
0157 -     28.00 |   28.00 |     0.94 |   1.00
0158 -     84.56 |  100.00 |     0.97 |   1.00
0159 -      0.00 |    0.00 |     0.88 |   0.91
0160 -     46.00 |  100.00 |     0.96 |   1.00
0161 -      0.00 |    0.00 |     0.94 |   0.98
0162 -     31.57 |  100.00 |     0.98 |   1.00
0163 -     58.75 |   59.04 |     0.97 |   0.99
0164 -     65.01 |   70.00 |     0.98 |   0.99
0165 -     17.30 |   15.32 |     0.93 |   0.94
0166 -     32.27 |   99.82 |     0.95 |   0.96
0167 -      0.00 |    0.00 |     0.88 |   0.95
0168 -     50.42 |   95.18 |     0.97 |   0.98
0169 -      6.00 |    0.00 |     0.88 |   0.90
0170 -      0.00 |    0.00 |     0.81 |   0.85
0171 -      0.00 |    0.00 |     0.81 |   0.89
0172 -     87.65 |  100.00 |     0.98 |   1.00
0173 -     74.71 |   81.84 |     0.97 |   0.99
0174 -     67.62 |   99.76 |     0.92 |   0.93
0175 -      0.00 |    0.00 |     0.79 |   0.82
0176 -     66.29 |  100.00 |     0.99 |   1.00
0177 -     73.73 |   73.73 |     0.95 |   0.97
0178 -     65.79 |  100.00 |     0.91 |   1.00
0179 -    100.00 |   81.03 |     1.00 |   0.91
0180 -     68.92 |   77.42 |     0.89 |   0.93
0181 -     58.88 |   58.75 |     0.89 |   0.93
0182 -      0.00 |    0.00 |     0.68 |   0.66
0183 -      0.00 |    0.00 |     0.93 |   0.96
